protocol,model,seed,rule,same_trained_checkpoint,refitting,checkpoint_sha256,directed_edge_total,mean_abs_prediction_change,MAE_change_vs_complete,equal_case_MAE,equal_case_RMSE,mean_case_RMSE,R2_pooled,maximum_positive_error,maximum_absolute_error,case_time_positive_error_q95,case_time_positive_error_q99,per_case_MAE_q50,per_case_MAE_q90,per_case_MAE_q95,per_case_MAE_q99,per_case_max_positive_error_q50,per_case_max_positive_error_q90,per_case_max_positive_error_q95,per_case_max_positive_error_q99
lcro_9_15,gnn,42,radius,True,False,6d175752d0691e169a881ebc0676508a2665704c15db7bfef3bbc84ebefd02f7,17310,0.004587695002555847,0.0011973978973086764,0.012172373958377935,0.01924252789878759,0.01593087583963263,0.9963714429130006,0.39653825759887695,0.39653825759887695,0.021755433827638553,0.04835925132036202,0.010488634409963107,0.02066903725022177,0.02416411486194759,0.040175916879880647,0.02326551079750061,0.052356964349746724,0.06532838940620421,0.10211879193782814
lcro_9_15,gnn,42,symmetric_knn,True,False,6d175752d0691e169a881ebc0676508a2665704c15db7bfef3bbc84ebefd02f7,11406,0.004716937430202961,0.001015611376448674,0.011990587437517932,0.01922712464389374,0.015859997898499022,0.996377249761244,0.3962925672531128,0.3962925672531128,0.022936823964118953,0.05172416239976878,0.010464579294450948,0.019774435949130136,0.023953732945879942,0.04004300703279308,0.024721801280975342,0.05377312302589417,0.06551074683666229,0.10381455123424536
lcro_9_15,gnn,43,radius,True,False,b2f1a06ac8015479999afd0514a18c568667206eca46fde744509321335486d3,17310,0.003392691956833005,-0.0004884178134424433,0.011277486373978006,0.017926961391829917,0.015068904496112284,0.9968506344203115,0.15643298625946045,0.15643298625946045,0.02812082916498183,0.056899659037589846,0.009307471760472313,0.020074364078826595,0.023863658712047042,0.044042797884980195,0.027584150433540344,0.06095328927040103,0.07576794028282165,0.1257315599918367
lcro_9_15,gnn,43,symmetric_knn,True,False,b2f1a06ac8015479999afd0514a18c568667206eca46fde744509321335486d3,11406,0.0037992012221366167,-0.0006016202218242089,0.01116428396559624,0.01783774354133306,0.014934351911299135,0.9968819035729418,0.16313758492469788,0.16313758492469788,0.028590733557939528,0.055223616957664354,0.00914904450783964,0.019593384055817717,0.023440163521493064,0.04469587186809446,0.027227282524108887,0.06166354417800903,0.07589626908302306,0.12484045624732984
lcro_9_15,gnn,44,radius,True,False,8482a527f875aa184c3892027c44256689db9b9ada6013c150feaacd9a608688,17310,0.004790826700627804,0.0016185219628182135,0.012560837330599154,0.021389873205386233,0.016390475053797374,0.9955164075347338,0.41917580366134644,0.41917580366134644,0.018897655606269815,0.04920507133007049,0.010919536906676214,0.02226971834897995,0.025059048953603523,0.04931070781144941,0.02402898669242859,0.057767486572265644,0.07181058228015898,0.13405314773321153
lcro_9_15,gnn,44,symmetric_knn,True,False,8482a527f875aa184c3892027c44256689db9b9ada6013c150feaacd9a608688,11406,0.005035076290369034,0.001292526584430435,0.012234841952211375,0.021280573260884273,0.015998893469674116,0.9955621118112614,0.41908979415893555,0.41908979415893555,0.020423460006713856,0.05142276704311358,0.010431001939978757,0.020887986411813834,0.02500393236758279,0.048406201776911024,0.025211989879608154,0.05984948873519899,0.07207560837268828,0.1399839925765993
lcro_9_15,gnn,45,radius,True,False,287a986d66fdd75d935496e5bb9c512db1cc84ce2354be6517c05cc54cd959ff,17310,0.005474172066897154,0.0007008570694016225,0.011738984715074088,0.018951025602069828,0.01552416295685582,0.9964805471855207,0.40188753604888916,0.40188753604888916,0.022441855072975025,0.04523981541395186,0.010822297516660612,0.01971138983232076,0.022831969112768524,0.03700200825441083,0.023438304662704468,0.05334702134132386,0.06571205258369445,0.11111691594123857
lcro_9_15,gnn,45,symmetric_knn,True,False,287a986d66fdd75d935496e5bb9c512db1cc84ce2354be6517c05cc54cd959ff,11406,0.00671842647716403,0.0008879858889176123,0.011926113534590077,0.01920818162872686,0.015599293467686057,0.9963843846821546,0.4021238684654236,0.4021238684654236,0.020274107158184045,0.047199473381042405,0.01074918420588384,0.02048674437110543,0.023704913951700823,0.04078902990603057,0.023469150066375732,0.05380464792251589,0.06574395895004272,0.10851517617702498
lcro_9_15,gnn,46,radius,True,False,dce705966e9b93c4b042d0fefd6c11cb1230bfd3936fb36e8dc1ade843e4cdec,17310,0.002548918593674898,0.0001350390492122818,0.011109051196737333,0.01822115258076242,0.014712106418458375,0.9967464206724926,0.34588301181793213,0.34588301181793213,0.026977147907018648,0.052062960267066936,0.00925113169140503,0.018579054283375144,0.02340469378672661,0.03870899068527535,0.025412648916244507,0.05977631807327274,0.071388840675354,0.11017318248748785
lcro_9_15,gnn,46,symmetric_knn,True,False,dce705966e9b93c4b042d0fefd6c11cb1230bfd3936fb36e8dc1ade843e4cdec,11406,0.0032027075067162514,0.0003610194960985691,0.01133503164362362,0.01880282910422011,0.015024695004837753,0.9965353760120526,0.34667760133743286,0.34667760133743286,0.02905981987714766,0.05706800535321223,0.009222918052653798,0.01883601091924261,0.024788681881838158,0.04234984948498307,0.026151403784751892,0.0585064172744751,0.07107959985733031,0.11172858685255056
