model,seed,view,MAE,MAE_change_vs_complete,change_percentage_points,checkpoint_sha256
gnn_mean,43,symmetric_knn,0.0109898398418989,6.48809235100703e-05,0.00648809235100703,0de335d2d2f886943d405e69712170477d9e40efa2f53271085fbf84ca8667bc
gnn_mean,44,complete,0.010283846008590785,0.0,0.0,70e6ab4762dca77079cd79c552faf341577a901e3807b220d8ba0d7c3ca045ea
gnn_mean,44,radius,0.0124962304901641,0.0022123844815733,0.22123844815733,70e6ab4762dca77079cd79c552faf341577a901e3807b220d8ba0d7c3ca045ea
gnn_mean,44,symmetric_knn,0.0131802117753314,0.0028963657667406,0.28963657667406,70e6ab4762dca77079cd79c552faf341577a901e3807b220d8ba0d7c3ca045ea
gnn_mean,45,complete,0.012078288076450906,0.0,0.0,6e2c5bbf75e9fa5abf15583e930679b09225a501c2c99a58773bad58da9a769a
gnn_mean,45,radius,0.0125197671052499,0.0004414790287989,0.04414790287989,6e2c5bbf75e9fa5abf15583e930679b09225a501c2c99a58773bad58da9a769a
gnn_mean,45,symmetric_knn,0.01254883153019,0.0004705434537391,0.04705434537391,6e2c5bbf75e9fa5abf15583e930679b09225a501c2c99a58773bad58da9a769a
gnn_mean,46,complete,0.010719232982190999,0.0,0.0,1d49c9f8a4b04804feb0ece2f9eccc4a278076863023f1aad959dec15c3ceb54
gnn_mean,46,radius,0.0117559987760744,0.0010367657938834,0.10367657938834,1d49c9f8a4b04804feb0ece2f9eccc4a278076863023f1aad959dec15c3ceb54
gnn_mean,46,symmetric_knn,0.0118895170072142,0.0011702840250231,0.11702840250231,1d49c9f8a4b04804feb0ece2f9eccc4a278076863023f1aad959dec15c3ceb54
