protocol,model,endpoint,budget,N,k,actual_budget_fraction,defined_seeds,mean_L,display_percent_L,cell_text
loco_bilinear,fire_only,J,50%,77,38,0.4935064935064935,5,0.9212957857260623,92.12957857260623,92.1
loco_linear,fire_only,terminal,10%,125,12,0.096,5,0.9951508446874209,99.51508446874209,99.5
loco_linear,fire_only,terminal,25%,125,31,0.248,5,0.974662067498991,97.4662067498991,97.5
loco_linear,fire_only,terminal,50%,125,62,0.496,5,0.9857722926431383,98.57722926431383,98.6
loco_linear,fire_only,J,10%,125,12,0.096,5,0.9928843918859307,99.28843918859307,99.3
loco_linear,fire_only,J,25%,125,31,0.248,5,0.9854639395864769,98.5463939586477,98.5
loco_linear,fire_only,J,50%,125,62,0.496,5,0.9900102845152092,99.00102845152092,99
loco_smoldering,fire_only,terminal,10%,97,9,0.09278350515463918,5,0.8598368310173058,85.98368310173058,86
loco_smoldering,fire_only,terminal,25%,97,24,0.24742268041237114,5,1.0,100.0,100
loco_smoldering,fire_only,terminal,50%,97,48,0.4948453608247423,5,1.0,100.0,100
loco_smoldering,fire_only,J,10%,97,9,0.09278350515463918,5,0.9898887020782954,98.98887020782954,99
loco_smoldering,fire_only,J,25%,97,24,0.24742268041237114,5,1.0,100.0,100
loco_smoldering,fire_only,J,50%,97,48,0.4948453608247423,5,1.0,100.0,100
iid997,capacity_matched_deepsets,terminal,10%,160,16,0.1,5,0.988009136555495,98.80091365554951,98.8
iid997,capacity_matched_deepsets,terminal,25%,160,40,0.25,5,0.9964363933147972,99.64363933147972,99.6
iid997,capacity_matched_deepsets,terminal,50%,160,80,0.5,5,0.999234718204578,99.92347182045779,99.9
iid997,capacity_matched_deepsets,J,10%,160,16,0.1,5,0.9765339514481133,97.65339514481133,97.7
iid997,capacity_matched_deepsets,J,25%,160,40,0.25,5,0.9943650683012049,99.43650683012049,99.4
iid997,capacity_matched_deepsets,J,50%,160,80,0.5,5,0.9978419585941494,99.78419585941494,99.8
lcro_9_15,capacity_matched_deepsets,terminal,10%,264,26,0.09848484848484848,5,0.9932193159152927,99.32193159152926,99.3
lcro_9_15,capacity_matched_deepsets,terminal,25%,264,66,0.25,5,0.9987588697578985,99.87588697578985,99.9
lcro_9_15,capacity_matched_deepsets,terminal,50%,264,132,0.5,5,0.9950447168453358,99.50447168453358,99.5
lcro_9_15,capacity_matched_deepsets,J,10%,264,26,0.09848484848484848,5,0.9836078016380375,98.36078016380375,98.4
lcro_9_15,capacity_matched_deepsets,J,25%,264,66,0.25,5,0.9957427649725338,99.57427649725338,99.6
lcro_9_15,capacity_matched_deepsets,J,50%,264,132,0.5,5,0.9981448050008236,99.81448050008235,99.8
loco_iso834,capacity_matched_deepsets,terminal,10%,158,15,0.0949367088607595,5,0.7404471195698922,74.04471195698922,74
loco_iso834,capacity_matched_deepsets,terminal,25%,158,39,0.2468354430379747,5,0.7736690732639204,77.36690732639204,77.4
loco_iso834,capacity_matched_deepsets,terminal,50%,158,79,0.5,5,0.747663190020945,74.76631900209449,74.8
loco_iso834,capacity_matched_deepsets,J,10%,158,15,0.0949367088607595,5,0.6462929018295057,64.62929018295057,64.6
loco_iso834,capacity_matched_deepsets,J,25%,158,39,0.2468354430379747,5,0.8249089400505353,82.49089400505353,82.5
loco_iso834,capacity_matched_deepsets,J,50%,158,79,0.5,5,0.8428983089829281,84.2898308982928,84.3
loco_astm_e119,capacity_matched_deepsets,terminal,10%,95,9,0.09473684210526316,5,0.7568101237970476,75.68101237970475,75.7
loco_astm_e119,capacity_matched_deepsets,terminal,25%,95,23,0.24210526315789474,5,0.7840272850490143,78.40272850490143,78.4
loco_astm_e119,capacity_matched_deepsets,terminal,50%,95,47,0.49473684210526314,5,0.8063416648888664,80.63416648888663,80.6
loco_astm_e119,capacity_matched_deepsets,J,10%,95,9,0.09473684210526316,5,0.7414197512771821,74.14197512771821,74.1
loco_astm_e119,capacity_matched_deepsets,J,25%,95,23,0.24210526315789474,5,0.8265654467151645,82.65654467151646,82.7
loco_astm_e119,capacity_matched_deepsets,J,50%,95,47,0.49473684210526314,5,0.8799813760235446,87.99813760235446,88
loco_perturbed_iso,capacity_matched_deepsets,terminal,10%,111,11,0.0990990990990991,5,0.7420368199052796,74.20368199052795,74.2
loco_perturbed_iso,capacity_matched_deepsets,terminal,25%,111,27,0.24324324324324326,5,0.6884491833719625,68.84491833719625,68.8
loco_perturbed_iso,capacity_matched_deepsets,terminal,50%,111,55,0.4954954954954955,5,0.8275267338918388,82.75267338918388,82.8
loco_perturbed_iso,capacity_matched_deepsets,J,10%,111,11,0.0990990990990991,5,0.7530022397404728,75.30022397404727,75.3
loco_perturbed_iso,capacity_matched_deepsets,J,25%,111,27,0.24324324324324326,5,0.7988762389806544,79.88762389806544,79.9
loco_perturbed_iso,capacity_matched_deepsets,J,50%,111,55,0.4954954954954955,5,0.8174506367251718,81.74506367251718,81.7
loco_plateau,capacity_matched_deepsets,terminal,10%,103,10,0.0970873786407767,5,0.986562325647759,98.6562325647759,98.7
loco_plateau,capacity_matched_deepsets,terminal,25%,103,25,0.24271844660194175,5,0.9926882961792834,99.26882961792835,99.3
loco_plateau,capacity_matched_deepsets,terminal,50%,103,51,0.49514563106796117,5,0.9991944704852408,99.91944704852408,99.9
loco_plateau,capacity_matched_deepsets,J,10%,103,10,0.0970873786407767,5,0.9725725223690406,97.25725223690405,97.3
loco_plateau,capacity_matched_deepsets,J,25%,103,25,0.24271844660194175,5,0.989327411050937,98.9327411050937,98.9
loco_plateau,capacity_matched_deepsets,J,50%,103,51,0.49514563106796117,5,0.9997586736849314,99.97586736849314,100
loco_decay,capacity_matched_deepsets,terminal,10%,113,11,0.09734513274336283,5,0.9712019136418446,97.12019136418446,97.1
loco_decay,capacity_matched_deepsets,terminal,25%,113,28,0.24778761061946902,5,0.9811123216928527,98.11123216928527,98.1
loco_decay,capacity_matched_deepsets,terminal,50%,113,56,0.49557522123893805,5,0.9966655277412351,99.6665527741235,99.7
loco_decay,capacity_matched_deepsets,J,10%,113,11,0.09734513274336283,5,0.9649184251524993,96.49184251524993,96.5
