protocol,contrast,baseline,candidate,endpoint,budget,N,k,independent_seed_count,U_baseline_minus_candidate_defined_seeds,U_baseline_minus_candidate_mean,U_baseline_minus_candidate_sample_sd,U_baseline_minus_candidate_min,U_baseline_minus_candidate_max
loco_iso834,mean_vs_sum,gnn,gnn_mean,J,50%,158,79,5,5,9.952303540861073e-06,0.00038554395049189024,-0.0005982709227263516,0.00037849670401790547
loco_astm_e119,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,10%,95,9,5,5,0.0008289435671435461,0.0012570535817566697,-0.0011036896871195884,0.0023511573672294617
loco_astm_e119,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,25%,95,23,5,5,0.0003257568763649993,0.0005858922948674103,-0.0006477510475594028,0.0009432242292424925
loco_astm_e119,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,50%,95,47,5,5,0.0004192221513453956,0.0003096361468520865,0.00010567047494523113,0.0007842101473757579
loco_astm_e119,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,10%,95,9,5,5,0.000490848699377644,0.001244494145637108,-0.0012891553342342377,0.0018769072920635788
loco_astm_e119,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,25%,95,23,5,5,-6.91044578949862e-05,0.00048422235959262204,-0.0006776210865465093,0.0005838741035457673
loco_astm_e119,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,50%,95,47,5,5,0.0003143706563728088,0.0002899059077057039,-6.776589715318249e-06,0.0007339658374164726
loco_astm_e119,mean_vs_sum,gnn,gnn_mean,terminal,10%,95,9,5,5,0.0003488964504665806,0.0007981496478402589,-0.0008318829867574873,0.001220864554246269
loco_astm_e119,mean_vs_sum,gnn,gnn_mean,terminal,25%,95,23,5,5,-0.00012167002195897226,0.00022857793200458735,-0.0004961581333823781,3.978091737498468e-05
loco_astm_e119,mean_vs_sum,gnn,gnn_mean,terminal,50%,95,47,5,5,-5.9275392522203926e-05,0.00020082011693602861,-0.0004018690991908977,0.00012486618249974574
loco_astm_e119,mean_vs_sum,gnn,gnn_mean,J,10%,95,9,5,5,-0.00021212061177249274,0.0008249154321461382,-0.0014273393071359552,0.0006362899103098951
loco_astm_e119,mean_vs_sum,gnn,gnn_mean,J,25%,95,23,5,5,0.0004921093623599826,0.0008423593836065572,-0.0007422236077810895,0.001231076622354832
loco_astm_e119,mean_vs_sum,gnn,gnn_mean,J,50%,95,47,5,5,-0.00012264298711048838,0.00023850730769661742,-0.0004382302614707734,0.00016196971455362252
loco_perturbed_iso,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,10%,111,11,5,5,0.0004708578640764405,0.0015249145747987796,-0.0014462809671055218,0.0020083063705401
loco_perturbed_iso,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,25%,111,27,5,5,0.0005289825300375626,0.0007540554388072551,-0.0007825030220879464,0.0010718218982219696
loco_perturbed_iso,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,50%,111,55,5,5,-5.0145536661147516e-05,0.0003162176423292562,-0.0004918139089237564,0.0003018798475915782
loco_perturbed_iso,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,10%,111,11,5,5,0.0013670319696944765,0.0016321679479554805,-0.0003827989581182134,0.003960684393391478
loco_perturbed_iso,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,25%,111,27,5,5,0.00023409827094940107,0.0004960492385205099,-0.00032644608391468877,0.0009774555797102957
loco_perturbed_iso,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,50%,111,55,5,5,0.00044325479323219507,0.00041710369649931037,0.00010207651634563941,0.0011445247302905304
