epoch,train_mse,validation_mse,learning_rate,elapsed_s
1,0.015683921764186474,0.0054894061759114265,0.001,0.5532986999023706
2,0.0035005818045947047,0.004232942126691341,0.000999972584682756,0.8588108998956159
3,0.002573922141837373,0.0015819943509995937,0.0009998903417374227,1.1861329999519512
4,0.001330086647841215,0.0010873356368392706,0.0009997532801828658,1.4943330999230966
5,0.0009901367897626513,0.0009647604310885072,0.0009995614150494292,1.7866376999299973
6,0.0008705342263507743,0.0007325899205170572,0.000999314767377287,2.083508199895732
7,0.0007873236040901923,0.0006568162934854627,0.0009990133642141358,2.3945253998972476
8,0.000685834854299751,0.0007116011693142354,0.000998657238612229,2.7050710999174044
9,0.0006996888346373631,0.0010538395727053285,0.0009982464296247522,2.997865999932401
10,0.0007569565909397833,0.0007084282697178423,0.00099778098230154,3.2806989999953657
11,0.000646370632681058,0.0005410126759670675,0.0009972609476841367,3.581000299891457
12,0.0005695720994908216,0.0013130299048498273,0.0009966863828001983,3.890012599993497
13,0.0006285725980388156,0.0005855202325619757,0.0009960573506572392,4.191249599913135
14,0.0005173132594692517,0.00036508854827843606,0.000995373920235722,4.486452399985865
15,0.00042182031244587966,0.00040992285357788205,0.0009946361664814943,4.77923619991634
16,0.00040192126579679995,0.00035000688512809575,0.000993844170297569,5.060509899980389
17,0.0004882285089625028,0.0007735295221209526,0.0009929980185352527,5.365334099973552
18,0.0007157826771216627,0.0007944410899654031,0.000992097803984621,5.66330969997216
19,0.0005827613126027196,0.00031007901998236775,0.0009911436253643446,5.946775099961087
20,0.0004728283443117926,0.001058133551850915,0.0009901355873108612,6.2521942999446765
21,0.00041853282750504257,0.00039832585025578737,0.000989073800366903,6.5411152999149635
22,0.0003211173643994624,0.0006411759532056749,0.0009879583809693738,6.826363599975593
23,0.0004321127034359823,0.00028824686887674034,0.0009867894514365802,7.1197835999773815
24,0.0003357216059061253,0.0005381677183322608,0.0009855671399548183,7.410509999957867
25,0.00038283669631934523,0.0003341142146382481,0.0009842915805643158,7.710947299958207
26,0.0003095948870822641,0.0006557490560226142,0.0009829629131445344,8.011236499994993
27,0.0004109390566644879,0.0003260035300627351,0.0009815812833988294,8.302828899933957
28,0.00046464653416054027,0.0004444590595085174,0.0009801468428384719,8.597497599897906
29,0.00032880132694438344,0.00026700031594373286,0.000978659748766034,8.917338899918832
30,0.0003234304786562475,0.0006377242971211672,0.0009771201642581387,9.217932399944402
31,0.0004799048034215202,0.0002338480408070609,0.0009755282581475771,9.517855199985206
32,0.0003031830968691625,0.00025762253790162504,0.0009738842050047931,9.817745999898762
33,0.00030376087440420424,0.0006798768299631774,0.0009721881851187409,10.098417699919082
34,0.0005056358322529931,0.0008568107150495052,0.0009704403844771131,10.380493599921465
35,0.0004395080861108557,0.0003367633617017418,0.0009686409947459461,10.669260099995881
36,0.0002950703210037535,0.00024156506697181612,0.0009667902132486011,10.964363499893807
37,0.00026393913807428923,0.00037811571382917464,0.000964888242944126,11.255924799945205
38,0.0003134562437115502,0.0010287293698638678,0.0009629352924049977,11.549862399930134
39,0.0003373808442658253,0.000264079833868891,0.0009609315757942507,11.839461899944581
40,0.00024874825040042763,0.0002512599457986653,0.0009588773128419909,12.136813699966297
41,0.0002533514597585862,0.0012000590795651078,0.0009567727288213008,12.429240199970081
42,0.00043149708014068774,0.0006971022812649608,0.0009546180545235346,12.720511499908753
43,0.00043171902800520965,0.0002918893878813833,0.0009524135262330101,13.020093699917197
44,0.00032605682604749063,0.0008111460483632982,0.0009501593857010972,13.328854599967599
45,0.00034545732078346546,0.00023895692720543593,0.0009478558801197068,13.621340799960308
46,0.0002534055862094944,0.00038643035804852843,0.0009455032620941841,13.918037900002673
47,0.0002981127951208254,0.0014569468330591917,0.0009431017896156075,14.221468199975789
48,0.0007947872958640129,0.00035692521487362683,0.0009406517260324962,14.517997499904595
49,0.00031792538272064645,0.00027216123999096453,0.000938153340021932,14.828246099990793
50,0.0002679019640435198,0.00037897101719863713,0.0009356069055600951,15.128577700001188
51,0.0002339804774815099,0.0003615146561060101,0.0009330127018922197,15.43708299996797
52,0.00029034542383119373,0.0001985587878152728,0.0009303710135019722,15.738952999934554
53,0.00022666468935022877,0.00029126249137334526,0.0009276821300802536,16.04688159993384
54,0.0002924743335279592,0.0005992456572130322,0.0009249463464934323,16.344388199970126
55,0.00042748190153385745,0.0008040973334573209,0.0009221639627510079,16.64247889991384
56,0.00034850826310821564,0.000246921757934615,0.0009193352839727124,16.93862689996604
57,0.00025686286691528224,0.0002849589509423822,0.0009164606203550501,17.232072299928404
58,0.00023410076079915406,0.0008036074577830732,0.0009135402871372812,17.529309200006537
59,0.0003971362133760617,0.0006747653242200613,0.0009105746045668523,17.834758799988776
60,0.00039393901188378925,0.00046382754226215184,0.0009075638978642773,18.12421739997808
61,0.0002514225417913002,0.0002824772382155061,0.000904508497187474,18.414524999912828
62,0.0002593552307062277,0.00027431518537923694,0.0009014087375955575,19.120154400006868
63,0.00019957912739731491,0.0002516430104151368,0.0008982649590120983,19.416354199987836
64,0.00023074976325425568,0.0004068839189130813,0.0008950775061878453,19.701401599915698
65,0.000292089291075194,0.0002604008186608553,0.00089184672866292,19.99113139999099
66,0.0002247139651503975,0.0005512298084795475,0.0008885729807284855,20.283140799961984
67,0.0002765539895207337,0.00021399187971837819,0.0008852566213878947,20.573968999902718
68,0.00019895406944577405,0.0003822313155978918,0.0008818980143173212,20.86716309993062
69,0.00023203513315633026,0.00020169533672742546,0.0008784975278258782,21.15120769990608
70,0.00021314571822931538,0.00019707073806785047,0.0008750555348152298,21.439183299895376
71,0.00018881725896405135,0.00023711170069873333,0.0008715724127386972,21.752152299974114
72,0.00023879173801017082,0.00017992177163250744,0.0008680485435598672,22.044100899947807
73,0.00018663889060480573,0.00017367833061143756,0.0008644843137107058,22.348753899917938
74,0.00017328388293327967,0.00016661373956594616,0.0008608801140491812,22.650062799919397
