protocol,model,seed,stratum,group,case_count,geometry_count,equal_case_MAE,equal_case_RMSE,mean_case_RMSE,R2_pooled,maximum_positive_error,maximum_absolute_error,case_time_positive_error_q95,case_time_positive_error_q99,per_case_MAE_q50,per_case_MAE_q90,per_case_MAE_q95,per_case_MAE_q99,per_case_max_positive_error_q50,per_case_max_positive_error_q90,per_case_max_positive_error_q95,per_case_max_positive_error_q99
loco_perturbed_iso,fire_only,42,fire_family,perturbed_iso,111,111,0.012380413949850516,0.016803622858732242,0.01584139039764598,0.995694709082577,0.07910877466201782,0.07910877466201782,0.030526965856552124,0.051323248445987714,0.011672583820878482,0.016468995479775258,0.02132811104176474,0.03455300869145356,0.039257168769836426,0.06579554080963135,0.07090818881988525,0.07870605587959291
loco_perturbed_iso,fire_only,42,crack_count,1,17,17,0.012847076551836046,0.01682627216183092,0.01673493472919636,0.9956703061702658,0.051085472106933594,0.06146812438964844,0.014879453182220457,0.029372680187225456,0.012998451463511734,0.014277437964423758,0.014762301242253818,0.01612765663227097,0.028574466705322266,0.043638741970062254,0.0473426342010498,0.050336904525756836
loco_perturbed_iso,fire_only,42,crack_count,10,3,3,0.0110093449634281,0.016531890229185064,0.016527400319875356,0.9959015873458357,0.0737578272819519,0.0737578272819519,0.025052161514759072,0.05629509329795841,0.010589360946514567,0.013002380386727755,0.013304007816754403,0.013545309760775722,0.06071019172668457,0.07114830017089843,0.07245306372642517,0.07349687457084655
loco_perturbed_iso,fire_only,42,crack_count,11,3,3,0.01587595430309655,0.01986223396234481,0.019663560750114113,0.9941939075473082,0.06379908323287964,0.07102632522583008,0.03070602118968964,0.04961344957351688,0.015303954054586223,0.019609065292800057,0.020147204197576787,0.020577715321398172,0.05332517623901367,0.06170430183410645,0.06275169253349304,0.06358960509300232
loco_perturbed_iso,fire_only,42,crack_count,12,3,3,0.025276523999503402,0.030746376133800418,0.029292764599534223,0.9856225269575069,0.07884359359741211,0.07884359359741211,0.0571929305791855,0.07494589924812319,0.028567269810887634,0.033574323991283045,0.03420020576383247,0.03470091118187201,0.06810498237609863,0.07669587135314941,0.07776973247528077,0.07862882137298584
loco_perturbed_iso,fire_only,42,crack_count,14,1,1,0.012878720572248835,0.016275851994194988,0.016275851994194988,0.996100411792916,0.05758696794509888,0.0576896071434021,0.01977190375328064,0.03836532831192012,0.012878720572248835,0.012878720572248835,0.012878720572248835,0.012878720572248835,0.05758696794509888,0.05758696794509888,0.05758696794509888,0.05758696794509888
loco_perturbed_iso,fire_only,42,crack_count,2,10,10,0.011932562749649657,0.01554892803019948,0.015338097340614665,0.9962712116255428,0.05943387746810913,0.05943387746810913,0.02001628316938873,0.04517171502113342,0.012228359636224683,0.014600510156301202,0.014612120246423072,0.01462140831852057,0.030387580394744873,0.047225856781005854,0.05332986712455748,0.05821307539939881
loco_perturbed_iso,fire_only,42,crack_count,3,17,17,0.011171190145361734,0.01497043748353062,0.014738504739642647,0.9965021244874365,0.07910877466201782,0.07910877466201782,0.024464011192321774,0.04634196281433108,0.011374552291436274,0.013448876545566028,0.014752638230069738,0.015356911174097999,0.039257168769836426,0.06568571329116822,0.07278391122817993,0.07784380197525025
loco_perturbed_iso,fire_only,42,crack_count,4,12,12,0.00971311134861304,0.01348007302333365,0.013254703189582216,0.9972313416531493,0.06579554080963135,0.06579554080963135,0.023008615896105762,0.04239575922489166,0.009589902690199555,0.012667030676222237,0.012903072272778534,0.013116227156925397,0.03230363875627518,0.05013697743415833,0.05736524462699889,0.06410948157310487
loco_perturbed_iso,fire_only,42,crack_count,5,18,18,0.010556392215585884,0.014083460947882742,0.013543111364289416,0.996955156987328,0.07746821641921997,0.07746821641921997,0.025834986567497237,0.0407182115316391,0.010576144135633452,0.013628547510407011,0.015648580687578576,0.019294365158945802,0.03979724645614624,0.06201258301734924,0.06445665061473844,0.07486590325832364
loco_perturbed_iso,fire_only,42,crack_count,6,6,6,0.009900843541397425,0.01260435649657655,0.012220139065229526,0.9975667282588131,0.03816312551498413,0.03816312551498413,0.026745159178972244,0.03205774128437043,0.009697323848233848,0.013010918697128532,0.013207997287028149,0.013365660158947844,0.03052491694688797,0.036813169717788696,0.037488147616386414,0.03802812993526459
loco_perturbed_iso,fire_only,42,crack_count,7,7,7,0.011571231383210881,0.015490874794394125,0.014407988214738954,0.9963991053997481,0.05823618173599243,0.06853294372558594,0.0313589259982109,0.0414684534072876,0.010301848965101555,0.01860173995621869,0.02042470910265797,0.0218830844198094,0.03883275389671326,0.05403015613555909,0.05613316893577575,0.057815579175949094
loco_perturbed_iso,fire_only,42,crack_count,8,10,10,0.016356819648234572,0.02186394256046156,0.01969539636140904,0.9928920921570111,0.0699966549873352,0.0699966549873352,0.04596926420927041,0.059334952086210244,0.014895956077780879,0.023777845056086284,0.03190919239318271,0.03841427026285989,0.055384159088134766,0.06898390650749206,0.06949028074741363,0.06989538013935089
loco_perturbed_iso,fire_only,42,crack_count,9,4,4,0.01667033080927661,0.02254451477681079,0.02081867560467286,0.992345221207706,0.07718241214752197,0.07718241214752197,0.04522721320390701,0.06169000208377836,0.01303197232792612,0.027608094657542277,0.029851696872320324,0.03164657864414277,0.0668279230594635,0.0752117931842804,0.07619710266590118,0.0769853502511978
loco_perturbed_iso,fire_only,42,source_batch,batch_004,50,50,0.012047620661190299,0.01601439434809117,0.01510897960765829,0.9960751091397709,0.0688713788986206,0.0688713788986206,0.029377166926860803,0.047257378846406836,0.011729310984249975,0.016173442776818744,0.017925526598682164,0.03032152278806827,0.030737444758415222,0.05052950382232666,0.06081140637397765,0.06736421823501586
loco_perturbed_iso,fire_only,42,source_batch,batch_005,61,61,0.01265319533399823,0.017423891621735826,0.01644172711075064,0.9953849807039356,0.07910877466201782,0.07910877466201782,0.03149968385696411,0.05299388170242315,0.011578164628294647,0.020458266261171122,0.02224767824909726,0.03318761446681179,0.04879868030548096,0.07061368227005005,0.07718241214752197,0.0789496660232544
loco_perturbed_iso,fire_only,42,retained_or_restored,retained911,111,111,0.012380413949850516,0.016803622858732242,0.01584139039764598,0.995694709082577,0.07910877466201782,0.07910877466201782,0.030526965856552124,0.051323248445987714,0.011672583820878482,0.016468995479775258,0.02132811104176474,0.03455300869145356,0.039257168769836426,0.06579554080963135,0.07090818881988525,0.07870605587959291
loco_perturbed_iso,fire_only,42,flat_response,nonflat,111,111,0.012380413949850516,0.016803622858732242,0.01584139039764598,0.995694709082577,0.07910877466201782,0.07910877466201782,0.030526965856552124,0.051323248445987714,0.011672583820878482,0.016468995479775258,0.02132811104176474,0.03455300869145356,0.039257168769836426,0.06579554080963135,0.07090818881988525,0.07870605587959291
loco_perturbed_iso,fire_only,43,fire_family,perturbed_iso,111,111,0.012054537175510152,0.01642933077550602,0.015497826816714586,0.9958843692958581,0.08117026090621948,0.08117026090621948,0.028755784034729004,0.04975962340831764,0.011137404524889148,0.0164106549298177,0.0199853530855941,0.03347580157464647,0.036637067794799805,0.06537735462188721,0.06875777244567871,0.07675850391387941
loco_perturbed_iso,fire_only,43,crack_count,1,17,17,0.013493341931726572,0.017535650608844544,0.017418895375025133,0.9952975397228111,0.05066728591918945,0.06173473596572876,0.014739751815795898,0.028120414018630992,0.01352005134351918,0.015698696282066285,0.01585563689958854,0.016299651323771865,0.024778306484222412,0.043929457664489746,0.045869398117065426,0.049707708358764646
loco_perturbed_iso,fire_only,43,crack_count,10,3,3,0.009906307982453883,0.01547393229714589,0.015448213756449078,0.9964093585282638,0.07150661945343018,0.07153600454330444,0.019453939795494087,0.05442368745803837,0.008710425774582097,0.01169638670370227,0.01206963181984229,0.012368227912754309,0.058865129947662354,0.06897832155227661,0.0702424705028534,0.07125378966331482
loco_perturbed_iso,fire_only,43,crack_count,11,3,3,0.014956159059141503,0.018848862141134688,0.01865560881968208,0.9947712480855072,0.06173509359359741,0.0710301399230957,0.028066068887710578,0.047970266342163115,0.013969956362833743,0.018492654698794006,0.019057991990789037,0.019510261824385065,0.05160975456237793,0.059710025787353516,0.060722559690475464,0.06153258681297302
loco_perturbed_iso,fire_only,43,crack_count,12,3,3,0.023966232345241017,0.029723786643958562,0.028273308017932042,0.9865629800801637,0.08117026090621948,0.08117026090621948,0.05371327102184296,0.07679869413375855,0.026801833363830067,0.03239527364246181,0.033094453677290775,0.03365379770515395,0.06614041328430176,0.07816429138183593,0.07966727614402772,0.08086966395378113
loco_perturbed_iso,fire_only,43,crack_count,14,1,1,0.011364798870731573,0.014942525051910373,0.014942525051910373,0.9967131546553216,0.05584108829498291,0.05747485160827637,0.017085552215576172,0.0341145515441894,0.011364798870731573,0.011364798870731573,0.011364798870731573,0.011364798870731573,0.05584108829498291,0.05584108829498291,0.05584108829498291,0.05584108829498291
loco_perturbed_iso,fire_only,43,crack_count,2,10,10,0.012120666379322773,0.015815061477342768,0.015577903364498746,0.9961424763436602,0.05517113208770752,0.05517113208770752,0.01965285539627071,0.04669093787670135,0.012265540781568308,0.014875557182020828,0.015381622006047944,0.01578647386526964,0.02912658452987671,0.04806880354881286,0.051619967818260185,0.054460899233818055
loco_perturbed_iso,fire_only,43,crack_count,3,17,17,0.010901787816730967,0.014757601192431306,0.014552889939256599,0.9966008768068442,0.07693499326705933,0.07693499326705933,0.023810577392578115,0.04791569471359254,0.010740240150299228,0.013170568119795596,0.013783620273480648,0.015589368783059667,0.035351455211639404,0.06287145614624023,0.07056378126144408,0.07566075086593628
loco_perturbed_iso,fire_only,43,crack_count,4,12,12,0.009675719775259495,0.013414135438192422,0.01319388586505399,0.9972583611141939,0.06537735462188721,0.06537735462188721,0.02159752547740936,0.04366568922996517,0.009423337174487897,0.011677980539007265,0.012352043836087475,0.012953259389175744,0.028715986758470535,0.045333492755889895,0.05441532731056212,0.06318494915962221
loco_perturbed_iso,fire_only,43,crack_count,5,18,18,0.01004583713596853,0.013500707987655645,0.01297285051525829,0.9972019259358166,0.07517009973526001,0.07517009973526001,0.023363117873668668,0.040426492094993535,0.010376878327033559,0.013295923576491779,0.015461798595478294,0.018338875843242536,0.03931158781051636,0.06013048887252807,0.06241423487663267,0.07261892676353451
loco_perturbed_iso,fire_only,43,crack_count,6,6,6,0.00942447479264658,0.011919666704762969,0.011626844705057336,0.9978239068586476,0.036332905292510986,0.036332905292510986,0.02391873672604561,0.03417417705059052,0.009473502819166809,0.011960898663421145,0.012211253515398894,0.01241153739698109,0.03275975584983826,0.035940974950790405,0.036136940121650696,0.036293712258338925
loco_perturbed_iso,fire_only,43,crack_count,7,7,7,0.010614249689517592,0.014295891287668266,0.013258933857644874,0.9969332314848224,0.05642735958099365,0.06677305698394775,0.02962417304515838,0.040044559836387654,0.009001857249951754,0.017432242094493306,0.018889809491448712,0.020055863409013042,0.03567028045654297,0.05225491523742676,0.0543411374092102,0.05601011514663696
loco_perturbed_iso,fire_only,43,crack_count,8,10,10,0.01540408350649427,0.020760597058551003,0.018531810851020663,0.9935913801365961,0.06807684898376465,0.06807684898376465,0.0442326210439205,0.05778018906712529,0.013699281044670792,0.022712755074999365,0.030647035679001282,0.03699446016220285,0.05357155203819275,0.06664615869522095,0.0673615038394928,0.06793377995491028
loco_perturbed_iso,fire_only,43,crack_count,9,4,4,0.015614430633846852,0.02144324702165582,0.019788955608520075,0.9930748057903204,0.07496660947799683,0.07496660947799683,0.04243004024028778,0.05981154739856718,0.012464376441279394,0.026448203592759668,0.02853175796507323,0.030198601462924086,0.06487423181533813,0.07303999662399292,0.07400330305099487,0.07477394819259643
