protocol,model,seed,stratum,group,case_count,equal_case_MAE,equal_case_RMSE,mean_case_RMSE,R2_pooled,maximum_positive_error,maximum_absolute_error,case_time_positive_error_q95,case_time_positive_error_q99,per_case_MAE_q50,per_case_MAE_q90,per_case_MAE_q95,per_case_MAE_q99,per_case_max_positive_error_q50,per_case_max_positive_error_q90,per_case_max_positive_error_q95,per_case_max_positive_error_q99
loco_iso834,capacity_matched_deepsets,42,fire_family,iso834,158,0.008066317686143567,0.010734751489451503,0.010343957651045333,0.998276158056386,0.0585789680480957,0.07955127954483032,0.01900779344141483,0.030221310257911662,0.007420758182396655,0.011292030906579535,0.013558995479443036,0.016379327110824047,0.024773061275482178,0.037286219000816356,0.04133293032646179,0.04620358705520632
loco_iso834,capacity_matched_deepsets,42,crack_count,1,19,0.007531253696516529,0.009937816358592729,0.009800296424629432,0.9985114233881298,0.04001086950302124,0.04001086950302124,0.017721259593963617,0.02932636499404908,0.0071365316627455535,0.009522006135494983,0.00966291036762175,0.010124840755931666,0.027233481407165527,0.03316653966903686,0.03623260259628295,0.03925521612167358
loco_iso834,capacity_matched_deepsets,42,crack_count,10,6,0.011072804418499352,0.013923766361537401,0.01366904471717549,0.9971874870009684,0.03824472427368164,0.0625232458114624,0.01711660623550415,0.025946417450904865,0.011031780697283198,0.013848363589800771,0.01476804440321981,0.015503789053955039,0.024263590574264526,0.03672802448272705,0.037486374378204346,0.03809305429458618
loco_iso834,capacity_matched_deepsets,42,crack_count,11,3,0.007757351453838452,0.010678446104905839,0.010581938051829517,0.9983283546686422,0.034965455532073975,0.043216824531555176,0.022797751426696784,0.028432186841964767,0.008618467472127227,0.008784392830289778,0.008805133500060097,0.008821726035876352,0.033900558948516846,0.03475247621536255,0.03485896587371826,0.034944157600402835
loco_iso834,capacity_matched_deepsets,42,crack_count,12,2,0.015215438683746292,0.019431756746067116,0.018404899373845384,0.9946080234347852,0.0402182936668396,0.0402182936668396,0.03622082918882369,0.04010072410106658,0.015215438683746292,0.02092966775058723,0.021643946383942347,0.022215369290626442,0.04021438956260681,0.04021751284599304,0.04021790325641632,0.04021821558475494
loco_iso834,capacity_matched_deepsets,42,crack_count,13,4,0.01021906745726945,0.013014826255976233,0.012701706118476978,0.9975506803706338,0.044645488262176514,0.044645488262176514,0.02134084701538086,0.028835224509239178,0.010430532583936315,0.013230503148964195,0.013647583783527865,0.013981248291178805,0.028643876314163208,0.04039164781570435,0.04251856803894043,0.044220104217529296
loco_iso834,capacity_matched_deepsets,42,crack_count,15,1,0.008797620591081556,0.01175961515704214,0.01175961515704214,0.9979783509277058,0.023538142442703247,0.030070900917053223,0.021301090717315674,0.023370182514190672,0.008797620591081556,0.008797620591081556,0.008797620591081556,0.008797620591081556,0.023538142442703247,0.023538142442703247,0.023538142442703247,0.023538142442703247
loco_iso834,capacity_matched_deepsets,42,crack_count,2,18,0.007642979599630463,0.01019242237101447,0.009729929955155666,0.9984244268637612,0.033977210521698,0.033977210521698,0.021372793614864313,0.030790651440620414,0.0067413772960178186,0.009534803619150257,0.01098023521729179,0.0160329284152535,0.02200797200202942,0.0332120418548584,0.033864888548851016,0.0339547461271286
loco_iso834,capacity_matched_deepsets,42,crack_count,3,17,0.006916034488921685,0.009225181752043482,0.009065434056610713,0.9987120146583768,0.04209315776824951,0.04209315776824951,0.01737946271896362,0.027483419179916493,0.006399459526187084,0.008718837272436893,0.00935352801299486,0.009503308622563472,0.022210806608200073,0.03838679790496826,0.04082949161529541,0.04184042453765869
loco_iso834,capacity_matched_deepsets,42,crack_count,4,19,0.007253372448723929,0.009810727775962449,0.009538327516216475,0.9985544813395913,0.03651142120361328,0.07720327377319336,0.01840179860591887,0.02496248126029971,0.006551085498000755,0.008877644590178473,0.010692315542551333,0.012544921486348403,0.022070229053497314,0.02701435089111328,0.028140783309936503,0.03483729362487793
loco_iso834,capacity_matched_deepsets,42,crack_count,5,13,0.00800310303122369,0.010695515906939176,0.010330826126153197,0.9982877202792538,0.037928611040115356,0.07955127954483032,0.016054999828338624,0.026243214607238843,0.00818429349875841,0.01123401890279817,0.011679448810268622,0.011679551349800142,0.022514045238494873,0.03268210887908936,0.03512064218521117,0.037367017269134516
loco_iso834,capacity_matched_deepsets,42,crack_count,6,16,0.009104953842145987,0.011655815103859159,0.01120445209941921,0.9979762533039447,0.04168504476547241,0.04168504476547241,0.01786358654499054,0.027734175324440002,0.008203155071031852,0.013655973567825849,0.013859523124382144,0.014015545757090459,0.01801040768623352,0.033123552799224854,0.03969363868236542,0.04128676354885101
loco_iso834,capacity_matched_deepsets,42,crack_count,7,17,0.007386351760437311,0.009783738080154413,0.009610198219930938,0.9985524166874469,0.0585789680480957,0.0585789680480957,0.01440749168395996,0.029710783958435197,0.006529960231702836,0.009490928420277892,0.009822736191944997,0.010172101254345941,0.023732364177703857,0.042053830623626706,0.04629850387573241,0.056122875213623045
loco_iso834,capacity_matched_deepsets,42,crack_count,8,21,0.008574113877930742,0.011253392441884738,0.010949563974627765,0.9981222904333591,0.04826897382736206,0.05603879690170288,0.018459618091583252,0.03365660905838016,0.008063871413469315,0.010728254792143087,0.014070015644929448,0.014355727285146714,0.03224152326583862,0.04227393865585327,0.044278740882873535,0.047470927238464355
loco_iso834,capacity_matched_deepsets,42,crack_count,9,2,0.0066332288208555005,0.008981638141711245,0.008818914280008116,0.9987883006748436,0.029148459434509277,0.029148459434509277,0.01879128962755198,0.028129539489746076,0.0066332288208555005,0.007338242330512063,0.007426369019219133,0.007496870370184789,0.02114582061767578,0.027547931671142577,0.028348195552825927,0.028988406658172608
loco_iso834,capacity_matched_deepsets,42,source_batch,batch_004,97,0.007832431066790727,0.010260200833708813,0.009987118156131125,0.998414227285083,0.0585789680480957,0.0585789680480957,0.018471384048461905,0.02931995630264283,0.007611015658886706,0.010265549821931808,0.011945276182205936,0.014069455566464875,0.02599465847015381,0.03836910128593445,0.041766667366027826,0.048681373596191325
loco_iso834,capacity_matched_deepsets,42,source_batch,batch_005,61,0.008438235752983332,0.01144892835990514,0.010911390946236778,0.9980603761169549,0.044645488262176514,0.07955127954483032,0.019707605242729187,0.03163827657699597,0.007224491018740857,0.012009001962962697,0.014070015644929448,0.019320951035765345,0.024172812700271606,0.03581279516220093,0.04021048545837402,0.043222558498382566
loco_iso834,capacity_matched_deepsets,42,retained_or_restored,retained911,158,0.008066317686143567,0.010734751489451503,0.010343957651045333,0.998276158056386,0.0585789680480957,0.07955127954483032,0.01900779344141483,0.030221310257911662,0.007420758182396655,0.011292030906579535,0.013558995479443036,0.016379327110824047,0.024773061275482178,0.037286219000816356,0.04133293032646179,0.04620358705520632
loco_iso834,capacity_matched_deepsets,42,flat_response,nonflat,158,0.008066317686143567,0.010734751489451503,0.010343957651045333,0.998276158056386,0.0585789680480957,0.07955127954483032,0.01900779344141483,0.030221310257911662,0.007420758182396655,0.011292030906579535,0.013558995479443036,0.016379327110824047,0.024773061275482178,0.037286219000816356,0.04133293032646179,0.04620358705520632
loco_iso834,capacity_matched_deepsets,43,fire_family,iso834,158,0.008089255247807004,0.01075811408752216,0.010371277874241382,0.998268646517608,0.05129659175872803,0.08465707302093506,0.019241747260093686,0.029336984753608682,0.007475311119781166,0.011529722156339005,0.013044900584538456,0.01671993362488318,0.02417340874671936,0.03952663540840149,0.04251463413238526,0.04939193785190584
loco_iso834,capacity_matched_deepsets,43,crack_count,1,19,0.007370005974849819,0.009629015639051155,0.009515725450952032,0.9986024960597228,0.03265143930912018,0.03770321607589722,0.015241828560829156,0.025339629650115974,0.007630964771645968,0.00856276623538283,0.008620081799196414,0.008798106123433739,0.0221501886844635,0.03173571825027466,0.032525308430194855,0.032626213133335115
loco_iso834,capacity_matched_deepsets,43,crack_count,10,6,0.011303660393656928,0.014119952668907788,0.013832906492676418,0.9971076718418066,0.044761717319488525,0.05896806716918945,0.018405131995677948,0.031117931008338956,0.01080448281203137,0.015007146741034556,0.015565180570864288,0.016011607634728073,0.025502324104309082,0.04028347134590149,0.04252259433269501,0.04431389272212982
loco_iso834,capacity_matched_deepsets,43,crack_count,11,3,0.008082169510139141,0.010830271791240645,0.010731210911893907,0.9982804819825386,0.036059558391571045,0.036059558391571045,0.02273269891738892,0.030412614345550565,0.008601728460339249,0.009761359493751995,0.009906313372928587,0.010022276476269862,0.0339047908782959,0.03562860488891602,0.03584408164024353,0.03601646304130554
loco_iso834,capacity_matched_deepsets,43,crack_count,12,2,0.014910185587455015,0.018815066028932164,0.017620047150259693,0.9949448347244171,0.044693052768707275,0.044693052768707275,0.03551314324140548,0.04184168845415113,0.014910185587455015,0.02060005013204989,0.021311283200124247,0.021880269654583735,0.043556421995162964,0.04446572661399841,0.04457938969135285,0.04467032015323639
loco_iso834,capacity_matched_deepsets,43,crack_count,13,4,0.010177097039022406,0.012863290715083736,0.012518519955098045,0.9976073846569218,0.04821687936782837,0.04821687936782837,0.023177754878997796,0.029781123399734488,0.010777951080779561,0.012830077771280634,0.013141708155391646,0.013391012462680457,0.029362142086029053,0.04437175393104553,0.046294316649436944,0.04783236682415008
loco_iso834,capacity_matched_deepsets,43,crack_count,15,1,0.010829406500351234,0.014722399495145182,0.014722399495145182,0.9968313319224252,0.02929532527923584,0.02929532527923584,0.02741795778274536,0.02920125126838684,0.010829406500351234,0.010829406500351234,0.010829406500351234,0.010829406500351234,0.02929532527923584,0.02929532527923584,0.02929532527923584,0.02929532527923584
loco_iso834,capacity_matched_deepsets,43,crack_count,2,18,0.0077775208371095965,0.010173656977364985,0.009752827664529397,0.998430223137043,0.03869098424911499,0.03869098424911499,0.019434624910354602,0.02830303907394406,0.007062596375824975,0.009689531841727555,0.01094695404782646,0.01619813763093752,0.01942339539527893,0.03343600630760193,0.03478626310825347,0.03791004002094268
loco_iso834,capacity_matched_deepsets,43,crack_count,3,17,0.006964986021257758,0.009395132674453502,0.009234441131513048,0.9986641217077495,0.043052077293395996,0.043052077293395996,0.016409683227539055,0.027432911396026695,0.006721847247881967,0.008236741164668663,0.008796981160269408,0.00953543123407442,0.022623151540756226,0.0399323582649231,0.041112971305847165,0.04266425609588623
loco_iso834,capacity_matched_deepsets,43,crack_count,4,19,0.0076720297137296235,0.010152311953053097,0.009974187811535617,0.9984520705609826,0.025754690170288086,0.08465707302093506,0.01747268289327621,0.02314091444015504,0.0074858063923530895,0.009225585739143559,0.009672566356717555,0.01193134488385232,0.023010224103927612,0.024974077939987183,0.02517777383327484,0.025639306902885437
loco_iso834,capacity_matched_deepsets,43,crack_count,5,13,0.007532328249790329,0.010261951297255436,0.009860724495326156,0.9984237280923537,0.04071733355522156,0.0827488899230957,0.014552950859069824,0.024193038940429713,0.007409008189302976,0.01091353005317391,0.011609474728341963,0.01163666948431828,0.022845745086669922,0.030304729938507084,0.03515514731407164,0.039604896306991565
