protocol,model,seed,sample_id,geometry_id,fire_family,crack_count,source_batch,legacy_final_id,flat_response,MAE,RMSE,maximum_overprediction
loco_bilinear,fire_only,42,b005_0552,407acae96c8ecf105f6360065d304b9b54c3f9deb44709cb056c989216011031,bilinear,15,batch_005,sample_0774,False,0.023089722531740783,0.028927535815859513,0.057058095932006836
loco_bilinear,fire_only,42,b005_0554,1dc7132eeee3b00a8b97744d5f7b2ce25ee1e5b9585eb8079cacbd6389068fb2,bilinear,8,batch_005,sample_0775,False,0.01546235113847451,0.019950956486171144,0.048208147287368774
loco_bilinear,fire_only,42,b005_0555,c2c001202a8c28c746d959710863eac06ac82ced0c8dca50f7a3f84fc3016514,bilinear,9,batch_005,sample_0776,False,0.13803381607180737,0.23283641303086142,0.45517951250076294
loco_bilinear,fire_only,42,b005_0557,45d31a356d8f8f1e5d58fc21b00971d11967d982e6b69d1b1fb1edc4d8dd75ad,bilinear,7,batch_005,sample_0777,False,0.020591082509423864,0.02638774233992909,0.05194014310836792
loco_bilinear,fire_only,42,b005_0558,8dbba299246eda7404a091a6f2a42feecd4cf165bb99049313415dbd004b2050,bilinear,12,batch_005,sample_0778,False,0.05178277463209434,0.06083400685097514,0.10942590236663818
loco_bilinear,fire_only,42,b005_0559,2cb4bf25ab033f514f5e44667253599d752a36c9bbf520e8443d1f27d855f5d9,bilinear,6,batch_005,sample_0779,False,0.020698165795842154,0.03231906777285938,0.015440821647644043
loco_bilinear,fire_only,42,b005_0560,a0c14c90e07b77c6c0c4c5377737c10363967a2cd05704b676659e7ba7ec8554,bilinear,6,batch_005,sample_0780,False,0.013867470084643755,0.0213190414467073,0.03456336259841919
loco_bilinear,fire_only,42,b005_0561,cde241fdf68803422b96faca8abdd511d5d30d58431b6b25ab546fefa980ef84,bilinear,4,batch_005,sample_0781,False,0.011529964013177841,0.015507555742747061,0.022982537746429443
loco_bilinear,fire_only,42,b005_0563,11389e417774581855600f06710b1cd4ca36349c94fb3a618632194acb8bb3e4,bilinear,13,batch_005,sample_0782,False,0.022369955406814326,0.026941705859949903,0.03680562973022461
loco_bilinear,fire_only,42,b005_0565,e0972ac40e920e243358190ed8fc04ed14175f4d89da09987ca77d21d82e24d7,bilinear,8,batch_005,sample_0783,False,0.026895453451109715,0.03831795192140184,0.0825531929731369
loco_bilinear,fire_only,42,b005_0566,603ef30490526fd891951527c1bb0e736184bfe7b455224d62dcfb9376a38159,bilinear,4,batch_005,sample_0784,False,0.15616617046418738,0.21730820228468284,0.36935150623321533
loco_bilinear,fire_only,42,b005_0567,5729b4d5aa7017ff45466114d0231f7b2a575d022e1c888a707cd5b7a43231b1,bilinear,1,batch_005,sample_0785,False,0.08178574481948478,0.09878888979067485,0.0515713095664978
loco_bilinear,fire_only,42,b005_0568,e6605607f89f69822009cfd6e2c71c4c837264a332d18be582234f009b8b1761,bilinear,10,batch_005,sample_0786,False,0.20854412923093701,0.33183102925985697,0.5975969433784485
loco_bilinear,fire_only,42,b005_0569,8d0f5ba8fae0269664b49b029a6fd176943cd3ece6b2cde01725c50acf3a2ed3,bilinear,4,batch_005,sample_0787,False,0.019217636741575648,0.02242195542983719,0.03993260860443115
loco_bilinear,fire_only,42,b005_0570,d685d5a69fcc4bab9d14944e095ff2fe10821a805d30307bca334983eb4bc652,bilinear,1,batch_005,sample_0788,False,0.020116616956523208,0.026931130567126357,0.054182589054107666
loco_bilinear,fire_only,42,b005_0571,9e0cd19083a3f8979b1ccd5a1e2c94f584cd19b29bb2f8090e1b1f5bdf66f6ec,bilinear,9,batch_005,sample_0789,False,0.018911356808709315,0.030936120969328778,0.007965445518493652
loco_bilinear,fire_only,42,b005_0572,10f4acd7ecb8c2e4eb0c7c20f62796e37bff40389f067d2b54a6a146446d387f,bilinear,6,batch_005,sample_0790,False,0.015797515384486465,0.022754537344723286,0.05815097689628601
loco_bilinear,fire_only,42,b005_0573,84f99d131b63c203b08bdf883e7ed257cf5de222b66fe142e0b1ce336b0e328d,bilinear,7,batch_005,sample_0791,False,0.035981069822780425,0.05487292451990119,0.03221017122268677
