protocol,model,seed,rule,same_trained_checkpoint,refitting,checkpoint_sha256,directed_edge_total,mean_abs_prediction_change,MAE_change_vs_complete,equal_case_MAE,equal_case_RMSE,mean_case_RMSE,R2_pooled,maximum_positive_error,maximum_absolute_error,case_time_positive_error_q95,case_time_positive_error_q99,per_case_MAE_q50,per_case_MAE_q90,per_case_MAE_q95,per_case_MAE_q99,per_case_max_positive_error_q50,per_case_max_positive_error_q90,per_case_max_positive_error_q95,per_case_max_positive_error_q99
loco_astm_e119,gnn,42,radius,True,False,575e0417cbb63f60fe5d23377426236265ca1ff78ea8dc2fdcf531a83e95303d,2272,0.003935474902391434,0.0008624225668448452,0.008746169229794208,0.011833027432870732,0.01128618157462773,0.9979161247109659,0.06882429122924805,0.06898480653762817,0.02026673853397371,0.03467929482460023,0.008176090714872861,0.012118261124266958,0.015398530704809016,0.02107643483603587,0.027676492929458618,0.045599162578582764,0.04923253059387207,0.058190387487411524
loco_astm_e119,gnn,42,symmetric_knn,True,False,575e0417cbb63f60fe5d23377426236265ca1ff78ea8dc2fdcf531a83e95303d,2072,0.0021538494620472193,0.0002871023640486567,0.00817084902699802,0.011010026347818945,0.010626748906038644,0.9981959162338266,0.06937050819396973,0.08421951532363892,0.01799935698509217,0.030941489934921358,0.007784083852025329,0.010823485646091525,0.012940387397271685,0.015592697682927868,0.02675938606262207,0.04357849955558777,0.04831365346908567,0.057696998119354276
loco_astm_e119,gnn,43,radius,True,False,968164d9706f933adc8168224aeccd1cf429e99a45bb3c2add2da4ff7d97487f,2272,0.004728471394628286,0.002098452006052855,0.010221414810578509,0.013213439357993115,0.012638234266863413,0.9974015657393903,0.07783615589141846,0.07783615589141846,0.014311239123344423,0.028237754106521667,0.009536350909315172,0.015055244867918923,0.016995824329921454,0.021449196405830935,0.02496391534805298,0.04739335775375367,0.05833663344383238,0.06837038755416873
loco_astm_e119,gnn,43,symmetric_knn,True,False,968164d9706f933adc8168224aeccd1cf429e99a45bb3c2add2da4ff7d97487f,2072,0.003588551888242364,0.0016099591936347205,0.009732921998160374,0.012780896972723957,0.01221572156298182,0.9975689009700505,0.07168281078338623,0.07168281078338623,0.014439940452575689,0.02928263127803842,0.008820567829687088,0.013734779897771904,0.017755353585129877,0.018918911611936137,0.02363795042037964,0.04982509613037112,0.0583556294441223,0.06873756766319275
loco_astm_e119,gnn,44,radius,True,False,a5de3294bed54d104e2b36670d2cf5a125591f2802c1d18b7688b19154e5e1f3,2272,0.004725803155452013,0.0023021300230898455,0.01048833477833952,0.01359575704156745,0.012804891792380261,0.9972490241860591,0.08176010847091675,0.08176010847091675,0.01685625016689303,0.029814360737800603,0.009719485630754565,0.017137795320299812,0.019184551375811213,0.023591491200152,0.02538752555847168,0.04918129444122316,0.05600287914276123,0.07698553919792177
loco_astm_e119,gnn,44,symmetric_knn,True,False,a5de3294bed54d104e2b36670d2cf5a125591f2802c1d18b7688b19154e5e1f3,2072,0.0036818543449044228,0.001967973698563774,0.010154178453813448,0.013412100395043087,0.012547470310098183,0.9973228446490314,0.0814887285232544,0.0814887285232544,0.017340612411499028,0.031198979616165197,0.008811143639146304,0.016425211068059577,0.018691614086999264,0.026208482950192985,0.025468111038208008,0.04660205841064454,0.05836811661720276,0.07825970172882081
loco_astm_e119,gnn,45,radius,True,False,6e5ff19dfed70378cbcf75fc3dd33cc9f0ed53525e2412710b481ca487848da8,2272,0.003409974044188857,0.0003543403285705786,0.00775111793404617,0.01066189318200976,0.010197587906274208,0.9983082014969238,0.064059317111969,0.07941949367523193,0.016809266805648808,0.029175933003425737,0.0072562670121427445,0.01005167768138354,0.011627549897940426,0.016086511878205145,0.022466599941253662,0.04070005416870117,0.04515873789787292,0.05586186289787295
loco_astm_e119,gnn,45,symmetric_knn,True,False,6e5ff19dfed70378cbcf75fc3dd33cc9f0ed53525e2412710b481ca487848da8,2072,0.00201821350492537,8.08106203393933e-05,0.007477588225814985,0.010333218749470942,0.009930306579437762,0.9984108999963964,0.05899542570114136,0.08486044406890869,0.01603797972202301,0.028272185921669007,0.007133266170982455,0.009655609629193292,0.0106634827788736,0.016842862043957244,0.02211029827594757,0.038507211208343516,0.04487778544425964,0.05602502584457398
loco_astm_e119,gnn,46,radius,True,False,d7acbc19456032581a47cb338ef3a1dec5ea500192f6a6c2418e733c0e54a27b,2272,0.0033322216477245092,0.0006776479758302959,0.008283843549420035,0.011267555312826773,0.010718171101896023,0.9981105327032447,0.06255161762237549,0.08666902780532837,0.018152731657028204,0.03163325846195221,0.00749360342494777,0.011237704595092868,0.014842189915600369,0.018874608632482474,0.025339245796203613,0.03998914957046509,0.04716793894767761,0.0548853123188019
loco_astm_e119,gnn,46,symmetric_knn,True,False,d7acbc19456032581a47cb338ef3a1dec5ea500192f6a6c2418e733c0e54a27b,2072,0.0020029807928949594,0.0003728409616776422,0.007979036535267381,0.01089436382181131,0.010429185701744956,0.9982336216571955,0.05870312452316284,0.08699440956115723,0.017060545086860668,0.03013885140419013,0.007459748963840673,0.011376288997345285,0.012822871716296086,0.017211551376786396,0.023515135049819946,0.03604849576950074,0.04714406132698058,0.05752938628196717
