epoch,train_mse,validation_mse,learning_rate,elapsed_s
1,0.015917689831371807,0.003995836246758699,0.001,0.24834100005682558
2,0.003244132589201263,0.001949442783370614,0.000999972584682756,0.350421900046058
3,0.002109342753555523,0.0013486503157764673,0.0009998903417374227,0.4542379000922665
4,0.0014962594093064657,0.0010731903603300452,0.0009997532801828658,0.5692106001079082
5,0.0012437845067807649,0.0008847719873301685,0.0009995614150494292,0.6694542000768706
6,0.0010788439452230842,0.0007820335449650884,0.000999314767377287,0.7706295000389218
7,0.000985874795188464,0.0008042127592489123,0.0009990133642141358,0.8700082000577822
8,0.0012132602308738522,0.001106193638406694,0.000998657238612229,0.9618684001034126
9,0.0009055326580475042,0.0006639325874857605,0.0009982464296247522,1.0605127000017092
10,0.0008154254807183781,0.0005711002741008997,0.00099778098230154,1.1799406000645831
11,0.0006196129420477256,0.0004384708299767226,0.0009972609476841367,1.2843425000319257
12,0.0005994946677506988,0.00045833716285414994,0.0009966863828001983,1.392670400091447
13,0.0005675783650411119,0.00042352150194346905,0.0009960573506572392,1.489471900044009
14,0.0005108471702445916,0.00046789293992333114,0.000995373920235722,1.5983377000084147
15,0.0006566127120766853,0.0004919213242828846,0.0009946361664814943,1.7029046000679955
16,0.0004861660124002815,0.0003696703352034092,0.000993844170297569,1.8080667000031099
17,0.00043657384708807676,0.000359683355782181,0.0009929980185352527,1.9109423001063988
18,0.0005087852670013189,0.0005007485160604119,0.000992097803984621,2.013338200049475
19,0.0005150965017813616,0.00044977254583500326,0.0009911436253643446,2.1085044000064954
20,0.0005520791062869808,0.00038901963853277266,0.0009901355873108612,2.2022153000580147
21,0.0004407068429274286,0.00042202684562653303,0.000989073800366903,2.2955115000950173
22,0.00039805622502755127,0.00033527580671943724,0.0009879583809693738,2.3967637000605464
23,0.0003712224952968966,0.0006481544114649296,0.0009867894514365802,2.495926200062968
24,0.00061533029526827,0.00042245231452398,0.0009855671399548183,2.600132300052792
25,0.0004248911683229208,0.0003981808549724519,0.0009842915805643158,2.702710200101137
26,0.0004251847487572047,0.00034567335387691855,0.0009829629131445344,2.7985248001059517
27,0.0004036461065692213,0.00030545651679858565,0.0009815812833988294,2.894231100101024
28,0.00031984967319417194,0.00029695589910261333,0.0009801468428384719,3.0033556000562385
29,0.0003666683550986477,0.00041403743671253324,0.000978659748766034,3.1154522000579163
30,0.00041646189027271294,0.000497420085594058,0.0009771201642581387,3.2175447000190616
31,0.0004047025611202518,0.00027711462462320924,0.0009755282581475771,3.3237605000613257
32,0.0003176552718753086,0.0002917370875366032,0.0009738842050047931,3.42890460009221
33,0.0003207378706230284,0.0002681470359675586,0.0009721881851187409,3.544220200041309
34,0.0003819932685228757,0.0005780866486020386,0.0009704403844771131,3.6546037000371143
35,0.0005280277890651322,0.0004954163450747728,0.0009686409947459461,3.7618836000328884
36,0.0004015413726604716,0.0005238877492956817,0.0009667902132486011,3.8692949000978842
37,0.0003391706366208229,0.0006489473162218928,0.000964888242944126,3.969747000024654
38,0.00044501049230829783,0.00032476853812113404,0.0009629352924049977,4.074742900091223
39,0.000348032866197708,0.00031890475656837225,0.0009609315757942507,4.185890900087543
40,0.0003010191021972971,0.00026829077978618443,0.0009588773128419909,4.288398000062443
41,0.00030343803845905257,0.0003887813363689929,0.0009567727288213008,4.394451200030744
42,0.0003336351162156778,0.00026056048227474093,0.0009546180545235346,4.502139400108717
43,0.00032705253617484344,0.00043460296001285315,0.0009524135262330101,4.634150200057775
44,0.0003874132674494599,0.0002431530156172812,0.0009501593857010972,4.764673100085929
45,0.00030350142908765985,0.00041150671313516796,0.0009478558801197068,4.8802436999976635
46,0.00035982379308441574,0.0003482045722194016,0.0009455032620941841,4.986863600090146
