protocol,model,seed,sample_id,geometry_id,fire_family,crack_count,source_batch,legacy_final_id,flat_response,MAE,RMSE,maximum_overprediction
loco_linear,capacity_matched_deepsets,42,b004_0100,58a4d5a394fd4c8a5958acf25600c47f7080a8db03729720a694760f60b85de1,linear,4,batch_004,sample_0097,False,0.02238276014562513,0.03262629566496496,0.11255967617034912
loco_linear,capacity_matched_deepsets,42,b004_0102,1e2c398d2e96316662d5fd4d81ac19d94a131429cfda22abdd263bb316079010,linear,5,batch_004,sample_0099,False,0.018556254320457332,0.030893835265069534,0.10466861724853516
loco_linear,capacity_matched_deepsets,42,b004_0116,203a6e2687edc835a4adaee76e5ce101061982cebb15eafce755c663dbe73672,linear,6,batch_004,sample_0108,False,0.012112021690509359,0.019671093160872025,0.08793842792510986
loco_linear,capacity_matched_deepsets,42,b004_0118,779dd2f28924f53d1ad023caa666ec14ec69d7197e2cc90cdc19636596dad64f,linear,7,batch_004,sample_0110,False,0.01780249300550242,0.02550105711566527,0.09911876916885376
loco_linear,capacity_matched_deepsets,42,b004_0120,975d228b6691b66cdd353057f1a95ee0cbf600138541b6ec7fc86ee62acb6b9d,linear,4,batch_004,sample_0111,False,0.016705646378095032,0.031307889165367274,0.12493956089019775
loco_linear,capacity_matched_deepsets,42,b004_0123,1c2c7a955603e654f5a96ab62eee60afcf2f5cf2a36ed0f3f82dce87d6fda388,linear,2,batch_004,sample_0113,False,0.045622083007312214,0.0772453606811935,0.21449178457260132
loco_linear,capacity_matched_deepsets,42,b004_0129,9c47e2e985ea23bbb12abfa2c3feba646e83b955ee02dc2e74d4924ada76824b,linear,6,batch_004,sample_0119,False,0.01646572546880753,0.031674713485105484,0.13664013147354126
loco_linear,capacity_matched_deepsets,42,b004_0135,df4844df46355cb404e788787fa047c44aef5ec9c854ca58ca0cb44139bd8279,linear,3,batch_004,sample_0124,False,0.014387719943875173,0.021920990908500408,0.08643937110900879
loco_linear,capacity_matched_deepsets,42,b004_0137,c4733fb8fa105843e32e18d841710f2f91d28b94a19ca8773241ac8c485929ea,linear,1,batch_004,sample_0126,False,0.03033116997265425,0.04411238494080691,0.13573598861694336
loco_linear,capacity_matched_deepsets,42,b004_0140,841ecf955209f5fe07343b79d019c382822b5b9c281b4fbfde6137fb44c90197,linear,3,batch_004,sample_0128,False,0.025673866271972656,0.041447979223501526,0.15282267332077026
loco_linear,capacity_matched_deepsets,42,b004_0161,6c3d1e72506504ddc96ecdef7aae7d471686983d34ac149e0be3db32857b5c5f,linear,6,batch_004,sample_0142,False,0.02131959747095577,0.040509852540442426,0.1521773338317871
loco_linear,capacity_matched_deepsets,42,b004_0162,ca04658edcd86357df3d1194ee47e4a7a1513a182a9642593233786df1cd0f82,linear,7,batch_004,sample_0143,False,0.04092041488553657,0.0717443044170487,0.20927655696868896
loco_linear,capacity_matched_deepsets,42,b004_0167,0c9bce772bfadf563214954b8027d30fc11514eee2bb33d7d0cca49615295671,linear,1,batch_004,sample_0147,False,0.012724697101311605,0.020345312528865928,0.08663004636764526
loco_linear,capacity_matched_deepsets,42,b004_0173,b49abe0163984b6f5946b42fadbfac1911004bc60e3300ce73dbdea26bdd1fc1,linear,7,batch_004,sample_0151,False,0.026270797995270274,0.041739394036791416,0.15516740083694458
loco_linear,capacity_matched_deepsets,42,b004_0176,97e3664d5f2293dbf6aece8acaa697355acbae49d299b688e65752cffea5bd1b,linear,3,batch_004,sample_0152,False,0.01292639970779419,0.023416775463551896,0.11290013790130615
loco_linear,capacity_matched_deepsets,42,b004_0181,42cbfbe5f50d42a43376a9c3765350df5eea4c8e27d5313ba3b32ebaf0b7d02c,linear,4,batch_004,sample_0156,False,0.010816451711732834,0.01776819239096991,0.09052658081054688
loco_linear,capacity_matched_deepsets,42,b004_0187,4e69ef4269b3f7a96df9251bd47350a0693573cbf147d4e1a29789498c88583c,linear,2,batch_004,sample_0161,False,0.0524773226409662,0.08774871648814715,0.22003984451293945
loco_linear,capacity_matched_deepsets,42,b004_0188,d75bab2ecbc4f328f483071ba504ed297fbc6cdc69aef60d208d6694ae8a4fa3,linear,7,batch_004,sample_0162,False,0.016685324125602596,0.023808697562795595,0.08708029985427856
loco_linear,capacity_matched_deepsets,42,b004_0193,aca396ab5feb732c680c7999e4ea631570e9ff07b200933a2f0b85972951acd4,linear,1,batch_004,sample_0167,False,0.014692296258738784,0.022371592377765852,0.08530783653259277
loco_linear,capacity_matched_deepsets,42,b004_0194,57cea33c7cd67fdb4760faf9f601cdc85996a4e2b16e0b10efd636cb57c0b349,linear,3,batch_004,sample_0168,False,0.01667885555595648,0.03172509454774736,0.12774699926376343
