protocol,contrast,metric,baseline,candidate,effect,ci95_low,ci95_high,status,paired_seed_count,valid_bootstrap,bootstrap_repetitions
loco_plateau,attention_vs_sum_GNN,q0.8_conditional_timing_MAE_s,gnn,set_attention,0.8155339805825239,-1.1650485436893216,3.0291262135922317,ESTIMATED,5,1000,1000
loco_plateau,attention_vs_sum_GNN,q0.8_conditional_timing_median_abs_s,gnn,set_attention,0.0,0.0,0.0,ESTIMATED,5,1000,1000
loco_plateau,attention_vs_sum_GNN,q0.8_conditional_timing_bias_s,gnn,set_attention,1.5145631067961163,-1.8669902912621363,5.359223300970873,ESTIMATED,5,1000,1000
loco_plateau,attention_vs_sum_GNN,q0.6_recall,gnn,set_attention,0.0,0.0,0.0,ESTIMATED,5,1000,1000
loco_plateau,attention_vs_sum_GNN,q0.6_false_positive_rate,gnn,set_attention,,,,NOT_ESTIMABLE_ON_ALL_PAIRED_SEEDS,5,0,1000
loco_plateau,attention_vs_sum_GNN,q0.6_balanced_accuracy,gnn,set_attention,,,,NOT_ESTIMABLE_ON_ALL_PAIRED_SEEDS,5,0,1000
loco_plateau,attention_vs_sum_GNN,q0.6_conditional_timing_MAE_s,gnn,set_attention,0.46601941747572795,-3.8446601941747574,5.359223300970871,ESTIMATED,5,1000,1000
loco_plateau,attention_vs_sum_GNN,q0.6_conditional_timing_median_abs_s,gnn,set_attention,0.0,0.0,24.0,ESTIMATED,5,1000,1000
loco_plateau,attention_vs_sum_GNN,q0.6_conditional_timing_bias_s,gnn,set_attention,-0.9320388349514568,-8.158252427184467,7.109708737864076,ESTIMATED,5,1000,1000
loco_plateau,attention_vs_sum_GNN,final_spearman,gnn,set_attention,0.005629750032948078,0.0005506993410840435,0.012611322766313847,ESTIMATED,5,1000,1000
loco_plateau,attention_vs_sum_GNN,final_equal_family_spearman,gnn,set_attention,0.005629750032948078,0.0005506993410840435,0.012611322766313847,ESTIMATED,5,1000,1000
loco_plateau,attention_vs_sum_GNN,final_pairwise_order_agreement,gnn,set_attention,0.008756900818579716,-0.00019199021439178786,0.01778027890015862,ESTIMATED,5,1000,1000
loco_plateau,attention_vs_sum_GNN,final_equal_family_pairwise_order_agreement,gnn,set_attention,0.008756900818579716,-0.00019199021439178786,0.01778027890015862,ESTIMATED,5,1000,1000
loco_plateau,attention_vs_sum_GNN,time_average_spearman,gnn,set_attention,0.0071497605763738425,-0.0015854904726069678,0.01765097513040626,ESTIMATED,5,1000,1000
loco_plateau,attention_vs_sum_GNN,time_average_equal_family_spearman,gnn,set_attention,0.0071497605763738425,-0.0015854904726069678,0.01765097513040626,ESTIMATED,5,1000,1000
loco_plateau,attention_vs_sum_GNN,time_average_pairwise_order_agreement,gnn,set_attention,0.008414239482200658,-0.003422705772370096,0.019094180454148003,ESTIMATED,5,1000,1000
loco_plateau,attention_vs_sum_GNN,time_average_equal_family_pairwise_order_agreement,gnn,set_attention,0.008414239482200658,-0.003422705772370096,0.019094180454148003,ESTIMATED,5,1000,1000
