protocol,model,seed,stratum,group,case_count,geometry_count,equal_case_MAE,equal_case_RMSE,mean_case_RMSE,R2_pooled,maximum_positive_error,maximum_absolute_error,case_time_positive_error_q95,case_time_positive_error_q99,per_case_MAE_q50,per_case_MAE_q90,per_case_MAE_q95,per_case_MAE_q99,per_case_max_positive_error_q50,per_case_max_positive_error_q90,per_case_max_positive_error_q95,per_case_max_positive_error_q99
loco_linear,fire_only,42,fire_family,linear,125,125,0.05131395029435393,0.09959491864007641,0.08331411420442243,0.8240522454494587,0.3611012101173401,0.3611012101173401,0.2699228763580322,0.31405379056930544,0.04063123220303019,0.10285107542256842,0.1205457263305539,0.12592579831842515,0.2154073715209961,0.32337642908096315,0.34304276704788206,0.3577457356452942
loco_linear,fire_only,42,crack_count,1,12,12,0.03297801297463355,0.05870790406380048,0.054959217199558034,0.9398364880532659,0.24946635961532593,0.24946635961532593,0.1530322283506392,0.2149705094099044,0.032736032224092326,0.04700393823326611,0.048254552996549446,0.04925746420856382,0.1937350332736969,0.2230405330657959,0.23524787724018095,0.24662266314029696
loco_linear,fire_only,42,crack_count,10,4,4,0.02094030511550239,0.033381517399804946,0.03215932532243641,0.9875700766954705,0.18176400661468506,0.18176400661468506,0.058480165898799855,0.13810324490070325,0.02059295272729436,0.02429554318306876,0.024737010786279302,0.02509018486884774,0.1084190309047699,0.16442450881004333,0.17309425771236417,0.18003005683422088
loco_linear,fire_only,42,crack_count,11,6,6,0.06713718208458906,0.12091001344435337,0.10200595905231903,0.730559567186632,0.3590896725654602,0.3590896725654602,0.27984727919101715,0.3437248021364213,0.06408727486602596,0.1138347262730364,0.11690602500419148,0.11936306398911554,0.20667339861392975,0.34842273592948914,0.35375620424747467,0.3580229789018631
loco_linear,fire_only,42,crack_count,12,5,5,0.04335067179359373,0.08290855383998813,0.07487821786499667,0.8576460865514536,0.27026331424713135,0.27026331424713135,0.23444353342056276,0.2428519105911254,0.03527770228073245,0.07534105250092804,0.08290026461491819,0.08894763430611032,0.23854601383209229,0.2621793270111084,0.26622132062911985,0.26945491552352907
loco_linear,fire_only,42,crack_count,13,6,6,0.061446894713438276,0.11170253053628613,0.10040304625261696,0.5841383955494157,0.34840095043182373,0.34840095043182373,0.26066866517066956,0.33446048498153697,0.05270650909572351,0.10746353693672868,0.11951589132430124,0.12915777483435928,0.22442591190338135,0.30513879656791687,0.3267698734998703,0.34407473504543307
loco_linear,fire_only,42,crack_count,14,5,5,0.05798891589778369,0.11429362429484198,0.08706356175465771,0.8160778725730713,0.3459242582321167,0.3459242582321167,0.30531488656997696,0.3411186385154724,0.020569168153356333,0.11721750536903006,0.11894334574214747,0.12032401804064141,0.13720214366912842,0.3452903270721436,0.34560729265213014,0.3458608651161194
loco_linear,fire_only,42,crack_count,15,6,6,0.07399967728091068,0.12789715141400682,0.11100348426641149,0.7186965218726942,0.3611012101173401,0.3611012101173401,0.29099348187446594,0.35117793381214146,0.07314186311158977,0.12590816592583892,0.12592512014947954,0.12593868352839205,0.260889008641243,0.33848580718040466,0.3497935086488724,0.35883966982364657
loco_linear,fire_only,42,crack_count,2,11,11,0.06074555760080164,0.11843487305426957,0.1027284759794584,0.7126811296122548,0.3217282295227051,0.3217282295227051,0.2859444320201874,0.3078400075435638,0.05829608244974105,0.10117438679835836,0.10243028060334627,0.10343499564733662,0.2755218744277954,0.31725794076919556,0.3194930851459503,0.3212812006473541
loco_linear,fire_only,42,crack_count,3,8,8,0.04508599822149902,0.09340783818837194,0.07487695924379809,0.8232876163178195,0.31782978773117065,0.31782978773117065,0.2775173455476761,0.29544071316719056,0.032553235526944765,0.09906811684858605,0.09987654690859749,0.10052329095660664,0.19190457463264465,0.30253066420555114,0.31018022596836087,0.3162998753786087
loco_linear,fire_only,42,crack_count,4,10,10,0.04541596013014434,0.08779305587514162,0.07441525464438813,0.8697634916552066,0.3182637691497803,0.3182637691497803,0.24151197969913468,0.30610621809959404,0.03665351501253784,0.0928889009796205,0.09720182931814036,0.10065217198895626,0.21544012427330017,0.3106836318969727,0.3144737005233765,0.3175057554244995
loco_linear,fire_only,42,crack_count,5,12,12,0.06389723693738218,0.11824379798981945,0.10728745060148025,0.6750112221009474,0.35086268186569214,0.35086268186569214,0.28170557320117945,0.32338515400886503,0.06084288583427179,0.10066579941843377,0.10983817381936994,0.11800914451724194,0.26088759303092957,0.3292339265346527,0.3391369849443436,0.3485175424814224
loco_linear,fire_only,42,crack_count,6,16,16,0.051172453642929674,0.09866338150380478,0.08323162465615219,0.832983366804917,0.33785611391067505,0.33785611391067505,0.26958563923835754,0.31197041273117065,0.04864076830324579,0.09961664969803857,0.10593068233278932,0.11906600980485071,0.21635156869888306,0.3200572729110718,0.32782045006752014,0.3358489811420441
loco_linear,fire_only,42,crack_count,7,15,15,0.04250985614426149,0.08524599152236083,0.06813908576106102,0.8852302208684485,0.3534899353981018,0.3534899353981018,0.24350544810295097,0.3002384877204895,0.02927587327898526,0.09432889438066326,0.10260539904969634,0.11718261388481639,0.17970025539398193,0.3059671401977539,0.32063333392143245,0.3469186151027679
loco_linear,fire_only,42,crack_count,8,7,7,0.06515048217438422,0.11531470643324934,0.10163881499218437,0.7044558212566964,0.3354215621948242,0.3354215621948242,0.28134697675704956,0.3203134500980378,0.05157180790041314,0.11061082238056621,0.11737011895805108,0.12277755622003898,0.2155095934867859,0.32226976156234743,0.3288456618785858,0.3341063821315765
loco_linear,fire_only,42,crack_count,9,2,2,0.02513495405189327,0.0586460720316006,0.05501884154814806,0.9301441459214285,0.23974913358688354,0.23974913358688354,0.15740633308887436,0.23940071165561677,0.02513495405189327,0.028997667451373867,0.029480506626308942,0.029866777966257002,0.1995612382888794,0.2317115545272827,0.23573034405708312,0.23894537568092347
