protocol,model,seed,rule,same_trained_checkpoint,refitting,checkpoint_sha256,directed_edge_total,mean_abs_prediction_change,MAE_change_vs_complete,equal_case_MAE,equal_case_RMSE,mean_case_RMSE,R2_pooled,maximum_positive_error,maximum_absolute_error,case_time_positive_error_q95,case_time_positive_error_q99,per_case_MAE_q50,per_case_MAE_q90,per_case_MAE_q95,per_case_MAE_q99,per_case_max_positive_error_q50,per_case_max_positive_error_q90,per_case_max_positive_error_q95,per_case_max_positive_error_q99
loco_linear,gnn,42,radius,True,False,e08d011b35d42bf9e64a1ecd559a8becc8798261152e0d483f954e892752a537,3640,0.0030488031916320324,-0.0005588216244197287,0.019758715988182633,0.04268348415018413,0.03925374475655962,0.967683144852679,0.2573447823524475,0.2573447823524475,0.0980369448661796,0.2051442456245423,0.017646839384172785,0.03168735914543027,0.03390318976073968,0.03719330224834505,0.17551648616790771,0.2391345858573914,0.249964439868927,0.25651376008987425
loco_linear,gnn,42,symmetric_knn,True,False,e08d011b35d42bf9e64a1ecd559a8becc8798261152e0d483f954e892752a537,2952,0.0021341813262552023,-0.00016443185923530057,0.02015310575336706,0.04331091255860834,0.03990513634825635,0.9667260748617887,0.2608543038368225,0.2608543038368225,0.1028101563453674,0.20632549762725844,0.018043237142875545,0.03239607498294018,0.03507856912300235,0.03736666890441395,0.17612582445144653,0.24209327697753907,0.2491343855857849,0.25768184900283814
loco_linear,gnn,43,radius,True,False,1bb767f4691d650b1cd91582c1379fd8da83a8767150971d070b2a1af4e1cb4c,3640,0.0026503917761147022,-1.7490920473310634e-05,0.022429994180554254,0.05122734146685962,0.0419461307906423,0.9534507163088999,0.2773035764694214,0.2773035764694214,0.12742791175842255,0.24601637363433856,0.015978353189640356,0.04765763869051074,0.05016340799018985,0.05243154095821694,0.14072781801223755,0.26193968057632444,0.27333141565322877,0.27627383947372436
loco_linear,gnn,43,symmetric_knn,True,False,1bb767f4691d650b1cd91582c1379fd8da83a8767150971d070b2a1af4e1cb4c,2952,0.0019523390801623464,4.547263852886299e-05,0.022492957739556427,0.051358406138926095,0.04213994492744904,0.9532122197927871,0.27673768997192383,0.27673768997192383,0.12775919437408445,0.24582808494567904,0.0158464747374175,0.048016225705381305,0.049837088780324966,0.052700084584658274,0.14077657461166382,0.2617462396621704,0.274283230304718,0.2760829210281372
loco_linear,gnn,44,radius,True,False,1944aacd5195dc37b3fa1c125094001742c2b7ea5c21e46bdddfa39ea59dd5c7,3640,0.002604060573503375,-0.0001423671460542425,0.024320624077906382,0.05272710252359819,0.044609056837335695,0.9506852109862284,0.27029097080230713,0.27029097080230713,0.1385008573532104,0.2375828027725221,0.018798315134204803,0.05021202271101905,0.05185435013692887,0.05593515767425787,0.15792548656463623,0.2553428292274475,0.2601776123046875,0.2674897074699402
loco_linear,gnn,44,symmetric_knn,True,False,1944aacd5195dc37b3fa1c125094001742c2b7ea5c21e46bdddfa39ea59dd5c7,2952,0.0018231812864542007,-0.0004410654755889372,0.024021925748371687,0.052598709533645586,0.044412349286063156,0.9509250862665198,0.27069157361984253,0.27069157361984253,0.13956795930862365,0.2370554327964783,0.018578315367464158,0.04998546584707792,0.051487672133523905,0.0559323130670141,0.15773266553878784,0.25555614233016966,0.25989694595336915,0.2673217487335205
loco_linear,gnn,45,radius,True,False,2538ca56907ddf25dcd715d94ee23be9ab8a8320a1ec9742791e5add6e19f0cc,3640,0.0022409239318221807,-0.0003567271999648375,0.036711766996833144,0.07676032212986551,0.06862996084956728,0.8954839606721336,0.2886490225791931,0.2886490225791931,0.23574941158294677,0.27048432111740117,0.03336593557576664,0.06784344227587592,0.07317857605512025,0.07512816018745548,0.2370348572731018,0.27265541553497313,0.28017165660858157,0.28749664545059206
loco_linear,gnn,45,symmetric_knn,True,False,2538ca56907ddf25dcd715d94ee23be9ab8a8320a1ec9742791e5add6e19f0cc,2952,0.001553491922095418,-0.00031964528951488463,0.036748848907283096,0.07698382841057495,0.06884972030709177,0.8948744270038684,0.28842729330062866,0.28842729330062866,0.23719354867935175,0.27081433296203616,0.03291377034343657,0.06897413926046404,0.07393765938086588,0.07571095005410616,0.23713427782058716,0.27227474451065065,0.28017165660858157,0.28719864130020145
loco_linear,gnn,46,radius,True,False,371eb7a2c3afcf957c544a1685aac72ed8047ff45067c53ea2bacae2df4d50da,3640,0.002968502463772893,0.00018446036538139962,0.022577595055103303,0.047980100265760516,0.04206529030531316,0.9591650837902039,0.2526552677154541,0.2526552677154541,0.12494249343872063,0.21119349241256732,0.01718776147873675,0.04235485127714814,0.044296945509363396,0.046846007440910976,0.15619730949401855,0.2348245143890381,0.24282718896865843,0.2512255859375
loco_linear,gnn,46,symmetric_knn,True,False,371eb7a2c3afcf957c544a1685aac72ed8047ff45067c53ea2bacae2df4d50da,2952,0.002204124117270112,0.0001658960043406897,0.022559030694062593,0.04785780463416601,0.04186803721966429,0.9593729852897388,0.25241148471832275,0.25241148471832275,0.12466824054717998,0.2099367141723635,0.016994613604467423,0.04238391977841737,0.04427800921143078,0.04926198224552343,0.1540665626525879,0.23388842344284058,0.2429240822792053,0.2516190028190613
