protocol,model,seed,stratum,group,case_count,geometry_count,equal_case_MAE,equal_case_RMSE,mean_case_RMSE,R2_pooled,maximum_positive_error,maximum_absolute_error,case_time_positive_error_q95,case_time_positive_error_q99,per_case_MAE_q50,per_case_MAE_q90,per_case_MAE_q95,per_case_MAE_q99,per_case_max_positive_error_q50,per_case_max_positive_error_q90,per_case_max_positive_error_q95,per_case_max_positive_error_q99
loco_bilinear,fire_only,42,fire_family,bilinear,77,77,0.041888647966367626,0.09841576951917295,0.061623848168315454,0.8439488038123784,0.6443895697593689,0.6443895697593689,0.09535931944847084,0.4599511122703552,0.02137579414688173,0.10999145214674917,0.15825504074331193,0.22071377914459953,0.05194014310836792,0.38633778095245386,0.4462672352790833,0.6088271737098692
loco_bilinear,fire_only,42,crack_count,1,6,6,0.029973656509091947,0.04711291215088325,0.038643236064963435,0.9558184199301051,0.05579066276550293,0.18317902088165283,0.04854956269264221,0.05451612621545792,0.019832378039594555,0.052031371925697956,0.06690855837259137,0.07881030753010611,0.039861977100372314,0.0549866259098053,0.055388644337654114,0.05571025907993317
loco_bilinear,fire_only,42,crack_count,10,7,7,0.04706385866051815,0.12804915929471716,0.07060534108757176,0.759716546260792,0.5975969433784485,0.5975969433784485,0.07114804685115812,0.5973135423660278,0.02108772367727561,0.09975353958176791,0.1541488344063523,0.19766507026602,0.06519925594329834,0.2819623470306398,0.4397796452045437,0.5660334837436674
loco_bilinear,fire_only,42,crack_count,11,3,3,0.03239954617179808,0.04285031334022162,0.041270522665421555,0.9808253904704454,0.11024816334247589,0.11024816334247589,0.09348655045032503,0.1091931277513504,0.027025646117867015,0.04121910651199154,0.042993289061257094,0.04441263510066955,0.06941439211368561,0.10208140909671784,0.10616478621959687,0.10943148791790008
loco_bilinear,fire_only,42,crack_count,12,6,6,0.06567366791716038,0.15654287463562291,0.09009433235508423,0.6604404696246486,0.6443895697593689,0.6443895697593689,0.58292156457901,0.6439129859209061,0.022673487663269043,0.15551688925164645,0.2073839465614225,0.24887759240924337,0.07663673162460327,0.37690773606300354,0.5106486529111862,0.6176413863897324
loco_bilinear,fire_only,42,crack_count,13,5,5,0.03687969153044654,0.06367692438649902,0.05406632167407196,0.9344155816494152,0.3127514719963074,0.3127514719963074,0.10525669753551488,0.3058835816383361,0.03627446586968469,0.0561488365540739,0.06251942534915736,0.06761589638522414,0.10222922265529633,0.2423867225646973,0.2775690972805023,0.30571499705314636
loco_bilinear,fire_only,42,crack_count,14,5,5,0.0560111750344761,0.12508008571730922,0.08691353489368708,0.6066560649851422,0.41922760009765625,0.41922760009765625,0.41622990369796753,0.4189195251464844,0.028600652686885147,0.122237217230875,0.1475335950734185,0.16777069734745337,0.07230573892593384,0.3775880098342896,0.3984078049659729,0.4150636410713196
loco_bilinear,fire_only,42,crack_count,15,2,2,0.02372168493075449,0.029022786108642545,0.02902263031745711,0.9848739614362368,0.057058095932006836,0.09200811386108398,0.04570935368537901,0.051220541298389426,0.02372168493075449,0.024227254849965456,0.024290451089866827,0.024341008081787924,0.04907885193824768,0.055462247133255003,0.05626017153263092,0.05689851105213165
loco_bilinear,fire_only,42,crack_count,2,6,6,0.047265157836382514,0.107015072681406,0.06856634265743439,0.76924602551632,0.4432985186576843,0.4432985186576843,0.37695109844207764,0.4426664084196091,0.026585962928709437,0.10025872387846962,0.13343462286913982,0.159975342061676,0.028183728456497192,0.24338534474372864,0.3433419317007065,0.42330720126628885
loco_bilinear,fire_only,42,crack_count,3,6,6,0.05638483406904615,0.12023383459373138,0.09150101071140343,0.7233925785551991,0.46428126096725464,0.46428126096725464,0.3593326061964035,0.4630293905735016,0.0448875394268114,0.10700822780366803,0.11675630253357965,0.12455476231750895,0.04814329743385315,0.41610580682754517,0.4401935338973999,0.4594637155532837
loco_bilinear,fire_only,42,crack_count,4,9,9,0.03371720051287736,0.07600606209103346,0.04474188603878663,0.915209060599252,0.36935150623321533,0.36935150623321533,0.04138536453247071,0.3682807445526123,0.017635896069104554,0.05894481823092604,0.10755549434755665,0.14644403524086122,0.043509915471076965,0.12585403919219976,0.24760277271270742,0.34500175952911377
loco_bilinear,fire_only,42,crack_count,5,3,3,0.05088988654926174,0.11205439204365276,0.08652908254521104,0.773695565762778,0.41181719303131104,0.41181719303131104,0.3950955212116242,0.41028822064399717,0.034583291069405976,0.08610292653568455,0.09254288096896937,0.09769484451559723,0.05387085676193237,0.3402279257774353,0.3760225594043731,0.40465826630592344
loco_bilinear,fire_only,42,crack_count,6,4,4,0.0171062882806434,0.02563465662394231,0.02528155594165798,0.9862700045691929,0.0620291531085968,0.09741190075874329,0.04008825868368148,0.055782251060008996,0.016929758621043844,0.019907316614369876,0.020302741205106015,0.020619080877694925,0.0463571697473526,0.060865700244903564,0.06144742667675018,0.061912807822227474
