protocol,model,seed,rule,same_trained_checkpoint,refitting,checkpoint_sha256,directed_edge_total,mean_abs_prediction_change,MAE_change_vs_complete,equal_case_MAE,equal_case_RMSE,mean_case_RMSE,R2_pooled,maximum_positive_error,maximum_absolute_error,case_time_positive_error_q95,case_time_positive_error_q99,per_case_MAE_q50,per_case_MAE_q90,per_case_MAE_q95,per_case_MAE_q99,per_case_max_positive_error_q50,per_case_max_positive_error_q90,per_case_max_positive_error_q95,per_case_max_positive_error_q99
loco_external_fire,gnn,42,radius,True,False,2da826ecbfa38ce771499e2ef6f830d6943988a34250546e32c5beac58cb5844,1868,0.005646238103508949,0.0009218395185055794,0.01129803722041951,0.015134125381143478,0.014536245293394144,0.9945434509070843,0.05777987837791443,0.10471361875534058,0.02091588973999023,0.030069388151168792,0.010125531524908348,0.016106452951665788,0.019734266546906017,0.02263637681476404,0.023312687873840332,0.034391605854034425,0.03656808733940123,0.04958658099174493
loco_external_fire,gnn,42,symmetric_knn,True,False,2da826ecbfa38ce771499e2ef6f830d6943988a34250546e32c5beac58cb5844,1406,0.0029066416900604963,0.0004257646870078659,0.010801962388921796,0.014474040986359448,0.014029499844561016,0.9950090524273265,0.04077664017677307,0.109965980052948,0.018576943874359125,0.02641663789749145,0.010144940409504,0.015658717663561715,0.017886627062422326,0.019040025130647127,0.02308666706085205,0.03317087888717652,0.03580817580223082,0.040091840028762815
loco_external_fire,gnn,43,radius,True,False,ba9dd98bbafc9cc31ca7cf2ce253a82204fce5193684839c423d9238eacbe671,1868,0.005329977720975876,0.0017332859853311875,0.011840854631534347,0.015359976427418662,0.014736309935310943,0.9943793763032165,0.04720309376716614,0.09064608812332153,0.018234413862228387,0.028256804943084707,0.010764803554190964,0.01730690447033429,0.020368356831738196,0.022523012600961276,0.022996246814727783,0.03133511543273926,0.034698188304901116,0.04537831902503966
loco_external_fire,gnn,43,symmetric_knn,True,False,ba9dd98bbafc9cc31ca7cf2ce253a82204fce5193684839c423d9238eacbe671,1406,0.004235136788338423,0.0012447072904059695,0.011352275936609129,0.014891532583441315,0.014221777861516939,0.9947169806197818,0.03889605402946472,0.10080212354660034,0.01562668085098266,0.024891433715820293,0.009589891453258326,0.017395889417069856,0.019630922352681383,0.023613839569638972,0.022787153720855713,0.0325534224510193,0.0351296067237854,0.0388128411769867
loco_external_fire,gnn,44,radius,True,False,8491006433ec30a5ff6740c58958b3846b19a65607ee89faa042c35b8ff4bff6,1868,0.004694616887718439,0.001516541242400079,0.011974042431691614,0.015696430990202702,0.015066659544782975,0.9941304441192123,0.03577747941017151,0.09665131568908691,0.01715713143348694,0.026385383605956953,0.010932746236441566,0.01639460799146871,0.0203727403625113,0.024825056537252935,0.023474037647247314,0.03051748275756836,0.033754479885101316,0.03517642140388488
loco_external_fire,gnn,44,symmetric_knn,True,False,8491006433ec30a5ff6740c58958b3846b19a65607ee89faa042c35b8ff4bff6,1406,0.0033404396381229162,0.0015599839900320885,0.012017485179323623,0.015689453838217918,0.015083593316598195,0.9941356610607728,0.04169538617134094,0.09564697742462158,0.015467578172683714,0.025023648738861065,0.011796911720369683,0.01691568230019241,0.018573762158878508,0.024279979477163195,0.02292633056640625,0.030012464523315432,0.031446218490600586,0.03800399422645566
loco_external_fire,gnn,45,radius,True,False,40055d0f8ea3e9d0029a8c4cceb32b4e12addb627b64107046d4c2252fdb8841,1868,0.00654425797984004,0.0012961105484354668,0.011445868958514367,0.015546401989646899,0.014829248648155357,0.9942421121955967,0.04215061664581299,0.11189889907836914,0.017671233415603636,0.025772652626037576,0.010384006578414167,0.018036588342463387,0.02026583718471839,0.02332608613811555,0.02271217107772827,0.03235064744949341,0.03629802465438841,0.04046501636505125
loco_external_fire,gnn,45,symmetric_knn,True,False,40055d0f8ea3e9d0029a8c4cceb32b4e12addb627b64107046d4c2252fdb8841,1406,0.005500646773725748,0.001328076964120236,0.011477835374199136,0.015539828260143025,0.014830589118816196,0.9942469805624948,0.039209067821502686,0.1080026626586914,0.016638642549514766,0.025030559301376293,0.010681957006454468,0.01648447327926511,0.02017634554964597,0.025110702446249657,0.023120760917663574,0.032044756412506106,0.034857672452926626,0.037698647975921616
loco_external_fire,gnn,46,radius,True,False,ebadc8b86e6a47700155f427e1f89f57fd08918a9c195cb5f9c100fc0d075604,1868,0.005845084320753813,0.0021686426330545985,0.012342644285182563,0.016163075771846593,0.015480388434129948,0.9937762601723658,0.04107895493507385,0.10776054859161377,0.01691756248474121,0.025242705345153802,0.011508094727015887,0.017662614437400317,0.019862070142245683,0.02530592428856207,0.023026227951049805,0.03055907487869263,0.033725011348724354,0.03855520367622373
loco_external_fire,gnn,46,symmetric_knn,True,False,ebadc8b86e6a47700155f427e1f89f57fd08918a9c195cb5f9c100fc0d075604,1406,0.004651530645787716,0.002229981605485756,0.01240398325761372,0.016155134141908844,0.015515059097868898,0.9937823746640005,0.04531767964363098,0.10399496555328369,0.0157771348953247,0.025311405658721923,0.011706237177379796,0.01790252777396656,0.019970732389903448,0.02491594168983519,0.022140920162200928,0.028568124771118177,0.03226170539855956,0.04004222512245174
loco_external_fire,gnn_zero_edge_features,42,radius,True,False,6f9cbe0653779c7807786aa8471027392068a293d2c72c17b059d3a247e7b923,1868,0.002389829372987151,-2.397978214086806e-05,0.010444497615447924,0.014049773704345896,0.013542273661389697,0.9952973563555434,0.04505494236946106,0.09722918272018433,0.01886363923549652,0.026403291225433317,0.009996585181502045,0.014470462427764645,0.017021185257395755,0.020717116418432012,0.023234635591506958,0.03101195096969605,0.03267394304275512,0.04449751496315002
loco_external_fire,gnn_zero_edge_features,42,symmetric_knn,True,False,6f9cbe0653779c7807786aa8471027392068a293d2c72c17b059d3a247e7b923,1406,0.001472581410780549,0.00012787565334698887,0.010596353050935781,0.014087305415807778,0.013616940564041658,0.9952721980844625,0.047042250633239746,0.09727805852890015,0.017361789941787716,0.02452209949493408,0.010486588614885925,0.014556820910485066,0.01578503553984595,0.0200148909502342,0.02212733030319214,0.030746734142303465,0.03313698768615722,0.04343774795532224
loco_external_fire,gnn_zero_edge_features,43,radius,True,False,29231614831821181c774366e5a6af7886453128f60d08273f34f848fb7e2c49,1868,0.0041535161435604095,0.0010731427984199387,0.011506690807309027,0.015069461920137379,0.014563273610995483,0.9945899796034766,0.04737100005149841,0.1038823127746582,0.019597971439361563,0.028190186023712132,0.011413227583541245,0.016056143797811916,0.019213031110216338,0.02077096281481571,0.024278104305267334,0.03439316153526306,0.03848558664321899,0.04562358736991881
loco_external_fire,gnn_zero_edge_features,43,symmetric_knn,True,False,29231614831821181c774366e5a6af7886453128f60d08273f34f848fb7e2c49,1406,0.0030833601485937834,0.0008590814659690423,0.01129262947485813,0.01516913428356533,0.01446324531179927,0.9945181770657824,0.048119425773620605,0.10621076822280884,0.01869791746139526,0.027468342781066895,0.010266273725228231,0.01773101706973842,0.019595680764464073,0.02222921444744359,0.02447587251663208,0.03366321325302124,0.03535086512565612,0.04223839282989497
loco_external_fire,gnn_zero_edge_features,44,radius,True,False,d8e7fa1fec051f5f9ccfc9efb074514bdbf3ee75886adb1ac5f34674cdf353e2,1868,0.0027427265886217356,7.567273788764567e-05,0.01045263467145309,0.014376504402403966,0.013865252367584145,0.9950760910341363,0.040502578020095825,0.10641598701477051,0.018660670518875117,0.026480222940444904,0.009868672880970064,0.016092319322414086,0.018286610968777386,0.019239221332503147,0.022334396839141846,0.029473701119422914,0.03158675432205199,0.037874571084976175
loco_external_fire,gnn_zero_edge_features,44,symmetric_knn,True,False,d8e7fa1fec051f5f9ccfc9efb074514bdbf3ee75886adb1ac5f34674cdf353e2,1406,0.0018952894024550915,0.00026914737582725036,0.010646109309392695,0.014548733441251845,0.014080435276926198,0.9949574085225645,0.036958903074264526,0.10621452331542969,0.018550795316696164,0.025944875478744498,0.010012600265565465,0.01629933626925359,0.017436429565070098,0.018889495886740135,0.022381186485290527,0.02896827459335327,0.03217614889144897,0.034838012456893906
