model,sample_id,seed_mean_case_MAE,MAE_percentage_points,cumulative_fraction
fire_only,b005_0784,0.0026841431367592198,0.268414313675922,0.00625
fire_only,b005_0774,0.00270210387276816,0.27021038727681596,0.0125
fire_only,b005_0736,0.00270253713013692,0.270253713013692,0.01875
fire_only,b005_0773,0.00270519393389336,0.270519393389336,0.025
fire_only,b005_0792,0.00270924411836214,0.270924411836214,0.03125
fire_only,b005_0799,0.00271353819331178,0.27135381933117797,0.0375
fire_only,b005_0786,0.0027197706894796,0.27197706894796,0.04375
fire_only,b005_0733,0.0027259062548152203,0.272590625481522,0.05
fire_only,b005_0714,0.00272977664822434,0.27297766482243396,0.05625
fire_only,b005_0723,0.00273808494943082,0.273808494943082,0.0625
fire_only,b005_0805,0.00275669000187854,0.275669000187854,0.06875
fire_only,b005_0757,0.00276880791929898,0.276880791929898,0.075
fire_only,b005_0758,0.00282702680493962,0.282702680493962,0.08125
fire_only,b005_0727,0.00285034140602482,0.285034140602482,0.0875
fire_only,b005_0737,0.00295819200453208,0.29581920045320803,0.09375
fire_only,b005_0783,0.00347023264306486,0.347023264306486,0.1
fire_only,b004_0326,0.00524907898707462,0.524907898707462,0.10625
fire_only,b005_0442,0.00569311937347782,0.569311937347782,0.1125
fire_only,b005_0199,0.00588186637299952,0.588186637299952,0.11875
fire_only,b005_0049,0.0060844923995557,0.60844923995557,0.125
fire_only,b004_0349,0.00609803326794354,0.609803326794354,0.13125
fire_only,b004_0012,0.006176368586841121,0.6176368586841121,0.1375
fire_only,b004_0008,0.00638612469688786,0.638612469688786,0.14375
fire_only,b005_0513,0.0066035798582874,0.6603579858287401,0.15
fire_only,b005_0541,0.0066747682504966,0.66747682504966,0.15625
fire_only,b005_0172,0.0068773623372687,0.68773623372687,0.1625
fire_only,b005_0345,0.00696280285960334,0.696280285960334,0.16875
fire_only,b004_0181,0.00696616993575794,0.696616993575794,0.175
fire_only,b005_0025,0.007083776922988059,0.7083776922988059,0.18125
fire_only,b004_0321,0.007197935854802299,0.7197935854802299,0.1875
fire_only,b005_0503,0.007301676749694459,0.7301676749694459,0.19375
fire_only,b005_0047,0.0073356255644657,0.73356255644657,0.2
fire_only,b005_0298,0.00745932875109496,0.745932875109496,0.20625
fire_only,b005_0380,0.00756481015047084,0.756481015047084,0.2125
fire_only,b004_0192,0.00768147230636874,0.7681472306368741,0.21875
fire_only,b004_0140,0.0077079000043086595,0.770790000430866,0.225
fire_only,b005_0628,0.0077647343033649605,0.7764734303364961,0.23125
fire_only,b004_0263,0.0078099592420898005,0.78099592420898,0.2375
fire_only,b005_0181,0.0078159527700455,0.78159527700455,0.24375
fire_only,b004_0024,0.00787219373417678,0.787219373417678,0.25
fire_only,b005_0680,0.00790953665483186,0.790953665483186,0.25625
fire_only,b005_0438,0.0079830867345215,0.79830867345215,0.2625
fire_only,b005_0205,0.00805307397099788,0.805307397099788,0.26875
fire_only,b005_0688,0.00814415143161518,0.814415143161518,0.275
fire_only,b004_0013,0.008181686467323101,0.81816864673231,0.28125
fire_only,b005_0087,0.00849031476212324,0.849031476212324,0.2875
fire_only,b005_0660,0.00850088474203324,0.8500884742033241,0.29375
fire_only,b005_0376,0.008536426942856539,0.8536426942856539,0.3
fire_only,b005_0467,0.00857223609431842,0.857223609431842,0.30625
fire_only,b004_0313,0.00858811003262876,0.8588110032628761,0.3125
fire_only,b005_0040,0.00859448212336318,0.859448212336318,0.31875
fire_only,b005_0209,0.00876755001115012,0.8767550011150119,0.325
fire_only,b005_0470,0.00878132659880836,0.878132659880836,0.33125
fire_only,b004_0154,0.008896129431783159,0.8896129431783159,0.3375
fire_only,b005_0196,0.00894282538382728,0.8942825383827281,0.34375
fire_only,b005_0626,0.00896347946807982,0.8963479468079819,0.35
fire_only,b005_0323,0.00912298364717448,0.912298364717448,0.35625
fire_only,b004_0065,0.0091953379941768,0.91953379941768,0.3625
fire_only,b004_0270,0.00926879031247776,0.9268790312477759,0.36875
fire_only,b005_0119,0.0093090011081734,0.93090011081734,0.375
fire_only,b004_0082,0.00931634354542506,0.9316343545425061,0.38125
fire_only,b005_0092,0.00933102874970822,0.9331028749708221,0.3875
fire_only,b004_0259,0.00935489613501748,0.935489613501748,0.39375
fire_only,b005_0493,0.00935564219463062,0.935564219463062,0.4
fire_only,b005_0544,0.00938270960430624,0.938270960430624,0.40625
fire_only,b005_0444,0.00941553770518686,0.941553770518686,0.4125
fire_only,b004_0258,0.0094441101687853,0.94441101687853,0.41875
fire_only,b004_0277,0.00964270593201524,0.9642705932015241,0.425
fire_only,b005_0198,0.009659362327857041,0.9659362327857042,0.43125
fire_only,b004_0300,0.00971142463996756,0.971142463996756,0.4375
fire_only,b005_0350,0.009772195996808179,0.9772195996808178,0.44375
fire_only,b005_0211,0.009802496824108161,0.9802496824108161,0.45
fire_only,b005_0449,0.00982738882303234,0.9827388823032339,0.45625
fire_only,b005_0086,0.00983009040355678,0.9830090403556779,0.4625
fire_only,b005_0098,0.010041519425442898,1.0041519425442897,0.46875
fire_only,b005_0569,0.010070201608001181,1.0070201608001181,0.475
fire_only,b005_0690,0.01008549342389962,1.0085493423899619,0.48125
fire_only,b005_0231,0.01008944081478428,1.008944081478428,0.4875
fire_only,b004_0108,0.01009115962708578,1.009115962708578,0.49375
fire_only,b005_0627,0.0101216762769417,1.01216762769417,0.5
fire_only,b005_0170,0.01019942252362356,1.019942252362356,0.50625
fire_only,b005_0160,0.010426486320182879,1.042648632018288,0.5125
fire_only,b005_0418,0.01043619166632164,1.043619166632164,0.51875
fire_only,b004_0003,0.01050155651373938,1.050155651373938,0.525
fire_only,b005_0559,0.0105408617707549,1.05408617707549,0.53125
fire_only,b005_0266,0.01058130508563552,1.058130508563552,0.5375
fire_only,b004_0217,0.01068256018591702,1.068256018591702,0.54375
fire_only,b005_0065,0.010750817727358562,1.0750817727358561,0.55
fire_only,b005_0545,0.010896564348310659,1.089656434831066,0.55625
fire_only,b004_0378,0.0109502662034308,1.09502662034308,0.5625
fire_only,b004_0350,0.010976207696023501,1.09762076960235,0.56875
fire_only,b005_0482,0.01101313199176156,1.101313199176156,0.575
fire_only,b005_0672,0.0112373687204767,1.12373687204767,0.58125
fire_only,b004_0356,0.01141721568390966,1.1417215683909658,0.5875
fire_only,b005_0684,0.01152742807982394,1.152742807982394,0.59375
fire_only,b005_0537,0.01165998299590872,1.165998299590872,0.6
fire_only,b004_0367,0.011913577454989019,1.191357745498902,0.60625
fire_only,b004_0342,0.01192728925923826,1.192728925923826,0.6125
fire_only,b005_0302,0.011936003702585778,1.1936003702585778,0.61875
fire_only,b004_0198,0.01199193289045422,1.199193289045422,0.625
fire_only,b005_0604,0.01200205478511868,1.200205478511868,0.63125
fire_only,b005_0219,0.01257331525204608,1.257331525204608,0.6375
fire_only,b004_0106,0.01258898019546364,1.258898019546364,0.64375
fire_only,b005_0651,0.01274567207352054,1.274567207352054,0.65
fire_only,b005_0356,0.012918660777514041,1.2918660777514042,0.65625
fire_only,b004_0197,0.013661194482787681,1.3661194482787682,0.6625
fire_only,b005_0446,0.014095730859725162,1.4095730859725162,0.66875
fire_only,b004_0039,0.014108946589661362,1.4108946589661362,0.675
fire_only,b005_0378,0.01411493694195976,1.411493694195976,0.68125
fire_only,b004_0311,0.01412035275678158,1.412035275678158,0.6875
fire_only,b004_0070,0.01414617651798682,1.414617651798682,0.69375
fire_only,b005_0578,0.01419812948977354,1.4198129489773539,0.7
fire_only,b004_0244,0.014289643627698259,1.4289643627698259,0.70625
fire_only,b005_0121,0.014360516188574559,1.436051618857456,0.7125
fire_only,b005_0107,0.0145476219351174,1.45476219351174,0.71875
fire_only,b005_0465,0.014669644686042219,1.4669644686042218,0.725
fire_only,b005_0273,0.01470616623514986,1.470616623514986,0.73125
fire_only,b005_0062,0.014717116866443922,1.4717116866443922,0.7375
fire_only,b005_0242,0.01474526075066106,1.474526075066106,0.74375
fire_only,b004_0253,0.01479393597997598,1.479393597997598,0.75
fire_only,b005_0612,0.01483863318552732,1.483863318552732,0.75625
fire_only,b005_0290,0.014988162450980919,1.4988162450980917,0.7625
fire_only,b005_0548,0.014993432872608,1.4993432872608001,0.76875
fire_only,b004_0006,0.014998315689993621,1.4998315689993622,0.775
fire_only,b005_0505,0.01502824323099162,1.502824323099162,0.78125
fire_only,b005_0217,0.01505942725744398,1.505942725744398,0.7875
fire_only,b005_0508,0.01512445186982388,1.512445186982388,0.79375
fire_only,b005_0133,0.01542169605610794,1.542169605610794,0.8
fire_only,b004_0088,0.01544357517459348,1.544357517459348,0.80625
fire_only,b005_0610,0.01552964556412614,1.552964556412614,0.8125
fire_only,b005_0222,0.01553967683041676,1.553967683041676,0.81875
fire_only,b005_0070,0.01566918510638296,1.566918510638296,0.825
fire_only,b005_0434,0.01567358670176048,1.567358670176048,0.83125
fire_only,b004_0029,0.0161498308181762,1.61498308181762,0.8375
fire_only,b004_0185,0.01623409589538804,1.6234095895388039,0.84375
fire_only,b004_0084,0.01655222343616792,1.6552223436167919,0.85
fire_only,b005_0575,0.01661098052243712,1.661098052243712,0.85625
fire_only,b004_0215,0.0168215297284673,1.68215297284673,0.8625
fire_only,b005_0120,0.0168851161345106,1.6885116134510598,0.86875
