contrast,definition,mean_difference,percentile_95_lower,percentile_95_upper,bootstrap_repeats,bootstrap_random_seed,interval_method
graph_vs_capacity_matched,capacity_matched_deepsets MAE minus gnn MAE; positive favors gnn,-0.00019592156408537853,-0.000622967513748559,0.00022695006612978385,5000,20260907,two_way_geometry_seed_percentile
mean_vs_sum,gnn MAE minus gnn_mean MAE; positive favors gnn_mean,0.00024652720177088116,-0.00017023476999115624,0.0006898545439700498,5000,20260907,two_way_geometry_seed_percentile
