protocol,model,seed,stratum,group,case_count,equal_case_MAE,equal_case_RMSE,mean_case_RMSE,R2_pooled,maximum_positive_error,maximum_absolute_error,case_time_positive_error_q95,case_time_positive_error_q99,per_case_MAE_q50,per_case_MAE_q90,per_case_MAE_q95,per_case_MAE_q99,per_case_max_positive_error_q50,per_case_max_positive_error_q90,per_case_max_positive_error_q95,per_case_max_positive_error_q99
lcro_9_15,capacity_matched_deepsets,42,fire_family,astm_e119,24,0.00944635307395963,0.013698347356039692,0.013003513245211998,0.9972738543907615,0.04592490196228027,0.10334151983261108,0.019668047875165937,0.03059072613716125,0.00823535333524962,0.015423589437955715,0.016375292623873616,0.017025174745282187,0.023538298904895782,0.04295659959316253,0.04514521509408951,0.04576935887336731
lcro_9_15,capacity_matched_deepsets,42,fire_family,bilinear,34,0.02414701096965009,0.04371500773794545,0.031800076715055484,0.9708176425673781,0.3047013282775879,0.3047013282775879,0.07406537383794784,0.1999838268756866,0.016722689397999497,0.04948230258754042,0.06924795857707004,0.09510023440005354,0.04835769534111023,0.1415639117360115,0.20586983561515798,0.2825866758823396
lcro_9_15,capacity_matched_deepsets,42,fire_family,decay,37,0.01481428429134451,0.019742395241330264,0.0187945456109742,0.9923748745075811,0.05499774217605591,0.10175937414169312,0.032203841209411596,0.04557581424713137,0.014136664202955902,0.021969943163824862,0.023477524812104262,0.03143970806090559,0.02864760160446167,0.04739526510238647,0.050000524520874,0.05489322185516358
lcro_9_15,capacity_matched_deepsets,42,fire_family,external_fire,24,0.012848529913793495,0.01835530707538347,0.017815891761932115,0.9921851201537787,0.05353522300720215,0.10382848978042603,0.027309137582778902,0.035154510736465354,0.011491041813717514,0.01852945226137755,0.022259435607273063,0.026083994151138865,0.024354368448257446,0.032891519367694855,0.03834559097886084,0.050261871069669714
lcro_9_15,capacity_matched_deepsets,42,fire_family,iso834,18,0.011418457863977915,0.01614003440229054,0.01521151335013932,0.9962106207625321,0.045888751745224,0.09025019407272339,0.02938245087862014,0.039414366185665115,0.009829529637440305,0.01849627060601946,0.02025727438206066,0.024057321273034702,0.028934627771377563,0.04247501194477081,0.04329531490802765,0.04537006437778472
lcro_9_15,capacity_matched_deepsets,42,fire_family,linear,34,0.008624788535365486,0.013649017717441276,0.012349529796582655,0.9969271413783924,0.06202489137649536,0.06946706771850586,0.027358892560005184,0.04764813899993896,0.007449062205240374,0.012325378324164717,0.014959226792953051,0.02435011991956197,0.03149935603141785,0.04721868634223938,0.052334266901016224,0.05998657703399659
lcro_9_15,capacity_matched_deepsets,42,fire_family,log_variant,24,0.013311349357655808,0.017348527075245583,0.016505493222995937,0.9954562583494947,0.09394669532775879,0.09394669532775879,0.03164406567811966,0.04397615611553187,0.011767697383145818,0.020176263739828202,0.02172749887982032,0.024086029627837516,0.03432007133960724,0.05458236336708069,0.0638487249612808,0.08735918641090391
lcro_9_15,capacity_matched_deepsets,42,fire_family,perturbed_iso,14,0.012024144587527954,0.01728570922719974,0.01686682006842124,0.9955264742477595,0.07815849781036377,0.08020049333572388,0.026611695438623423,0.05806061744689945,0.009907539017864914,0.018969170309481077,0.020802228885595915,0.022760474334974756,0.06138792634010315,0.07481829524040222,0.07666882872581482,0.07786056399345398
lcro_9_15,capacity_matched_deepsets,42,fire_family,plateau,18,0.010164092797005652,0.014929040447787992,0.014373007146775316,0.9961830174742877,0.03922232985496521,0.0962572693824768,0.025007036328315687,0.034020974189043034,0.00971554143384832,0.015516381506182132,0.017879801145831088,0.01946964995538602,0.025608569383621216,0.03751324862241745,0.03819292709231376,0.03901644930243492
lcro_9_15,capacity_matched_deepsets,42,fire_family,smoldering,37,0.0023143440683066558,0.0025300565091096205,0.002448105206273693,-1.434436242488513,0.006779372692108154,0.01286780834197998,0.0,0.0,0.0021825843170040944,0.002995417548007652,0.0031703806314312038,0.0033925869034939125,0.0,7.255077362060521e-05,0.0009738206863403221,0.005359282493591311
