epoch,train_mse,validation_mse,learning_rate,elapsed_s
1,0.02510952908378193,0.003765769535675645,0.001,0.373638299992308
2,0.0029075795220378686,0.002083119470626116,0.000999972584682756,0.5361445000162348
3,0.0019485009618586413,0.0019101380603387952,0.0009998903417374227,0.707752599962987
4,0.0015078218636551388,0.000992568559013307,0.0009997532801828658,0.8736667999764904
5,0.0013144520140947803,0.0011748176766559482,0.0009995614150494292,1.0345893999328837
6,0.0010535434127425549,0.0010961698135361075,0.000999314767377287,1.1911077999975532
7,0.0013328952303343507,0.0008663515909574926,0.0009990133642141358,1.3438498999457806
8,0.0012445056942789248,0.0009565161890350282,0.000998657238612229,1.503574899979867
9,0.0008526452507197896,0.0009329863241873682,0.0009982464296247522,1.660341399954632
10,0.0008282393898332009,0.000600495666731149,0.00099778098230154,1.811993099981919
11,0.0007025056014147898,0.0008022926049306989,0.0009972609476841367,1.9699336999328807
12,0.0006664818726854507,0.0006714155315421522,0.0009966863828001983,2.125314399949275
13,0.0008171217327582694,0.0007099959766492248,0.0009960573506572392,2.278468700009398
14,0.0006603716206478162,0.000728583603631705,0.000995373920235722,2.438758699921891
15,0.0006475502818517348,0.0005248613888397813,0.0009946361664814943,2.5929174999473616
16,0.0005219615379929858,0.0005321839707903564,0.000993844170297569,2.757684199954383
17,0.0004640098897710679,0.0004185255675110966,0.0009929980185352527,2.9182065000059083
18,0.0006936743215500087,0.0006756991497240961,0.000992097803984621,3.0810327999060974
19,0.0006793971192251852,0.0004830620309803635,0.0009911436253643446,3.23373239999637
20,0.0004923251856650625,0.00031875912100076675,0.0009901355873108612,3.392748999991454
21,0.00040937362826384957,0.0004473540757317096,0.000989073800366903,3.5570738000096753
22,0.0004592927116728215,0.0003076691646128893,0.0009879583809693738,3.7159595999401063
23,0.00031181233248269314,0.0002752296277321875,0.0009867894514365802,3.878473399905488
24,0.0003069767632359077,0.00031650386517867446,0.0009855671399548183,4.046067100018263
25,0.00027470599777415077,0.0002330286952201277,0.0009842915805643158,4.201691299909726
26,0.00033982029423689246,0.00035839207703247666,0.0009829629131445344,4.36922449991107
27,0.00032953231961333325,0.0002711461565922946,0.0009815812833988294,4.52963419992011
28,0.0003290035190287406,0.0002918063255492598,0.0009801468428384719,4.683052600012161
29,0.0003899236938980206,0.0002818054344970733,0.000978659748766034,4.844750499934889
