family,protocol,model,seed,test_cases,MAE,MAE_percentage_points
iso834,loco_iso834,fire_only,42,158,0.011864398981240212,1.1864398981240212
iso834,loco_iso834,fire_only,43,158,0.011773645445707505,1.1773645445707506
iso834,loco_iso834,fire_only,44,158,0.011947395063938208,1.1947395063938209
iso834,loco_iso834,fire_only,45,158,0.011680159179760822,1.168015917976082
iso834,loco_iso834,fire_only,46,158,0.01179798984210945,1.179798984210945
iso834,loco_iso834,global_stats,42,158,0.008926755721825917,0.8926755721825916
iso834,loco_iso834,global_stats,43,158,0.008893371486433708,0.8893371486433708
iso834,loco_iso834,global_stats,44,158,0.008857533624416936,0.8857533624416936
iso834,loco_iso834,global_stats,45,158,0.009009540391014037,0.9009540391014037
iso834,loco_iso834,global_stats,46,158,0.00900065382503078,0.9000653825030781
iso834,loco_iso834,deepsets,42,158,0.008295015681826395,0.8295015681826395
iso834,loco_iso834,deepsets,43,158,0.008278863311654923,0.8278863311654924
iso834,loco_iso834,deepsets,44,158,0.008202451410154259,0.8202451410154259
iso834,loco_iso834,deepsets,45,158,0.00839301257626742,0.8393012576267419
iso834,loco_iso834,deepsets,46,158,0.00873018339976685,0.8730183399766851
iso834,loco_iso834,capacity_matched_deepsets,42,158,0.00806631768614352,0.806631768614352
iso834,loco_iso834,capacity_matched_deepsets,43,158,0.00808925524780695,0.808925524780695
iso834,loco_iso834,capacity_matched_deepsets,44,158,0.008345437186848742,0.8345437186848742
iso834,loco_iso834,capacity_matched_deepsets,45,158,0.008783136023868245,0.8783136023868244
iso834,loco_iso834,capacity_matched_deepsets,46,158,0.008692003246207336,0.8692003246207336
iso834,loco_iso834,gnn,42,158,0.008903767718386739,0.8903767718386739
iso834,loco_iso834,gnn,43,158,0.008136655179067429,0.8136655179067429
iso834,loco_iso834,gnn,44,158,0.008208360796642342,0.8208360796642342
iso834,loco_iso834,gnn,45,158,0.007993401475614002,0.7993401475614001
iso834,loco_iso834,gnn,46,158,0.008598139583770679,0.8598139583770679
iso834,loco_iso834,gnn_zero_edge_features,42,158,0.008217559254226311,0.8217559254226311
iso834,loco_iso834,gnn_zero_edge_features,43,158,0.008470348471902766,0.8470348471902766
iso834,loco_iso834,gnn_zero_edge_features,44,158,0.008226877842566116,0.8226877842566116
iso834,loco_iso834,gnn_zero_edge_features,45,158,0.0083865704264976,0.83865704264976
iso834,loco_iso834,gnn_zero_edge_features,46,158,0.00898415096023744,0.8984150960237439
iso834,loco_iso834,gnn_mean,42,158,0.00842790105125975,0.842790105125975
iso834,loco_iso834,gnn_mean,43,158,0.008519896343396746,0.8519896343396746
iso834,loco_iso834,gnn_mean,44,158,0.008148599175214844,0.8148599175214843
iso834,loco_iso834,gnn_mean,45,158,0.008197960050509467,0.8197960050509467
iso834,loco_iso834,gnn_mean,46,158,0.008604976803320947,0.8604976803320946
astm_e119,loco_astm_e119,fire_only,42,95,0.012032401833017858,1.2032401833017858
astm_e119,loco_astm_e119,fire_only,43,95,0.011984626412700183,1.1984626412700183
astm_e119,loco_astm_e119,fire_only,44,95,0.0118839535158291,1.18839535158291
astm_e119,loco_astm_e119,fire_only,45,95,0.011959710637488326,1.1959710637488326
astm_e119,loco_astm_e119,fire_only,46,95,0.012061758476331121,1.2061758476331121
astm_e119,loco_astm_e119,global_stats,42,95,0.00998650383111004,0.998650383111004
astm_e119,loco_astm_e119,global_stats,43,95,0.009991654400762707,0.9991654400762707
astm_e119,loco_astm_e119,global_stats,44,95,0.009645839713713088,0.9645839713713088
