epoch,train_mse,validation_mse,learning_rate,elapsed_s
1,0.024590111243102116,0.007669736165553331,0.001,0.5449893000768498
2,0.005744987316006852,0.0034486816730350256,0.000999972584682756,0.8792532000225037
3,0.0030746450243599823,0.0023422420490533113,0.0009998903417374227,1.2058858000673354
4,0.0022966167905078194,0.002161968732252717,0.0009997532801828658,1.547990099992603
5,0.0017892175623885939,0.0013393888948485255,0.0009995614150494292,1.8746452999766916
6,0.0014943688544003324,0.0016357816057279706,0.000999314767377287,2.1923460999969393
7,0.0016218458954493536,0.0009915607515722513,0.0009990133642141358,2.5242170999990776
8,0.0013076238174399284,0.0009553629788570106,0.000998657238612229,2.842615699977614
9,0.0010084083840967179,0.000800758833065629,0.0009982464296247522,3.1309478000039235
10,0.0009594457678637345,0.0010242437710985541,0.00099778098230154,3.420182100031525
11,0.0009257937860780847,0.0009288495639339089,0.0009972609476841367,3.707835500012152
12,0.0011768192881270647,0.0009270904120057821,0.0009966863828001983,3.98764329997357
13,0.0008452266521685979,0.0008127796463668346,0.0009960573506572392,4.277365699992515
14,0.0007868257742275662,0.0005317811155691743,0.000995373920235722,4.5567967999959365
15,0.0005813838967037585,0.0007866748492233455,0.0009946361664814943,4.8380760999862105
16,0.0006313494102624015,0.0006927897338755429,0.000993844170297569,5.116737900068983
17,0.0004375574683900475,0.000438014481915161,0.0009929980185352527,5.398654100019485
18,0.0004265855062747988,0.00035052289604209363,0.000992097803984621,5.687649899977259
19,0.0003987145569353913,0.0004364183696452528,0.0009911436253643446,5.9836643000599
20,0.0003874458158335888,0.0005533192306756973,0.0009901355873108612,6.269502300070599
21,0.000522217620894666,0.0003790840564761311,0.000989073800366903,6.554587200051174
22,0.0004236443373604674,0.0003806718159466982,0.0009879583809693738,6.851630000048317
23,0.0003614025253809377,0.0004257011751178652,0.0009867894514365802,7.1329597000731155
24,0.0004811657883148536,0.000382311234716326,0.0009855671399548183,7.409742300049402
25,0.0005196845857581952,0.000773457926698029,0.0009842915805643158,7.691685799974948
26,0.00048544079630924154,0.0003998318570666015,0.0009829629131445344,7.967843499965966
27,0.0004400018237276905,0.00046449541696347296,0.0009815812833988294,8.301188900019042
28,0.00040064100374266235,0.0006245763506740332,0.0009801468428384719,8.630776799982414
29,0.0003447254932157879,0.00032410817220807076,0.000978659748766034,8.955210100044496
30,0.0003432724802836885,0.00032813282450661063,0.0009771201642581387,9.303371499991044
31,0.0002931257556686837,0.0003014680405613035,0.0009755282581475771,9.628212700015865
32,0.0002765255137853379,0.00038833546568639576,0.0009738842050047931,9.96298830001615
33,0.0003000947353271556,0.0002717736642807722,0.0009721881851187409,10.288155899965204
34,0.0003120409831381683,0.0003282449033576995,0.0009704403844771131,10.620215700007975
35,0.0003357741360655813,0.00026701862225309014,0.0009686409947459461,10.958078399999067
36,0.0003337977038763553,0.00025873907725326717,0.0009667902132486011,11.281708499998786
37,0.00035704213471365756,0.00042726084939204156,0.000964888242944126,11.58172320004087
38,0.0004341454877041265,0.0003539118333719671,0.0009629352924049977,11.85811949998606
39,0.0005925874808182733,0.00028479640604928136,0.0009609315757942507,12.139289200073108
40,0.0003485670167137092,0.0002445116697344929,0.0009588773128419909,12.447952899965458
