protocol,model,independent_test_geometries,seed_count,mean_equal_case_MAE,sample_SD_over_seeds,display_mean_times1000,display_SD_times1000
iid997,capacity_matched_deepsets,160,5,0.008502946504251936,0.00010661807197224517,8.502946504251936,0.10661807197224517
iid997,gnn,160,5,0.008698868068337315,0.0003978320155505414,8.698868068337315,0.39783201555054143
iid997,set_attention,160,5,0.009173536656887681,0.0002273212868898793,9.17353665688768,0.22732128688987932
lcro_9_15,capacity_matched_deepsets,264,5,0.011784534661597072,0.0006153846082905985,11.784534661597071,0.6153846082905985
lcro_9_15,gnn,264,5,0.011139067081893633,0.0003521341215115235,11.139067081893634,0.3521341215115235
lcro_9_15,set_attention,264,5,0.011775828142449112,0.0004795884053690752,11.775828142449113,0.4795884053690752
loco_iso834,capacity_matched_deepsets,158,5,0.008395229878175009,0.0003327268498502828,8.395229878175009,0.3327268498502828
loco_iso834,gnn,158,5,0.008368064950696287,0.00037394532049608007,8.368064950696287,0.3739453204960801
loco_iso834,set_attention,158,5,0.008682842890790549,0.0003765157132835103,8.682842890790548,0.3765157132835103
loco_astm_e119,capacity_matched_deepsets,95,5,0.008176298707183628,0.00019769387373533146,8.176298707183628,0.19769387373533145
loco_astm_e119,gnn,95,5,0.007839177480358004,0.0003365065638088986,7.839177480358004,0.3365065638088986
loco_astm_e119,set_attention,95,5,0.008223186912620964,0.0003920384013381419,8.223186912620964,0.3920384013381419
loco_perturbed_iso,capacity_matched_deepsets,111,5,0.008807393632638825,7.102809516149466e-05,8.807393632638826,0.07102809516149466
loco_perturbed_iso,gnn,111,5,0.008725086460942234,0.000204775023612714,8.725086460942235,0.204775023612714
loco_perturbed_iso,set_attention,111,5,0.00920881838885056,0.0005005917619973661,9.20881838885056,0.5005917619973661
loco_plateau,capacity_matched_deepsets,103,5,0.009796435391841971,0.0004921120265573083,9.796435391841971,0.4921120265573083
loco_plateau,gnn,103,5,0.009327557884671354,0.0003365515718003145,9.327557884671354,0.3365515718003145
loco_plateau,set_attention,103,5,0.010970245072769025,0.0004115689583354456,10.970245072769025,0.4115689583354456
loco_decay,capacity_matched_deepsets,113,5,0.013858309493223298,0.000817557782845005,13.858309493223299,0.817557782845005
loco_decay,gnn,113,5,0.014826236743937727,0.0022454592995936507,14.826236743937727,2.2454592995936506
loco_decay,set_attention,113,5,0.01304649831952783,0.001167143810875723,13.04649831952783,1.167143810875723
loco_log_variant,capacity_matched_deepsets,69,5,0.013770045913956367,0.00043123798608108794,13.770045913956366,0.43123798608108793
loco_log_variant,gnn,69,5,0.013829337168707522,0.0009263944853013608,13.829337168707523,0.9263944853013608
loco_log_variant,set_attention,69,5,0.014631686982218364,0.001210901652789841,14.631686982218364,1.210901652789841
loco_external_fire,capacity_matched_deepsets,49,5,0.010526352961273168,0.0005928644636755419,10.526352961273169,0.5928644636755419
loco_external_fire,gnn,49,5,0.010253005519923097,0.00015414948390223972,10.253005519923097,0.15414948390223973
loco_external_fire,set_attention,49,5,0.010880600322285956,0.0009654980816411535,10.880600322285956,0.9654980816411536
loco_bilinear,capacity_matched_deepsets,77,5,0.031602561385334106,0.005586754627182373,31.602561385334106,5.586754627182373
loco_bilinear,gnn,77,5,0.031003429572049775,0.005286978418805168,31.003429572049775,5.286978418805168
loco_bilinear,set_attention,77,5,0.027889808854740527,0.0016316986955971112,27.889808854740526,1.6316986955971111
loco_linear,capacity_matched_deepsets,125,5,0.02629292942520048,0.0077747042149570325,26.29292942520048,7.7747042149570325
loco_linear,gnn,125,5,0.025337928564822088,0.0067194212007783355,25.337928564822086,6.719421200778336
loco_linear,set_attention,125,5,0.03467548538837277,0.012092381230128305,34.67548538837277,12.092381230128305
loco_smoldering,capacity_matched_deepsets,97,5,0.012105166106202301,0.0033710294668291185,12.1051661062023,3.3710294668291185
loco_smoldering,gnn,97,5,0.011603296981664533,0.0013407210600521265,11.603296981664533,1.3407210600521264
loco_smoldering,set_attention,97,5,0.01251656816520259,0.002467442393620278,12.51656816520259,2.4674423936202783
