time_s,native_scalar,running_minimum
0.0,1.0,1.0
1.0,1.0,1.0
2.0,1.0,1.0
3.0,1.0,1.0
4.5,1.0,1.0
6.75,1.0,1.0
10.125,1.0,1.0
14.183924674987793,1.0,1.0
18.242849349975586,1.0,1.0
22.301774978637695,1.0,1.0
26.360700607299805,1.0,1.0
30.419626235961914,1.0,1.0
32.44908905029297,1.0,1.0
33.97118377685547,1.0,1.0
35.493282318115234,1.0,1.0
37.015380859375,1.0,1.0
38.5374755859375,1.0,1.0
40.059574127197266,1.0,1.0
41.581668853759766,1.0,1.0
43.10376739501953,1.0,1.0
44.62586212158203,1.0,1.0
46.1479606628418,1.0,1.0
47.67005920410156,1.0,1.0
49.19215393066406,1.0,1.0
50.37087631225586,1.0,1.0
51.549598693847656,1.0,1.0
52.72832107543945,1.0,1.0
53.907039642333984,1.0,1.0
54.88396072387695,1.0,1.0
55.86088180541992,1.0,1.0
56.83780288696289,1.0,1.0
57.81472396850586,1.0,1.0
58.79164123535156,1.0,1.0
59.76856231689453,1.0,1.0
60.7454833984375,1.0,1.0
61.72240447998047,1.0,1.0
62.69932556152344,1.0,1.0
63.67624282836914,1.0,1.0
64.65316772460938,1.0,1.0
65.63008117675781,1.0,1.0
66.60700225830078,1.0,1.0
67.58392333984375,1.0,1.0
68.56084442138672,1.0,1.0
69.53776550292969,1.0,1.0
70.51468658447266,1.0,1.0
71.49160766601562,1.0,1.0
72.4685287475586,1.0,1.0
73.44544982910156,1.0,1.0
74.42236328125,0.9988741159830272,0.9988741159830272
75.39928436279297,0.9983111739745406,0.9983111739745406
76.37620544433594,0.9983111739745406,0.9983111739745406
77.3531265258789,0.9983111739745406,0.9983111739745406
78.33004760742188,0.9983111739745406,0.9983111739745406
79.30696868896484,0.9983111739745406,0.9983111739745406
80.28388977050781,0.9983172635952531,0.9983111739745406
81.26081085205078,0.9983172635952531,0.9983111739745406
82.23773193359375,0.9983172635952531,0.9983111739745406
83.21465301513672,0.9983172635952531,0.9983111739745406
84.19156646728516,0.9983172635952531,0.9983111739745406
85.16848754882812,0.9983172635952531,0.9983111739745406
86.1454086303711,0.9983172635952531,0.9983111739745406
87.12232971191406,0.9983172635952531,0.9983111739745406
88.09925079345703,0.9983172635952531,0.9983111739745406
89.076171875,0.9983172635952531,0.9983111739745406
90.05309295654297,0.9983172635952531,0.9983111739745406
91.03001403808594,0.9983172635952531,0.9983111739745406
92.0069351196289,0.9983172635952531,0.9983111739745406
92.98384857177734,0.9983111739745406,0.9983111739745406
93.96076965332031,0.9983111739745406,0.9983111739745406
94.93769073486328,0.9983111739745406,0.9983111739745406
95.91461181640625,0.9983111739745406,0.9983111739745406
96.89153289794922,0.9983111739745406,0.9983111739745406
97.86845397949219,0.9914593622727953,0.9914593622727953
98.84537506103516,0.9914593622727953,0.9914593622727953
99.82229614257812,0.9914593622727953,0.9914593622727953
100.7992172241211,0.9914593622727953,0.9914593622727953
101.77613830566406,0.9809714376972922,0.9809714376972922
102.7530517578125,0.9809714376972922,0.9809714376972922
103.72997283935547,0.9809714376972922,0.9809714376972922
104.70689392089844,0.9809714376972922,0.9809714376972922
105.6838150024414,0.9809714376972922,0.9809714376972922
106.66073608398438,0.9809714376972922,0.9809714376972922
107.63765716552734,0.9809714376972922,0.9809714376972922
108.61457824707031,0.9809714376972922,0.9809714376972922
109.59149932861328,0.9809714376972922,0.9809714376972922
110.56842041015625,0.9809714376972922,0.9809714376972922
112.0180435180664,0.9808074260049175,0.9808074260049175
113.4676742553711,0.9782667008748674,0.9782667008748674
114.91730499267578,0.973908170406451,0.973908170406451
116.36693572998047,0.9698647405700713,0.9698647405700713
117.81656646728516,0.959333710809853,0.959333710809853
119.26618957519531,0.9468099791782097,0.9468099791782097
120.7158203125,0.9340956967105265,0.9340956967105265
122.16545104980469,0.9292418549163033,0.9292418549163033
123.61508178710938,0.9130634033196032,0.9130634033196032
125.06471252441406,0.9051653825209074,0.9051653825209074
126.90902709960938,0.8984968228302055,0.8984968228302055
128.7533416748047,0.8980591047047475,0.8980591047047475
130.59767150878906,0.884760393021096,0.884760393021096
132.44198608398438,0.8766911998391256,0.8766911998391256
134.2863006591797,0.8735913904971289,0.8735913904971289
136.13063049316406,0.8730575137884677,0.8730575137884677
137.97494506835938,0.8724067703631733,0.8724067703631733
139.8192596435547,0.8606797669077919,0.8606797669077919
141.66357421875,0.8585287613121811,0.8585287613121811
143.50790405273438,0.8582209481842707,0.8582209481842707
145.3522186279297,0.8427051870034031,0.8427051870034031
147.196533203125,0.8379219049893021,0.8379219049893021
149.04086303710938,0.8379219049893021,0.8379219049893021
150.8851776123047,0.8378111825940397,0.8378111825940397
152.7294921875,0.8298275298958069,0.8298275298958069
154.5738067626953,0.8196612488906502,0.8196612488906502
156.4181365966797,0.8094097711047528,0.8094097711047528
158.262451171875,0.8030566856425743,0.8030566856425743
160.1067657470703,0.7964344248489877,0.7964344248489877
161.95108032226562,0.7950375920242972,0.7950375920242972
163.79541015625,0.7931734950008584,0.7931734950008584
165.6397247314453,0.786378144402573,0.786378144402573
167.48403930664062,0.7764496125496377,0.7764496125496377
169.775146484375,0.776745012007176,0.7764496125496377
172.06625366210938,0.76339651336928,0.76339651336928
174.3573760986328,0.7615145161825521,0.7615145161825521
176.6484832763672,0.7537253580771586,0.7537253580771586
178.93959045410156,0.7537253580771586,0.7537253580771586
181.23069763183594,0.7482619009002588,0.7482619009002588
183.5218048095703,0.7485012848465908,0.7482619009002588
185.8129119873047,0.7485012848465908,0.7482619009002588
188.10401916503906,0.7485012848465908,0.7482619009002588
190.39512634277344,0.7485012848465908,0.7482619009002588
192.6862335205078,0.7485012848465908,0.7482619009002588
194.9773406982422,0.7466455790656442,0.7466455790656442
197.26844787597656,0.7425191691907618,0.7425191691907618
200.35218811035156,0.7425191691907618,0.7425191691907618
203.43592834472656,0.7425191691907618,0.7425191691907618
206.51966857910156,0.7425191691907618,0.7425191691907618
209.60340881347656,0.7425191691907618,0.7425191691907618
212.68714904785156,0.7398583766121434,0.7398583766121434
215.77088928222656,0.7398583766121434,0.7398583766121434
218.85462951660156,0.7398583766121434,0.7398583766121434
221.93836975097656,0.7398583766121434,0.7398583766121434
225.02210998535156,0.7398583766121434,0.7398583766121434
228.10585021972656,0.7398583766121434,0.7398583766121434
231.18959045410156,0.7398583766121434,0.7398583766121434
234.27333068847656,0.7398583766121434,0.7398583766121434
237.35707092285156,0.7398583766121434,0.7398583766121434
240.44081115722656,0.7398583766121434,0.7398583766121434
243.52455139160156,0.7398583766121434,0.7398583766121434
246.60829162597656,0.7398583766121434,0.7398583766121434
249.69203186035156,0.7398583766121434,0.7398583766121434
252.77577209472656,0.7398583766121434,0.7398583766121434
255.8594970703125,0.7398583766121434,0.7398583766121434
258.9432373046875,0.7398583766121434,0.7398583766121434
262.0269775390625,0.7398583766121434,0.7398583766121434
265.7933654785156,0.7398583766121434,0.7398583766121434
269.55975341796875,0.7398583766121434,0.7398583766121434
273.3261413574219,0.7398583766121434,0.7398583766121434
277.092529296875,0.7398583766121434,0.7398583766121434
280.8589172363281,0.7398583766121434,0.7398583766121434
284.62530517578125,0.7398583766121434,0.7398583766121434
288.3917236328125,0.7398583766121434,0.7398583766121434
292.1581115722656,0.7398583766121434,0.7398583766121434
