protocol,model,seed,time_s,case_MAE,case_RMSE,maximum_overprediction
lcro_9_15,fire_only,42,0,0.0022006583484736357,0.002201241769707266,0.0
lcro_9_15,fire_only,42,60,0.01316506438183062,0.02171420004475818,0.09680300951004028
lcro_9_15,fire_only,42,120,0.004426061881311012,0.005840059575687032,0.03067612648010254
lcro_9_15,fire_only,42,180,0.03716375294959906,0.05568889342895687,0.04557466506958008
lcro_9_15,fire_only,42,240,0.014433307629643065,0.021406598488887697,0.039206743240356445
lcro_9_15,fire_only,42,300,0.01665951401898355,0.023882223456117697,0.016108393669128418
lcro_9_15,fire_only,42,360,0.01602093130350113,0.02293891862613345,0.011225998401641846
lcro_9_15,fire_only,42,420,0.011776337343634981,0.01753159739182165,0.0865204930305481
lcro_9_15,fire_only,42,480,0.010305991452751738,0.014639738844195015,0.042685747146606445
lcro_9_15,fire_only,42,540,0.013258384484233278,0.019816155553546926,0.07803976535797119
lcro_9_15,fire_only,42,600,0.016743291282292568,0.023402735861648715,0.07200676202774048
lcro_9_15,fire_only,42,660,0.021226440641013058,0.029359519805425425,0.07573676109313965
lcro_9_15,fire_only,42,720,0.021434734490784733,0.029191065021181375,0.08237987756729126
lcro_9_15,fire_only,42,780,0.02398646306810957,0.03202853878206807,0.08760601282119751
lcro_9_15,fire_only,42,840,0.02399047509287343,0.03215557581924586,0.10004520416259766
lcro_9_15,fire_only,42,900,0.02342447153095043,0.030880992466735462,0.0957496166229248
lcro_9_15,fire_only,42,960,0.021380067323193405,0.028247737208811578,0.09970104694366455
lcro_9_15,fire_only,42,1020,0.01708273397702159,0.024068641982306474,0.09426438808441162
lcro_9_15,fire_only,42,1080,0.01623240327744773,0.023120578207049058,0.08637335896492004
lcro_9_15,fire_only,42,1140,0.014882366426966408,0.021373432483477867,0.08635127544403076
lcro_9_15,fire_only,42,1200,0.014356562021103773,0.020706594005431185,0.0864449143409729
lcro_9_15,fire_only,42,1260,0.014526981521736492,0.020814110956326078,0.07110029458999634
lcro_9_15,fire_only,42,1320,0.01492233867898132,0.02078462827820439,0.07333612442016602
lcro_9_15,fire_only,42,1380,0.014358465870221456,0.020380224924031635,0.07143127918243408
lcro_9_15,fire_only,42,1440,0.015788299398440304,0.02201072512905472,0.06996721029281616
lcro_9_15,fire_only,42,1500,0.016905075108463116,0.023176359339108485,0.07461729645729065
lcro_9_15,fire_only,42,1560,0.017781631061525055,0.024244293961384694,0.08141151070594788
lcro_9_15,fire_only,42,1620,0.018151476753480507,0.024472111019937303,0.08637857437133789
lcro_9_15,fire_only,42,1680,0.018759284168481827,0.025221672308975502,0.08813083171844482
lcro_9_15,fire_only,42,1740,0.019181787967681885,0.02576219055928149,0.08081385493278503
lcro_9_15,fire_only,42,1800,0.0198155835722432,0.02657096058671824,0.08141359686851501
lcro_9_15,fire_only,42,1860,0.020712442300987965,0.027100018237271865,0.08612635731697083
lcro_9_15,fire_only,42,1920,0.02106494682304787,0.02737304869464487,0.08821099996566772
lcro_9_15,fire_only,42,1980,0.020872823583583038,0.027235070025092418,0.09155219793319702
lcro_9_15,fire_only,42,2040,0.020615215836600823,0.027055947603687694,0.09703415632247925
lcro_9_15,fire_only,42,2100,0.02047894991031199,0.027110876699362484,0.10233539342880249
lcro_9_15,fire_only,42,2160,0.020357835868542843,0.027534924455432284,0.107338547706604
lcro_9_15,fire_only,42,2220,0.020273889640741276,0.027883759650390225,0.13122624158859253
