example,sample_id,time_s,reference,prescribed_temperature_C,capacity_matched_deepsets_seed42,gnn_seed42,capacity_matched_deepsets_min,gnn_min,capacity_matched_deepsets_max,gnn_max
1,b005_0291,0.0,1.0,20.0,0.9981319308280945,0.9971866011619568,0.9971268773078918,0.9963802695274353,0.9981319308280945,0.9980698227882385
1,b005_0291,60.0,1.0,312.95245361328125,0.9974333643913269,0.996908962726593,0.9964924454689026,0.9953904151916504,0.9974333643913269,0.998006284236908
1,b005_0291,120.0,0.9902077317237854,397.7478332519531,0.9755828976631165,0.979919970035553,0.9755828976631165,0.9711260199546814,0.9837148785591125,0.9825635552406311
1,b005_0291,180.0,0.8385877013206482,449.1676025390625,0.8110984563827515,0.7911109924316406,0.7981613278388977,0.7911109924316406,0.8326643705368042,0.8200859427452087
1,b005_0291,240.0,0.7556957006454468,486.18377685546875,0.7456251978874207,0.7385169863700867,0.7361357808113098,0.7385169863700867,0.7544898986816406,0.7578437924385071
1,b005_0291,300.0,0.7442895770072937,515.1246337890625,0.7381428480148315,0.733746349811554,0.7333741188049316,0.733746349811554,0.7474955320358276,0.7518988847732544
1,b005_0291,360.0,0.7442895770072937,538.8901977539062,0.7388229370117188,0.7370371222496033,0.7374668121337891,0.7370371222496033,0.748824417591095,0.7543888688087463
1,b005_0291,420.0,0.7442895770072937,559.0535888671875,0.7409960627555847,0.7395546436309814,0.7392173409461975,0.7395546436309814,0.7491813898086548,0.755524218082428
1,b005_0291,480.0,0.7442895770072937,576.5643920898438,0.7414352297782898,0.7386376261711121,0.7376753091812134,0.7386376261711121,0.7477462291717529,0.7536290884017944
1,b005_0291,540.0,0.7442895770072937,592.0401000976562,0.7397453784942627,0.7351576685905457,0.7336853742599487,0.7351576685905457,0.744570791721344,0.7486569285392761
1,b005_0291,600.0,0.740727424621582,605.9049072265625,0.7348679304122925,0.7287250757217407,0.7279379963874817,0.7287250757217407,0.7393507957458496,0.7399269342422485
1,b005_0291,660.0,0.7243948578834534,618.4627685546875,0.727026641368866,0.721631646156311,0.7203967571258545,0.7215099930763245,0.7321823239326477,0.7295196056365967
1,b005_0291,720.0,0.7098707556724548,629.9389038085938,0.7146998643875122,0.7120944857597351,0.7116289734840393,0.7084793448448181,0.7203987240791321,0.7186746597290039
1,b005_0291,780.0,0.6928542256355286,640.5050659179688,0.7022064328193665,0.7015618681907654,0.7017893195152283,0.6969966292381287,0.7084042429924011,0.7112316489219666
1,b005_0291,840.0,0.6820049285888672,650.2950439453125,0.6879417300224304,0.6901316046714783,0.6879417300224304,0.6854206323623657,0.6954702734947205,0.7010306715965271
1,b005_0291,900.0,0.6738353967666626,659.4151000976562,0.6718195080757141,0.6753259301185608,0.6718195080757141,0.6695351004600525,0.6794712543487549,0.6826988458633423
1,b005_0291,960.0,0.6622331142425537,667.9510498046875,0.6544893383979797,0.6549005508422852,0.6544893383979797,0.6515606641769409,0.662506103515625,0.6642756462097168
1,b005_0291,1020.0,0.6382447481155396,675.9732666015625,0.635851263999939,0.6317941546440125,0.635851263999939,0.6312959790229797,0.6444140672683716,0.6456087827682495
1,b005_0291,1080.0,0.6298754811286926,683.5399169921875,0.6137250065803528,0.6048901677131653,0.6081500053405762,0.6048901677131653,0.6224991679191589,0.6248322129249573
1,b005_0291,1140.0,0.5960241556167603,690.7002563476562,0.5838049054145813,0.576373279094696,0.5734758377075195,0.576373279094696,0.5953782796859741,0.600835382938385
1,b005_0291,1200.0,0.5855240225791931,697.4955444335938,0.5492468476295471,0.5466111302375793,0.539319634437561,0.5466111302375793,0.5681343078613281,0.5739063024520874
1,b005_0291,1260.0,0.5292694568634033,703.961181640625,0.5172156095504761,0.5180681347846985,0.5109440684318542,0.5180681347846985,0.5400387048721313,0.5433040261268616
1,b005_0291,1320.0,0.49677032232284546,710.1277465820312,0.4887578785419464,0.49391716718673706,0.4865666627883911,0.49391716718673706,0.5102201700210571,0.510494589805603
1,b005_0291,1380.0,0.4442502558231354,716.0216674804688,0.4650118947029114,0.47138500213623047,0.46242624521255493,0.4682813584804535,0.4793458580970764,0.48000743985176086
1,b005_0291,1440.0,0.44024237990379333,721.6660766601562,0.45124438405036926,0.452839732170105,0.4442548155784607,0.4475495219230652,0.4562792479991913,0.4561852812767029
1,b005_0291,1500.0,0.4156283140182495,727.0811767578125,0.4424495995044708,0.441192626953125,0.43154799938201904,0.4251575171947479,0.4424495995044708,0.441192626953125
1,b005_0291,1560.0,0.40643858909606934,732.284912109375,0.43139249086380005,0.43041324615478516,0.41924646496772766,0.41343119740486145,0.43139249086380005,0.43041324615478516
1,b005_0291,1620.0,0.3984684348106384,737.2930908203125,0.42007169127464294,0.42037877440452576,0.4076104164123535,0.40377700328826904,0.42007169127464294,0.42037877440452576
1,b005_0291,1680.0,0.3984684348106384,742.1200561523438,0.40990012884140015,0.41078469157218933,0.39700111746788025,0.3950362503528595,0.40990012884140015,0.41078469157218933
