example,sample_id,model,seed,time_s,prediction
1,b005_0291,capacity_matched_deepsets,43,1020.0,0.6438136100769043
1,b005_0291,capacity_matched_deepsets,43,1080.0,0.6217535138130188
1,b005_0291,capacity_matched_deepsets,43,1140.0,0.5950467586517334
1,b005_0291,capacity_matched_deepsets,43,1200.0,0.5658580660820007
1,b005_0291,capacity_matched_deepsets,43,1260.0,0.5335044860839844
1,b005_0291,capacity_matched_deepsets,43,1320.0,0.5018242597579956
1,b005_0291,capacity_matched_deepsets,43,1380.0,0.4765186607837677
1,b005_0291,capacity_matched_deepsets,43,1440.0,0.4562792479991913
1,b005_0291,capacity_matched_deepsets,43,1500.0,0.43849343061447144
1,b005_0291,capacity_matched_deepsets,43,1560.0,0.423628032207489
1,b005_0291,capacity_matched_deepsets,43,1620.0,0.4105020761489868
1,b005_0291,capacity_matched_deepsets,43,1680.0,0.3991675078868866
1,b005_0291,capacity_matched_deepsets,43,1740.0,0.3892711102962494
1,b005_0291,capacity_matched_deepsets,43,1800.0,0.37921249866485596
1,b005_0291,capacity_matched_deepsets,43,1860.0,0.36969324946403503
1,b005_0291,capacity_matched_deepsets,43,1920.0,0.3606792092323303
1,b005_0291,capacity_matched_deepsets,43,1980.0,0.3521350026130676
1,b005_0291,capacity_matched_deepsets,43,2040.0,0.3427302837371826
1,b005_0291,capacity_matched_deepsets,43,2100.0,0.33351004123687744
1,b005_0291,capacity_matched_deepsets,43,2160.0,0.32458850741386414
1,b005_0291,capacity_matched_deepsets,43,2220.0,0.31679755449295044
1,b005_0291,capacity_matched_deepsets,43,2280.0,0.3084561824798584
1,b005_0291,capacity_matched_deepsets,43,2340.0,0.30011457204818726
1,b005_0291,capacity_matched_deepsets,43,2400.0,0.2908647358417511
1,b005_0291,capacity_matched_deepsets,43,2460.0,0.27960655093193054
1,b005_0291,capacity_matched_deepsets,43,2520.0,0.2680285573005676
1,b005_0291,capacity_matched_deepsets,43,2580.0,0.2569517195224762
1,b005_0291,capacity_matched_deepsets,43,2640.0,0.24662841856479645
1,b005_0291,capacity_matched_deepsets,43,2700.0,0.2367836982011795
1,b005_0291,capacity_matched_deepsets,43,2760.0,0.22740952670574188
