epoch,train_mse,validation_mse,learning_rate,elapsed_s
1,0.046085132424324105,0.006396537180989981,0.001,0.8658021000446752
2,0.004455451372748031,0.011599565856158733,0.000999972584682756,1.455494900001213
3,0.004326083860549636,0.00213483814150095,0.0009998903417374227,2.0298427999950945
4,0.001551930466919551,0.0017740624025464058,0.0009997532801828658,2.616586200078018
5,0.0012887601641618383,0.0011259407037869096,0.0009995614150494292,3.19320710003376
6,0.000977521222034214,0.0008804496028460562,0.000999314767377287,3.7857335000298917
7,0.0008352193094472802,0.0007648391765542328,0.0009990133642141358,4.372888699988835
8,0.0007567298341115363,0.0015044462634250522,0.000998657238612229,4.949852499994449
9,0.0011099596058692673,0.0006202651420608163,0.0009982464296247522,5.540561500005424
10,0.0005983119964595819,0.0008345430833287537,0.00099778098230154,6.138842900050804
11,0.0007141814022982086,0.0004153345071244985,0.0009972609476841367,6.728742300067097
12,0.000593150945334838,0.0003530013782437891,0.0009966863828001983,7.333175500039943
13,0.0004669499113102819,0.0007621581899002194,0.0009960573506572392,7.944508000044152
14,0.0004948229351892228,0.0010519024217501283,0.000995373920235722,8.542880100081675
15,0.0005765699824442129,0.0008277937304228544,0.0009946361664814943,9.157321100006811
16,0.0012327674672852954,0.0003971968253608793,0.000993844170297569,9.757384700002149
17,0.0005023106594411707,0.00033718111808411777,0.0009929980185352527,10.384786000009626
18,0.00044410583283404693,0.0004974824842065573,0.000992097803984621,10.994546200032346
19,0.0004130107927156026,0.0006147860549390316,0.0009911436253643446,11.60151579999365
20,0.0003909511442531249,0.0003018882416654378,0.0009901355873108612,12.21610459999647
21,0.0003227123973595441,0.001604177406989038,0.000989073800366903,12.844987399992533
22,0.0010683351814597744,0.001452885684557259,0.0009879583809693738,13.493676400044933
23,0.0006822043251649956,0.00045833512558601797,0.0009867894514365802,14.115274699986912
24,0.00046566542536301443,0.00032877884223125875,0.0009855671399548183,14.750355600030161
25,0.0003668469231797027,0.00026650275685824454,0.0009842915805643158,15.373681699973531
26,0.0003825635360200034,0.0005288452957756817,0.0009829629131445344,16.026020499994047
27,0.0006225478147574179,0.00036091890069656074,0.0009815812833988294,16.64485450007487
28,0.000413438690005861,0.00028253791970200837,0.0009801468428384719,17.26752930006478
29,0.00037595303727202043,0.00024450779892504215,0.000978659748766034,17.89307510002982
30,0.0003194849514193944,0.0015787077136337757,0.0009771201642581387,18.518708300078288
31,0.0008960284692016676,0.0002975663810502738,0.0009755282581475771,19.142983800033107
32,0.00037389900223377287,0.0002968273765873164,0.0009738842050047931,19.768532400019467
33,0.00030693371058031004,0.000260302476817742,0.0009721881851187409,20.39974440005608
34,0.00029721247022846726,0.0002742354990914464,0.0009704403844771131,21.01146680000238
35,0.0003295018784847146,0.0002942573628388345,0.0009686409947459461,21.636399200069718
36,0.0003509310783304684,0.0002420461823930964,0.0009667902132486011,22.272286299965344
37,0.0003011889276006278,0.0007527229026891291,0.000964888242944126,22.91273400001228
38,0.0006201758141123299,0.00028372634551487863,0.0009629352924049977,23.571037500048988
39,0.00033029027826884407,0.00034440343733876944,0.0009609315757942507,24.223089799983427
40,0.00039418953483285485,0.0002148450876120478,0.0009588773128419909,24.860551699995995
41,0.0002886610942181286,0.00021929657668806612,0.0009567727288213008,25.496072600013576
42,0.00036272018808025484,0.0002758829796221107,0.0009546180545235346,26.12628590001259
