protocol,model,seed,stratum,group,case_count,equal_case_MAE,equal_case_RMSE,mean_case_RMSE,R2_pooled,maximum_positive_error,maximum_absolute_error,case_time_positive_error_q95,case_time_positive_error_q99,per_case_MAE_q50,per_case_MAE_q90,per_case_MAE_q95,per_case_MAE_q99,per_case_max_positive_error_q50,per_case_max_positive_error_q90,per_case_max_positive_error_q95,per_case_max_positive_error_q99
iid997,capacity_matched_deepsets,42,fire_family,astm_e119,15,0.008049395957279727,0.011070627747023517,0.010470706670977464,0.9981570926401293,0.06594830751419067,0.06594830751419067,0.016925501823425282,0.026652131080627448,0.006978140746960874,0.01128741962010743,0.013875386918910205,0.018246610520071666,0.02242147922515869,0.03383944034576416,0.043481212854385345,0.0614548885822296
iid997,capacity_matched_deepsets,42,fire_family,bilinear,13,0.01118336897930612,0.015137333562069526,0.014503559521907036,0.9960821013308105,0.06534945964813232,0.09051775932312012,0.02785065174102783,0.03866458058357239,0.009715474531298778,0.016595530803086327,0.017106783487757696,0.017695298019002693,0.03103429079055786,0.05540051460266114,0.060240709781646716,0.0643277096748352
iid997,capacity_matched_deepsets,42,fire_family,decay,18,0.009992019366642601,0.014360984888810498,0.012585963140513197,0.9961748179904263,0.04789111018180847,0.09886133670806885,0.02814236283302306,0.04489378422498703,0.00796193605075117,0.01491415330865344,0.01826304118530669,0.03265557058399814,0.024968087673187256,0.03742164373397828,0.0436872437596321,0.04705033689737319
iid997,capacity_matched_deepsets,42,fire_family,external_fire,8,0.011130229890590808,0.015212573442585042,0.014585136926844329,0.9944889832173212,0.030946850776672363,0.09499794244766235,0.015118288993835445,0.025399218797683715,0.009092637872109647,0.016533912669439783,0.019184750965872747,0.02130542160301912,0.023255616426467896,0.03016556203365326,0.030556206405162812,0.03086872190237045
iid997,capacity_matched_deepsets,42,fire_family,iso834,25,0.008971235835161365,0.012296217243242029,0.01149575506968511,0.9977438250932112,0.05580860376358032,0.09240520000457764,0.02001496851444244,0.02984470725059509,0.007521902745375867,0.015266756175971423,0.015734238263036382,0.018741383430410596,0.02033412456512451,0.03867812156677247,0.04629883766174315,0.05375334501266478
iid997,capacity_matched_deepsets,42,fire_family,linear,20,0.008392910744811667,0.011730084968359993,0.01136889897842184,0.9976910267846157,0.040837109088897705,0.047025203704833984,0.019902014732360838,0.027979496717452982,0.007790786076764591,0.010937661567672357,0.011842868953454693,0.014993489882985093,0.024505704641342163,0.03964707851409912,0.04036480486392975,0.04074264824390411
iid997,capacity_matched_deepsets,42,fire_family,log_variant,11,0.010257523443554035,0.014372493402859798,0.013354519310982483,0.9970585641283859,0.08857065439224243,0.08857065439224243,0.024318695534020662,0.03582885861396789,0.008596946103651016,0.017419123747309702,0.01826627177976408,0.01894399020572758,0.017890396527945995,0.04757970571517944,0.06807518005371094,0.08447155952453615
iid997,capacity_matched_deepsets,42,fire_family,perturbed_iso,18,0.00916934951814146,0.013076108020618284,0.01268794595412374,0.9974045605946834,0.0728609561920166,0.08544957637786865,0.01903428137302394,0.04427977859973908,0.008419339010705712,0.013709205010386765,0.014084918732892294,0.014557999452484436,0.04054975509643555,0.06191509366035462,0.07182639837265015,0.0726540446281433
iid997,capacity_matched_deepsets,42,fire_family,plateau,16,0.007802495171819798,0.01034130917576865,0.010028278392005924,0.9982901290749782,0.04976624250411987,0.05888009071350098,0.01856541633605957,0.02745937556028366,0.0070292709975457585,0.010304097880105504,0.012103015419523248,0.013614624326468492,0.027427226305007935,0.03425653278827667,0.04104984551668167,0.048022963106632226
iid997,capacity_matched_deepsets,42,fire_family,smoldering,16,0.0020422454862321013,0.002242162997292152,0.002144104680760787,-0.9444189245449293,0.017912089824676514,0.017912089824676514,0.0,0.0,0.0019219087772682063,0.002578541392185649,0.002842489568913569,0.0030423056395327457,0.0,0.0,0.004478022456169128,0.01522527635097503
iid997,capacity_matched_deepsets,42,crack_count,1,13,0.007646314583690589,0.010835412847647503,0.009465551904860809,0.9989263241131952,0.04427880048751831,0.08544957637786865,0.017061877250671386,0.025082526206970268,0.007159623699110063,0.013181059086909062,0.014191032726256572,0.014908781364315844,0.022391557693481445,0.036220550537109375,0.03980394601821898,0.04338382959365844
