protocol,model,threshold,test_geometries,seeds,reference_events,reference_censored,max_false_negative_over_seeds,max_false_positive_over_seeds,min_both_event_count_over_seeds,min_both_event_reference_event_fraction_over_seeds,seed_extrema_can_come_from_different_checkpoints,false_negative_mean_over_all5_seeds,false_negative_defined_seed_count,false_positive_mean_over_all5_seeds,false_positive_defined_seed_count,both_event_count_mean_over_all5_seeds,both_event_count_defined_seed_count,recall_mean_over_all5_seeds,recall_defined_seed_count,false_positive_rate_mean_over_all5_seeds,false_positive_rate_defined_seed_count,balanced_accuracy_mean_over_all5_seeds,balanced_accuracy_defined_seed_count,conditional_timing_MAE_s_mean_over_all5_seeds,conditional_timing_MAE_s_defined_seed_count,conditional_timing_bias_s_mean_over_all5_seeds,conditional_timing_bias_s_defined_seed_count
lcro_9_15,gnn_zero_edge_features,0.8,264,5,226,38,1,0,225,0.995575221238938,True,0.2,5,0.0,5,225.8,5,0.9991150442477876,5,0.0,5,0.9995575221238937,5,33.056755162241885,5,-24.0212389380531,5
lcro_9_15,gnn_zero_edge_features,0.6,264,5,219,45,1,0,218,0.9954337899543378,True,0.2,5,0.0,5,218.8,5,0.9990867579908675,5,0.0,5,0.9995433789954337,5,33.83863265049642,5,18.479075028276988,5
lcro_9_15,gnn_mean,0.8,264,5,226,38,0,0,226,1.0,True,0.0,5,0.0,5,226.0,5,1.0,5,0.0,5,1.0,5,31.91150442477876,5,-25.53982300884956,5
lcro_9_15,gnn_mean,0.6,264,5,219,45,1,0,218,0.9954337899543378,True,0.2,5,0.0,5,218.8,5,0.9990867579908675,5,0.0,5,0.9995433789954337,5,32.14477818273219,5,16.026140505215533,5
loco_iso834,fire_only,0.8,158,5,158,0,0,0,158,1.0,True,0.0,5,0.0,5,158.0,5,1.0,5,NA,0,NA,0,6.075949367088608,5,-6.075949367088608,5
loco_iso834,fire_only,0.6,158,5,158,0,0,0,158,1.0,True,0.0,5,0.0,5,158.0,5,1.0,5,NA,0,NA,0,44.43037974683544,5,-4.177215189873418,5
loco_iso834,global_stats,0.8,158,5,158,0,0,0,158,1.0,True,0.0,5,0.0,5,158.0,5,1.0,5,NA,0,NA,0,3.7974683544303796,5,0.0,5
loco_iso834,global_stats,0.6,158,5,158,0,0,0,158,1.0,True,0.0,5,0.0,5,158.0,5,1.0,5,NA,0,NA,0,28.253164556962027,5,-0.9113924050632912,5
loco_iso834,deepsets,0.8,158,5,158,0,0,0,158,1.0,True,0.0,5,0.0,5,158.0,5,1.0,5,NA,0,NA,0,4.253164556962025,5,0.0,5
loco_iso834,deepsets,0.6,158,5,158,0,0,0,158,1.0,True,0.0,5,0.0,5,158.0,5,1.0,5,NA,0,NA,0,23.31645569620253,5,-4.481012658227849,5
loco_iso834,capacity_matched_deepsets,0.8,158,5,158,0,0,0,158,1.0,True,0.0,5,0.0,5,158.0,5,1.0,5,NA,0,NA,0,4.405063291139241,5,-0.4556962025316456,5
loco_iso834,capacity_matched_deepsets,0.6,158,5,158,0,0,0,158,1.0,True,0.0,5,0.0,5,158.0,5,1.0,5,NA,0,NA,0,22.70886075949367,5,-4.632911392405063,5
loco_iso834,gnn,0.8,158,5,158,0,0,0,158,1.0,True,0.0,5,0.0,5,158.0,5,1.0,5,NA,0,NA,0,4.10126582278481,5,-0.4556962025316456,5
loco_iso834,gnn,0.6,158,5,158,0,0,0,158,1.0,True,0.0,5,0.0,5,158.0,5,1.0,5,NA,0,NA,0,23.240506329113924,5,-5.468354430379747,5
loco_iso834,gnn_zero_edge_features,0.8,158,5,158,0,0,0,158,1.0,True,0.0,5,0.0,5,158.0,5,1.0,5,NA,0,NA,0,4.481012658227848,5,-0.0759493670886076,5
loco_iso834,gnn_zero_edge_features,0.6,158,5,158,0,0,0,158,1.0,True,0.0,5,0.0,5,158.0,5,1.0,5,NA,0,NA,0,23.16455696202532,5,-2.2025316455696204,5
loco_iso834,gnn_mean,0.8,158,5,158,0,0,0,158,1.0,True,0.0,5,0.0,5,158.0,5,1.0,5,NA,0,NA,0,4.481012658227849,5,-0.07594936708860756,5
loco_iso834,gnn_mean,0.6,158,5,158,0,0,0,158,1.0,True,0.0,5,0.0,5,158.0,5,1.0,5,NA,0,NA,0,23.544303797468352,5,-2.8860759493670884,5
loco_astm_e119,fire_only,0.8,95,5,95,0,0,0,95,1.0,True,0.0,5,0.0,5,95.0,5,1.0,5,NA,0,NA,0,8.842105263157896,5,-8.842105263157896,5
loco_astm_e119,fire_only,0.6,95,5,95,0,0,0,95,1.0,True,0.0,5,0.0,5,95.0,5,1.0,5,NA,0,NA,0,47.36842105263158,5,5.684210526315789,5
loco_astm_e119,global_stats,0.8,95,5,95,0,0,0,95,1.0,True,0.0,5,0.0,5,95.0,5,1.0,5,NA,0,NA,0,15.157894736842106,5,10.105263157894736,5
loco_astm_e119,global_stats,0.6,95,5,95,0,0,0,95,1.0,True,0.0,5,0.0,5,95.0,5,1.0,5,NA,0,NA,0,30.568421052631578,5,0.25263157894736843,5
loco_astm_e119,deepsets,0.8,95,5,95,0,0,0,95,1.0,True,0.0,5,0.0,5,95.0,5,1.0,5,NA,0,NA,0,12.505263157894737,5,8.463157894736842,5
loco_astm_e119,deepsets,0.6,95,5,95,0,0,0,95,1.0,True,0.0,5,0.0,5,95.0,5,1.0,5,NA,0,NA,0,22.484210526315785,5,0.7578947368421052,5
loco_astm_e119,capacity_matched_deepsets,0.8,95,5,95,0,0,0,95,1.0,True,0.0,5,0.0,5,95.0,5,1.0,5,NA,0,NA,0,12.505263157894737,5,7.705263157894736,5
loco_astm_e119,capacity_matched_deepsets,0.6,95,5,95,0,0,0,95,1.0,True,0.0,5,0.0,5,95.0,5,1.0,5,NA,0,NA,0,22.736842105263158,5,-4.8,5
loco_astm_e119,gnn,0.8,95,5,95,0,0,0,95,1.0,True,0.0,5,0.0,5,95.0,5,1.0,5,NA,0,NA,0,14.273684210526318,5,10.231578947368423,5
loco_astm_e119,gnn,0.6,95,5,95,0,0,0,95,1.0,True,0.0,5,0.0,5,95.0,5,1.0,5,NA,0,NA,0,19.2,5,0.7578947368421053,5
loco_astm_e119,gnn_zero_edge_features,0.8,95,5,95,0,0,0,95,1.0,True,0.0,5,0.0,5,95.0,5,1.0,5,NA,0,NA,0,12.884210526315789,5,9.6,5
loco_astm_e119,gnn_zero_edge_features,0.6,95,5,95,0,0,0,95,1.0,True,0.0,5,0.0,5,95.0,5,1.0,5,NA,0,NA,0,23.747368421052634,5,1.7684210526315787,5
loco_astm_e119,gnn_mean,0.8,95,5,95,0,0,0,95,1.0,True,0.0,5,0.0,5,95.0,5,1.0,5,NA,0,NA,0,12.505263157894737,5,8.96842105263158,5
loco_astm_e119,gnn_mean,0.6,95,5,95,0,0,0,95,1.0,True,0.0,5,0.0,5,95.0,5,1.0,5,NA,0,NA,0,19.45263157894737,5,-0.2526315789473683,5
loco_perturbed_iso,fire_only,0.8,111,5,111,0,0,0,111,1.0,True,0.0,5,0.0,5,111.0,5,1.0,5,NA,0,NA,0,10.81081081081081,5,-10.81081081081081,5
loco_perturbed_iso,fire_only,0.6,111,5,111,0,0,0,111,1.0,True,0.0,5,0.0,5,111.0,5,1.0,5,NA,0,NA,0,44.75675675675676,5,-11.459459459459461,5
loco_perturbed_iso,global_stats,0.8,111,5,111,0,0,0,111,1.0,True,0.0,5,0.0,5,111.0,5,1.0,5,NA,0,NA,0,9.72972972972973,5,-9.72972972972973,5
loco_perturbed_iso,global_stats,0.6,111,5,111,0,0,0,111,1.0,True,0.0,5,0.0,5,111.0,5,1.0,5,NA,0,NA,0,21.83783783783784,5,8.216216216216216,5
loco_perturbed_iso,deepsets,0.8,111,5,111,0,0,0,111,1.0,True,0.0,5,0.0,5,111.0,5,1.0,5,NA,0,NA,0,10.162162162162161,5,-10.162162162162161,5
loco_perturbed_iso,deepsets,0.6,111,5,111,0,0,0,111,1.0,True,0.0,5,0.0,5,111.0,5,1.0,5,NA,0,NA,0,16.43243243243243,5,1.0810810810810811,5
loco_perturbed_iso,capacity_matched_deepsets,0.8,111,5,111,0,0,0,111,1.0,True,0.0,5,0.0,5,111.0,5,1.0,5,NA,0,NA,0,10.81081081081081,5,-10.81081081081081,5
loco_perturbed_iso,capacity_matched_deepsets,0.6,111,5,111,0,0,0,111,1.0,True,0.0,5,0.0,5,111.0,5,1.0,5,NA,0,NA,0,20.108108108108105,5,1.5135135135135136,5
loco_perturbed_iso,gnn,0.8,111,5,111,0,0,0,111,1.0,True,0.0,5,0.0,5,111.0,5,1.0,5,NA,0,NA,0,10.27027027027027,5,-10.27027027027027,5
loco_perturbed_iso,gnn,0.6,111,5,111,0,0,0,111,1.0,True,0.0,5,0.0,5,111.0,5,1.0,5,NA,0,NA,0,19.45945945945946,5,3.2432432432432434,5
loco_perturbed_iso,gnn_zero_edge_features,0.8,111,5,111,0,0,0,111,1.0,True,0.0,5,0.0,5,111.0,5,1.0,5,NA,0,NA,0,10.91891891891892,5,-10.91891891891892,5
loco_perturbed_iso,gnn_zero_edge_features,0.6,111,5,111,0,0,0,111,1.0,True,0.0,5,0.0,5,111.0,5,1.0,5,NA,0,NA,0,18.81081081081081,5,6.918918918918919,5
loco_perturbed_iso,gnn_mean,0.8,111,5,111,0,0,0,111,1.0,True,0.0,5,0.0,5,111.0,5,1.0,5,NA,0,NA,0,9.945945945945946,5,-9.945945945945946,5
loco_perturbed_iso,gnn_mean,0.6,111,5,111,0,0,0,111,1.0,True,0.0,5,0.0,5,111.0,5,1.0,5,NA,0,NA,0,18.16216216216216,5,6.0540540540540535,5
loco_plateau,fire_only,0.8,103,5,103,0,0,0,103,1.0,True,0.0,5,0.0,5,103.0,5,1.0,5,NA,0,NA,0,9.902912621359222,5,-9.902912621359222,5
loco_plateau,fire_only,0.6,103,5,103,0,0,0,103,1.0,True,0.0,5,0.0,5,103.0,5,1.0,5,NA,0,NA,0,40.77669902912621,5,8.155339805825243,5
loco_plateau,global_stats,0.8,103,5,103,0,0,0,103,1.0,True,0.0,5,0.0,5,103.0,5,1.0,5,NA,0,NA,0,6.990291262135922,5,-2.3300970873786406,5
loco_plateau,global_stats,0.6,103,5,103,0,0,0,103,1.0,True,0.0,5,0.0,5,103.0,5,1.0,5,NA,0,NA,0,28.19417475728155,5,8.62135922330097,5
loco_plateau,deepsets,0.8,103,5,103,0,0,0,103,1.0,True,0.0,5,0.0,5,103.0,5,1.0,5,NA,0,NA,0,6.640776699029127,5,-2.4466019417475726,5
loco_plateau,deepsets,0.6,103,5,103,0,0,0,103,1.0,True,0.0,5,0.0,5,103.0,5,1.0,5,NA,0,NA,0,24.582524271844658,5,2.4466019417475726,5
loco_plateau,capacity_matched_deepsets,0.8,103,5,103,0,0,0,103,1.0,True,0.0,5,0.0,5,103.0,5,1.0,5,NA,0,NA,0,7.223300970873787,5,-2.0970873786407767,5
loco_plateau,capacity_matched_deepsets,0.6,103,5,103,0,0,0,103,1.0,True,0.0,5,0.0,5,103.0,5,1.0,5,NA,0,NA,0,24.116504854368934,5,2.9126213592233006,5
loco_plateau,gnn,0.8,103,5,103,0,0,0,103,1.0,True,0.0,5,0.0,5,103.0,5,1.0,5,NA,0,NA,0,8.388349514563107,5,-1.1650485436893203,5
loco_plateau,gnn,0.6,103,5,103,0,0,0,103,1.0,True,0.0,5,0.0,5,103.0,5,1.0,5,NA,0,NA,0,23.533980582524272,5,5.592233009708737,5
loco_plateau,gnn_zero_edge_features,0.8,103,5,103,0,0,0,103,1.0,True,0.0,5,0.0,5,103.0,5,1.0,5,NA,0,NA,0,7.223300970873787,5,-2.5631067961165046,5
loco_plateau,gnn_zero_edge_features,0.6,103,5,103,0,0,0,103,1.0,True,0.0,5,0.0,5,103.0,5,1.0,5,NA,0,NA,0,24.815533980582522,5,5.941747572815535,5
loco_plateau,gnn_mean,0.8,103,5,103,0,0,0,103,1.0,True,0.0,5,0.0,5,103.0,5,1.0,5,NA,0,NA,0,7.572815533980583,5,-1.7475728155339805,5
loco_plateau,gnn_mean,0.6,103,5,103,0,0,0,103,1.0,True,0.0,5,0.0,5,103.0,5,1.0,5,NA,0,NA,0,19.922330097087375,5,1.7475728155339803,5
loco_decay,fire_only,0.8,113,5,113,0,0,0,113,1.0,True,0.0,5,0.0,5,113.0,5,1.0,5,NA,0,NA,0,17.52212389380531,5,-17.52212389380531,5
loco_decay,fire_only,0.6,113,5,113,0,0,0,113,1.0,True,0.0,5,0.0,5,113.0,5,1.0,5,NA,0,NA,0,48.849557522123895,5,12.743362831858407,5
loco_decay,global_stats,0.8,113,5,113,0,0,0,113,1.0,True,0.0,5,0.0,5,113.0,5,1.0,5,NA,0,NA,0,9.76991150442478,5,-3.8230088495575223,5
loco_decay,global_stats,0.6,113,5,113,0,0,0,113,1.0,True,0.0,5,0.0,5,113.0,5,1.0,5,NA,0,NA,0,27.292035398230087,5,3.929203539823009,5
loco_decay,deepsets,0.8,113,5,113,0,0,0,113,1.0,True,0.0,5,0.0,5,113.0,5,1.0,5,NA,0,NA,0,11.893805309734514,5,-7.433628318584072,5
loco_decay,deepsets,0.6,113,5,113,0,0,0,113,1.0,True,0.0,5,0.0,5,113.0,5,1.0,5,NA,0,NA,0,22.51327433628319,5,-1.4867256637168142,5
loco_decay,capacity_matched_deepsets,0.8,113,5,113,0,0,0,113,1.0,True,0.0,5,0.0,5,113.0,5,1.0,5,NA,0,NA,0,11.36283185840708,5,-6.265486725663717,5
loco_decay,capacity_matched_deepsets,0.6,113,5,113,0,0,0,113,1.0,True,0.0,5,0.0,5,113.0,5,1.0,5,NA,0,NA,0,23.044247787610622,5,-3.929203539823009,5
loco_decay,gnn,0.8,113,5,113,0,0,0,113,1.0,True,0.0,5,0.0,5,113.0,5,1.0,5,NA,0,NA,0,12.212389380530974,5,-7.115044247787611,5
loco_decay,gnn,0.6,113,5,113,0,0,0,113,1.0,True,0.0,5,0.0,5,113.0,5,1.0,5,NA,0,NA,0,20.601769911504427,5,-3.1858407079646023,5
loco_decay,gnn_zero_edge_features,0.8,113,5,113,0,0,0,113,1.0,True,0.0,5,0.0,5,113.0,5,1.0,5,NA,0,NA,0,10.194690265486726,5,-4.247787610619469,5
loco_decay,gnn_zero_edge_features,0.6,113,5,113,0,0,0,113,1.0,True,0.0,5,0.0,5,113.0,5,1.0,5,NA,0,NA,0,22.300884955752213,5,-4.88495575221239,5
loco_decay,gnn_mean,0.8,113,5,113,0,0,0,113,1.0,True,0.0,5,0.0,5,113.0,5,1.0,5,NA,0,NA,0,11.044247787610619,5,-7.433628318584072,5
loco_decay,gnn_mean,0.6,113,5,113,0,0,0,113,1.0,True,0.0,5,0.0,5,113.0,5,1.0,5,NA,0,NA,0,20.8141592920354,5,-0.21238938053097342,5
loco_log_variant,fire_only,0.8,69,5,69,0,0,0,69,1.0,True,0.0,5,0.0,5,69.0,5,1.0,5,NA,0,NA,0,9.91304347826087,5,-3.652173913043478,5
loco_log_variant,fire_only,0.6,69,5,69,0,0,0,69,1.0,True,0.0,5,0.0,5,69.0,5,1.0,5,NA,0,NA,0,95.82608695652172,5,53.391304347826086,5
loco_log_variant,global_stats,0.8,69,5,69,0,0,0,69,1.0,True,0.0,5,0.0,5,69.0,5,1.0,5,NA,0,NA,0,20.17391304347826,5,-8.347826086956522,5
loco_log_variant,global_stats,0.6,69,5,69,0,0,0,69,1.0,True,0.0,5,0.0,5,69.0,5,1.0,5,NA,0,NA,0,75.30434782608695,5,43.65217391304348,5
loco_log_variant,deepsets,0.8,69,5,69,0,0,0,69,1.0,True,0.0,5,0.0,5,69.0,5,1.0,5,NA,0,NA,0,28.52173913043478,5,-14.608695652173912,5
loco_log_variant,deepsets,0.6,69,5,69,0,0,0,69,1.0,True,0.0,5,0.0,5,69.0,5,1.0,5,NA,0,NA,0,53.04347826086956,5,3.9999999999999987,5
