protocol,model,seed,test_geometries,threshold,reference_events,reference_censored,predicted_events,predicted_censored,true_positive,false_negative,false_positive,true_negative,recall,false_positive_rate,balanced_accuracy,both_event_count,both_event_population_fraction,both_event_reference_event_fraction,conditional_timing_MAE_s,conditional_timing_median_abs_s,conditional_timing_bias_s,optimistic_late_or_missed_count,recross_above_threshold_count,recross_fraction_all_cases,recross_fraction_predicted_event_cases
iid997,capacity_matched_deepsets,43,160,0.6,141,19,141,19,141,0,0,19,1.0,0.0,1.0,141,0.88125,1.0,26.80851063829787,0.0,-4.680851063829787,23,0,0.0,0.0
iid997,capacity_matched_deepsets,44,160,0.8,144,16,144,16,144,0,0,16,1.0,0.0,1.0,144,0.9,1.0,10.833333333333334,0.0,-4.166666666666667,8,0,0.0,0.0
iid997,capacity_matched_deepsets,44,160,0.6,141,19,141,19,141,0,0,19,1.0,0.0,1.0,141,0.88125,1.0,25.106382978723403,0.0,-0.425531914893617,27,0,0.0,0.0
iid997,capacity_matched_deepsets,45,160,0.8,144,16,144,16,144,0,0,16,1.0,0.0,1.0,144,0.9,1.0,13.333333333333334,0.0,-1.6666666666666667,14,0,0.0,0.0
iid997,capacity_matched_deepsets,45,160,0.6,141,19,141,19,141,0,0,19,1.0,0.0,1.0,141,0.88125,1.0,29.361702127659573,0.0,-1.2765957446808511,31,0,0.0,0.0
iid997,capacity_matched_deepsets,46,160,0.8,144,16,144,16,144,0,0,16,1.0,0.0,1.0,144,0.9,1.0,13.75,0.0,0.4166666666666667,17,0,0.0,0.0
iid997,capacity_matched_deepsets,46,160,0.6,141,19,141,19,141,0,0,19,1.0,0.0,1.0,141,0.88125,1.0,26.80851063829787,0.0,-4.680851063829787,25,0,0.0,0.0
iid997,gnn,42,160,0.8,144,16,144,16,144,0,0,16,1.0,0.0,1.0,144,0.9,1.0,12.083333333333334,0.0,-2.0833333333333335,12,0,0.0,0.0
iid997,gnn,42,160,0.6,141,19,141,19,141,0,0,19,1.0,0.0,1.0,141,0.88125,1.0,24.680851063829788,0.0,-9.361702127659575,17,0,0.0,0.0
iid997,gnn,43,160,0.8,144,16,144,16,144,0,0,16,1.0,0.0,1.0,144,0.9,1.0,14.166666666666666,0.0,-1.6666666666666667,15,0,0.0,0.0
