protocol,model,seed,test_geometries,final_MAE,final_bias,time_average_MAE,time_average_bias
iid997,fire_only,42,160,0.009213423629989847,-0.0014016317727509886,0.0076273677723050545,-0.002366480829186913
iid997,fire_only,43,160,0.009227254666620865,0.0004788794612977654,0.00737960142014344,-0.0012731365174719592
iid997,fire_only,44,160,0.009245436551282182,-0.002188450325047597,0.00763678038869936,-0.00318645288761521
iid997,fire_only,45,160,0.010647536761825904,0.0004884116293396801,0.007553789668587936,-0.0011213002719766018
iid997,fire_only,46,160,0.009578081424115226,8.6177111370489e-05,0.0074105330603075805,-0.00025896810685176777
iid997,global_stats,42,160,0.007205919997068122,-0.0013570525858085602,0.0056926238227242645,-0.0019042120338538873
iid997,global_stats,43,160,0.00759972432279028,-7.796957506798208e-05,0.005667460051760533,-0.002079187698557999
iid997,global_stats,44,160,0.007702177361352369,-0.0005944856733549386,0.005730567858348278,-0.0013100445516101937
iid997,global_stats,45,160,0.007635974924778566,-0.0003088263387326151,0.005706897916182547,-0.0017902245509443086
iid997,global_stats,46,160,0.007445167755940929,-0.0011434886080678552,0.005811923397401801,-0.0018919388823875703
iid997,deepsets,42,160,0.007053685729624703,0.0021253883198369293,0.005027217532709385,-0.0014839801475682187
iid997,deepsets,43,160,0.00785650623147376,0.0021251648024190216,0.005359783009419822,-0.00018733378908412853
iid997,deepsets,44,160,0.006692621432011947,0.0005506897286977619,0.0048414020795098656,-0.0011538219608216102
iid997,deepsets,45,160,0.0075451001001056285,0.0015964948514010757,0.004955408288891097,0.00029103938770276875
iid997,deepsets,46,160,0.008608118345728144,-0.0013383050507400184,0.004894850484937101,-0.0011222635629746943
iid997,capacity_matched_deepsets,42,160,0.006801499420544132,-4.7793012345209715e-05,0.005215269908258056,-0.00107301470136008
iid997,capacity_matched_deepsets,43,160,0.006836048589320853,0.0026189992495346814,0.004735192905924737,0.0005757909044890191
iid997,capacity_matched_deepsets,44,160,0.0067564248747657984,0.0012002767238300295,0.0048113572473206054,-0.001276660765979612
iid997,capacity_matched_deepsets,45,160,0.0070835465507116165,0.0005343560536857694,0.00495621305733947,-0.0008951964868780668
iid997,capacity_matched_deepsets,46,160,0.007540805399185046,7.5396557804197075e-06,0.004923256074434902,-0.0003505123896684465
iid997,gnn,42,160,0.00791332105291076,-0.0016069322999101132,0.005618844786937796,-0.002704891267361138
iid997,gnn,43,160,0.007951474917354063,0.0005331952881533653,0.0050872230226013965,-0.00022667968452878517
iid997,gnn,44,160,0.007159862545086071,0.0021671243652235717,0.004503443417476475,-0.00030056896843841006
iid997,gnn,45,160,0.008161823166301475,-0.0012246222759131342,0.005541587028019414,-0.0032987557050000713
iid997,gnn,46,160,0.008000201283721253,0.002167871518759057,0.004736231000072917,-0.000976998715498974
iid997,gnn_zero_edge_features,42,160,0.007796508952742443,-0.0015791573154274375,0.005464907519817636,-0.0016714436464947834
iid997,gnn_zero_edge_features,43,160,0.007775924244197085,0.0032157566223759205,0.004982966871745387,-9.286235766921732e-05
iid997,gnn_zero_edge_features,44,160,0.00729651433066465,-4.4305663323029876e-05,0.004561575971783903,-0.0009024284807310268
iid997,gnn_zero_edge_features,45,160,0.007042619650019333,0.0003631910018157214,0.004899950404251297,-0.0009612216188422011
iid997,gnn_zero_edge_features,46,160,0.00731100385892205,-0.000543707684846595,0.004444668617203813,-0.0004716560371768229
iid997,gnn_mean,42,160,0.007081775454571471,-0.0007476061175111682,0.005118540049091583,-0.0011696698921271728
iid997,gnn_mean,43,160,0.008739513711770997,0.003760126599809155,0.0050353977649623,0.0004861032348587008
iid997,gnn_mean,44,160,0.007542575796833262,-0.0012530435400549323,0.0047878476717232955,-0.0010129470938045361
iid997,gnn_mean,45,160,0.007413425255799666,0.0006110257527325302,0.004794915726221616,-0.0011168024495054937
iid997,gnn_mean,46,160,0.006566238281084225,0.001310250087408349,0.0044245872174967,-0.0008056264346547968
lcro_9_15,fire_only,42,264,0.024640799933959814,0.021859648337615938,0.014411037935423523,0.012623095200530853
lcro_9_15,fire_only,43,264,0.01721341940786012,0.013780957218400683,0.01183989400048053,0.009188813736332733
lcro_9_15,fire_only,44,264,0.017708461826921186,0.01388716233089905,0.012241539922523763,0.009993727749083938
lcro_9_15,fire_only,45,264,0.01836509981093872,0.014328982945616272,0.012588278886518445,0.010205136850760552
lcro_9_15,fire_only,46,264,0.01742615341561649,0.01384080912226416,0.011794146855714248,0.009405418459996007
lcro_9_15,global_stats,42,264,0.017036999903873286,0.011213330484954922,0.011637404619772264,0.007989192735502273
lcro_9_15,global_stats,43,264,0.013693248708450206,0.006722414382789849,0.009237130234396321,0.0038209956917706683
lcro_9_15,global_stats,44,264,0.012410541379005846,0.0001315149711444974,0.008294983716107452,-0.000546529435858677
lcro_9_15,global_stats,45,264,0.01349776809343673,0.004048025415448303,0.009849088075281195,0.0052680848233300085
lcro_9_15,global_stats,46,264,0.014071414476458096,0.00774659795305607,0.009732339616841109,0.005204945107658265
lcro_9_15,deepsets,42,264,0.018384264877320013,0.01379370854137409,0.01046548636901079,0.007966893890775886
lcro_9_15,deepsets,43,264,0.014406156433379334,0.006154800472414177,0.008830191849340216,0.0022934250280098223
lcro_9_15,deepsets,44,264,0.014066272863243339,0.002924345317296684,0.008226141560288568,-0.001964606858698485
lcro_9_15,deepsets,45,264,0.01769467627022867,-0.0013843449079572704,0.011038795570633317,-0.006356778188740574
lcro_9_15,deepsets,46,264,0.013541113391208151,0.005907746204739493,0.0077464306145489615,0.000116236171397956
lcro_9_15,capacity_matched_deepsets,42,264,0.015505358305138847,0.009889636058219228,0.007962447980815966,0.0036278026141952466
lcro_9_15,capacity_matched_deepsets,43,264,0.016591777252456683,-0.006693962210027332,0.009653911182021585,-0.0059794326828550935
lcro_9_15,capacity_matched_deepsets,44,264,0.013105371610656606,0.0043429394047989536,0.007407539822341998,-0.002406417243683888
lcro_9_15,capacity_matched_deepsets,45,264,0.014827077146478448,0.0008599579327203559,0.008122191489243468,-0.003422958855383435
lcro_9_15,capacity_matched_deepsets,46,264,0.01501017930621112,0.00840785495838094,0.007646746637299355,0.003242181698405698
lcro_9_15,gnn,42,264,0.014870838159836378,0.003918941735967316,0.007004748257587021,-0.0008317272006043096
lcro_9_15,gnn,43,264,0.015470153189998007,0.007655319944729634,0.007893700968299824,0.0042081470865179575
lcro_9_15,gnn,44,264,0.014529081834056838,0.0023005851791381383,0.007381491694648482,-0.0017356109083468407
lcro_9_15,gnn,45,264,0.013779688488946042,0.0064845303052359,0.006870712021610063,0.001059982938169578
lcro_9_15,gnn,46,264,0.012647130389020524,0.005623757701621137,0.007410371623928328,0.0005529655232326508
lcro_9_15,gnn_zero_edge_features,42,264,0.011804491715421054,0.0018802088875831528,0.0071385703696278426,-0.0008817819579850615
lcro_9_15,gnn_zero_edge_features,43,264,0.014148657227809908,0.0036086354185968185,0.007465609620644831,-1.2884719829093681e-05
lcro_9_15,gnn_zero_edge_features,44,264,0.012738941960516528,0.004294439151911347,0.007167323394447757,0.0014404140269860639
lcro_9_15,gnn_zero_edge_features,45,264,0.015471554661141427,0.010169474453891091,0.007326486656926461,0.003031287899743859
lcro_9_15,gnn_zero_edge_features,46,264,0.01603869193896764,0.005830306422219358,0.008066481299575767,-0.0005775180354322131
lcro_9_15,gnn_mean,42,264,0.01456013107037341,0.0025324010339593797,0.007356635568658486,-0.0014893272130898807
lcro_9_15,gnn_mean,43,264,0.014664319996496268,0.007185507202379857,0.007122214539662995,0.0011505687989649105
lcro_9_15,gnn_mean,44,264,0.013415711737858752,0.004331677732283644,0.0064434112133643405,-0.0008316706744392364
