protocol,model,test_geometries,seeds,final_MAE_mean_over_seeds,final_MAE_seed_SD,final_bias_mean_over_seeds,final_bias_seed_SD,time_average_MAE_mean_over_seeds,time_average_MAE_seed_SD,time_average_bias_mean_over_seeds,time_average_bias_seed_SD
iid997,fire_only,160,5,0.009582346606766805,0.000614481710967688,-0.0005073227791581303,0.0012188419086343405,0.007521614462008675,0.00012040450478624283,-0.0016412677226204902,0.0011434782688952874
iid997,global_stats,160,5,0.007517792872386053,0.000198252678255653,-0.0006963645562063903,0.0005430023295722576,0.005721894609283485,5.5283832948410894e-05,-0.0017951215434707918,0.0002903840479611918
iid997,deepsets,160,5,0.007551206367788836,0.0007407771425545071,0.001011886530322954,0.0014626298739748203,0.005015732279093453,0.00020441699203342656,-0.0007312720145491766,0.0007481613759484709
iid997,capacity_matched_deepsets,160,5,0.0070036649669054886,0.00032595810035657526,0.000862675734097138,0.0011030244310961724,0.004928257838655555,0.00018311352796783722,-0.0006039186878794373,0.0007438758639717058
iid997,gnn,160,5,0.007837336593074723,0.0003903808155403612,0.0004073273192625493,0.0017981063345621634,0.005097465851021599,0.000487990214887518,-0.0015015788681654756,0.001416049289146069
iid997,gnn_zero_edge_features,160,5,0.007444514207309112,0.00032976549438772465,0.0002823553921189159,0.0017934390417639716,0.004870813876960407,0.0004011241554544404,-0.0008199224281828102,0.0005919811906773645
iid997,gnn_mean,160,5,0.007468705700011925,0.0008043053180432136,0.0007361505564767867,0.0019778842622772703,0.004832257685899099,0.0002705482236662984,-0.0007237885270466597,0.0006905465824892165
lcro_9_15,fire_only,264,5,0.019070786879059266,0.003143787618848585,0.01553951199095922,0.003539698777200273,0.0125749795201321,0.00107616445232423,0.010283238399340814,0.0013723318938479996
lcro_9_15,global_stats,264,5,0.014141994512244831,0.0017320773789532447,0.0059723766414787275,0.0041532158551656866,0.009750189252479669,0.0012198907879718457,0.004347337784480508,0.003125433781232156
lcro_9_15,deepsets,264,5,0.015618496767075902,0.0022446984425320555,0.005479251125573434,0.005554427766942192,0.00926140919276437,0.0014284424859934916,0.0004110340085489212,0.005295476176480716
lcro_9_15,capacity_matched_deepsets,264,5,0.015007952724188343,0.001265745657127864,0.0033612852288184294,0.006641075116404614,0.008158567422344474,0.0008806023471791028,-0.0009877648938642943,0.004244272700664618
lcro_9_15,gnn,264,5,0.01425937841237156,0.0010888118101869306,0.005196626973338425,0.002115764898238658,0.007312204913214743,0.0004006309372978229,0.0006507514877938072,0.002276212010552428
lcro_9_15,gnn_zero_edge_features,264,5,0.01404046750077131,0.0017850891313619416,0.005156612866840353,0.003140742150661429,0.007432894268244533,0.00037781604207812923,0.0005999034426967108,0.0016259851410881222
lcro_9_15,gnn_mean,264,5,0.014240303952388015,0.0013080029509958543,0.005069104503755542,0.0036524292004143873,0.007196078655264999,0.0005967068606763662,0.0001413619751390029,0.002178148657962248
loco_iso834,fire_only,158,5,0.005539364499759071,0.0001252357144617103,0.0004026909606366217,0.0017115090987659363,0.008301054942991415,5.481138727695922e-05,-0.0008766473575106227,0.000842032554619708
loco_iso834,global_stats,158,5,0.004156234756677966,0.00019258478446892963,-0.00011898700760889659,0.0016286580751219732,0.005979504001715888,6.404774721512656e-05,-0.00048166621327085503,0.00036716141531155676
loco_iso834,deepsets,158,5,0.00375000095065636,0.00039376046296531495,-0.0010273088382769234,0.0011037622001972747,0.0049849858953920035,0.0001799047579851891,-0.0013650292614749953,0.00046633148206727353
loco_iso834,capacity_matched_deepsets,158,5,0.0036350614945345285,0.00017077812988546367,0.00022128740254836752,0.0014062835632091197,0.004953510715284298,0.0003625940739864862,-0.0013279268019027065,0.001321829790825968
loco_iso834,gnn,158,5,0.004185844736197326,0.001039116871013905,-0.0014239862702692615,0.0021507473246782844,0.0047117552403675,0.00028284999988560053,-0.0009993810330435062,0.001083834523815595
loco_iso834,gnn_zero_edge_features,158,5,0.003938683471347712,0.00022945098029336576,-0.0005458264977117128,0.0014139559127154559,0.004817770295913963,0.0003700327974585389,-0.0006204134658104755,0.0011029922019436535
loco_iso834,gnn_mean,158,5,0.0038141265370046037,0.000242945739501507,-0.001059465020706382,0.0008211371460287535,0.004718297707105547,0.0002630981845890352,-0.0008346365717974497,0.000979835929477492
loco_astm_e119,fire_only,95,5,0.0064402492422806585,1.7036347611691636e-05,0.0012945788471322311,0.0003411506214898058,0.008528373537356386,2.6590218149298842e-06,0.00042763030123816535,0.00029763278168280837
loco_astm_e119,global_stats,95,5,0.00554230546480731,0.0014436871124684197,0.0019432678112858222,0.0031917527521339926,0.0065187088070077824,9.876643840356385e-05,-0.00011036993530496932,0.0012366703817507526
loco_astm_e119,deepsets,95,5,0.004376902658688395,0.000393552194310332,0.0004246788746432255,0.002049778340707858,0.004445204992696902,0.00032986802384985545,-0.0002498039362723369,0.0014387273699006681
loco_astm_e119,capacity_matched_deepsets,95,5,0.004521088451147079,0.000613185459900407,0.00039548396279937334,0.0027734494399173017,0.004262554396205304,0.00032498346134183934,-0.0008484742904833543,0.0012363245740288063
loco_astm_e119,gnn,95,5,0.003882238174739637,0.00017655716739292698,2.5293434921063895e-05,0.0015283263238614624,0.003890201499718325,0.0002624212473304827,-0.0007269660459275836,0.0009587603365248212
loco_astm_e119,gnn_zero_edge_features,95,5,0.004171250046868073,0.0002126721052743913,0.0003616046670236085,0.0011526275384714454,0.0044184325553738215,5.640444616551045e-05,0.00032949156137673623,0.0009204951415298815
loco_astm_e119,gnn_mean,95,5,0.004414267304696536,0.0003880909113897699,5.932451863037919e-05,0.0031371350147030986,0.004189576770129955,0.00030175244901753894,-0.0005728974880879382,0.0022834316249834836
loco_perturbed_iso,fire_only,111,5,0.005992316843958588,0.0007007073832328843,0.002814308272020237,0.0013316927594430787,0.007708841188231832,1.2285372270303051e-05,0.0012337900543244284,0.0005326553516839338
loco_perturbed_iso,global_stats,111,5,0.004952728318738508,0.0005806573676396946,0.0031223224224271,0.0015027033422676463,0.005594266669841505,3.306198420826511e-05,0.0022647716971981313,0.00022582985067723976
loco_perturbed_iso,deepsets,111,5,0.004596600057305516,0.0008726841703444996,0.002623533987784171,0.002006157534629213,0.00446504784764739,0.00036125273724014925,0.001834935052683951,0.0013967874269681694
loco_perturbed_iso,capacity_matched_deepsets,111,5,0.004104218538011517,0.0002470059272856277,0.0018373970177259532,0.0011128457852007066,0.004551995488292013,0.00026030317110280914,0.0016126235616435412,0.0014904587847602352
loco_perturbed_iso,gnn,111,5,0.003894822943854977,0.00017425828072449104,0.001297117393833023,0.00039716841098684394,0.004309266869862515,0.00023573801505672,0.0015276788772494998,0.0005830329626009235
loco_perturbed_iso,gnn_zero_edge_features,111,5,0.00451603587549012,0.0003651708920941534,0.0020296927843544933,0.0014590412093594424,0.004641322727642347,0.0002411430690194074,0.0020133194672475228,0.0004746405684236317
loco_perturbed_iso,gnn_mean,111,5,0.005309646355139243,0.0009888523052619903,0.004094395994603097,0.0016895065734881208,0.004719839007132222,0.0003362134918214248,0.0029186084141602396,0.0006467853168784292
loco_plateau,fire_only,103,5,0.010585365939921546,0.0005721754947401051,0.0012351515187511166,0.0020597117208192546,0.009627693906715773,0.0002543633845838142,0.0021244996777678464,0.0007563018553973024
loco_plateau,global_stats,103,5,0.009311130877982066,0.001240629203074047,0.005326141941460591,0.0027323820297580565,0.008152118484914598,0.00040597837027338436,0.00345166292626254,0.0011417896204846396
