protocol,model,seed,independent_test_geometries,equal_case_MAE,display_MAE_times1000
iid997,capacity_matched_deepsets,42,160,0.008515993339526295,8.515993339526295
iid997,capacity_matched_deepsets,43,160,0.008437462038487924,8.437462038487924
iid997,capacity_matched_deepsets,44,160,0.008357962023036947,8.357962023036947
iid997,capacity_matched_deepsets,45,160,0.008617515886451984,8.617515886451985
iid997,capacity_matched_deepsets,46,160,0.008585799233756528,8.585799233756529
iid997,gnn,42,160,0.008996458295921194,8.996458295921194
iid997,gnn,43,160,0.008625725488267653,8.625725488267653
iid997,gnn,44,160,0.008070166334049436,8.070166334049436
iid997,gnn,45,160,0.009077339824973739,9.07733982497374
iid997,gnn,46,160,0.008724650398474549,8.72465039847455
iid997,set_attention,42,160,0.009559406162290663,9.559406162290664
iid997,set_attention,43,160,0.009166791901928964,9.166791901928965
iid997,set_attention,44,160,0.009051081219334518,9.051081219334518
iid997,set_attention,45,160,0.008975115622673852,8.975115622673853
iid997,set_attention,46,160,0.0091152883782104,9.1152883782104
lcro_9_15,capacity_matched_deepsets,42,264,0.011967325548827776,11.967325548827775
lcro_9_15,capacity_matched_deepsets,43,264,0.012684449430271902,12.684449430271902
lcro_9_15,capacity_matched_deepsets,44,264,0.011123742460122786,11.123742460122786
lcro_9_15,capacity_matched_deepsets,45,264,0.011843653803449705,11.843653803449705
lcro_9_15,capacity_matched_deepsets,46,264,0.011303502065313194,11.303502065313195
lcro_9_15,gnn,42,264,0.010974976061069258,10.974976061069258
lcro_9_15,gnn,43,264,0.01176590418742045,11.76590418742045
lcro_9_15,gnn,44,264,0.01094231536778094,10.94231536778094
lcro_9_15,gnn,45,264,0.011038127645672465,11.038127645672466
lcro_9_15,gnn,46,264,0.010974012147525051,10.974012147525052
lcro_9_15,set_attention,42,264,0.011974396143337099,11.9743961433371
lcro_9_15,set_attention,43,264,0.011994993074224733,11.994993074224732
lcro_9_15,set_attention,44,264,0.012140931083978467,12.140931083978467
lcro_9_15,set_attention,45,264,0.011827603997663529,11.827603997663529
lcro_9_15,set_attention,46,264,0.010941216413041735,10.941216413041735
loco_iso834,capacity_matched_deepsets,42,158,0.008066317686143567,8.066317686143567
loco_iso834,capacity_matched_deepsets,43,158,0.008089255247807004,8.089255247807005
loco_iso834,capacity_matched_deepsets,44,158,0.008345437186848798,8.345437186848798
loco_iso834,capacity_matched_deepsets,45,158,0.008783136023868291,8.783136023868291
loco_iso834,capacity_matched_deepsets,46,158,0.008692003246207385,8.692003246207385
loco_iso834,gnn,42,158,0.008903767718386787,8.903767718386787
loco_iso834,gnn,43,158,0.008136655179067477,8.136655179067477
loco_iso834,gnn,44,158,0.008208360796642392,8.208360796642392
loco_iso834,gnn,45,158,0.007993401475614052,7.993401475614053
loco_iso834,gnn,46,158,0.008598139583770726,8.598139583770726
loco_iso834,set_attention,42,158,0.008654015142223996,8.654015142223995
loco_iso834,set_attention,43,158,0.008717449416347894,8.717449416347893
loco_iso834,set_attention,44,158,0.008324188400778096,8.324188400778096
loco_iso834,set_attention,45,158,0.00842676831911426,8.426768319114261
loco_iso834,set_attention,46,158,0.009291793175488493,9.291793175488493
loco_astm_e119,capacity_matched_deepsets,42,95,0.008294730593640812,8.294730593640812
loco_astm_e119,capacity_matched_deepsets,43,95,0.007879039195203082,7.879039195203082
loco_astm_e119,capacity_matched_deepsets,44,95,0.008169706509070113,8.169706509070114
loco_astm_e119,capacity_matched_deepsets,45,95,0.008404486346105956,8.404486346105955
loco_astm_e119,capacity_matched_deepsets,46,95,0.008133530891898175,8.133530891898175
loco_astm_e119,gnn,42,95,0.007883746662949363,7.883746662949362
loco_astm_e119,gnn,43,95,0.008122962804525654,8.122962804525654
loco_astm_e119,gnn,44,95,0.008186204755249674,8.186204755249674
loco_astm_e119,gnn,45,95,0.007396777605475592,7.396777605475592
loco_astm_e119,gnn,46,95,0.007606195573589739,7.606195573589739
loco_astm_e119,set_attention,42,95,0.008498461574084602,8.498461574084601
loco_astm_e119,set_attention,43,95,0.008744543574821137,8.744543574821137
loco_astm_e119,set_attention,44,95,0.008096380304863373,8.096380304863372
loco_astm_e119,set_attention,45,95,0.008003978991143348,8.003978991143349
loco_astm_e119,set_attention,46,95,0.007772570118192356,7.772570118192356
loco_perturbed_iso,capacity_matched_deepsets,42,111,0.0086914992102702,8.6914992102702
loco_perturbed_iso,capacity_matched_deepsets,43,111,0.008848561375360515,8.848561375360514
loco_perturbed_iso,capacity_matched_deepsets,44,111,0.008839938263080794,8.839938263080793
loco_perturbed_iso,capacity_matched_deepsets,45,111,0.008789083861412068,8.789083861412069
loco_perturbed_iso,capacity_matched_deepsets,46,111,0.008867885453070554,8.867885453070555
loco_perturbed_iso,gnn,42,111,0.008933474177285851,8.93347417728585
loco_perturbed_iso,gnn,43,111,0.008599352787532549,8.599352787532549
loco_perturbed_iso,gnn,44,111,0.008942265783163844,8.942265783163844
loco_perturbed_iso,gnn,45,111,0.008484671262356015,8.484671262356015
loco_perturbed_iso,gnn,46,111,0.008665668294372911,8.665668294372912
loco_perturbed_iso,set_attention,42,111,0.008991575266617367,8.991575266617367
loco_perturbed_iso,set_attention,43,111,0.010063046540802542,10.063046540802542
loco_perturbed_iso,set_attention,44,111,0.008888899487735004,8.888899487735005
loco_perturbed_iso,set_attention,45,111,0.009241144658521473,9.241144658521474
loco_perturbed_iso,set_attention,46,111,0.008859425990576408,8.859425990576408
loco_plateau,capacity_matched_deepsets,42,103,0.009570517650159581,9.570517650159582
loco_plateau,capacity_matched_deepsets,43,103,0.009749184080658824,9.749184080658825
loco_plateau,capacity_matched_deepsets,44,103,0.010577280036856058,10.577280036856058
loco_plateau,capacity_matched_deepsets,45,103,0.009839952485785588,9.839952485785588
loco_plateau,capacity_matched_deepsets,46,103,0.009245242705749808,9.245242705749808
loco_plateau,gnn,42,103,0.009911158611574322,9.911158611574322
loco_plateau,gnn,43,103,0.009272219065191989,9.272219065191988
loco_plateau,gnn,44,103,0.009048561823792836,9.048561823792836
loco_plateau,gnn,45,103,0.009218895487835952,9.218895487835951
loco_plateau,gnn,46,103,0.009186954434961675,9.186954434961676
loco_plateau,set_attention,42,103,0.011343170338496031,11.343170338496032
loco_plateau,set_attention,43,103,0.011392908578597158,11.392908578597158
loco_plateau,set_attention,44,103,0.0107371234328335,10.7371234328335
loco_plateau,set_attention,45,103,0.010960404212095499,10.960404212095499
loco_plateau,set_attention,46,103,0.010417618801822933,10.417618801822933
loco_decay,capacity_matched_deepsets,42,113,0.013385244062983487,13.385244062983487
loco_decay,capacity_matched_deepsets,43,113,0.013861495711262817,13.861495711262817
loco_decay,capacity_matched_deepsets,44,113,0.013028522608857118,13.028522608857118
loco_decay,capacity_matched_deepsets,45,113,0.013831130870580502,13.831130870580502
loco_decay,capacity_matched_deepsets,46,113,0.015185154212432557,15.185154212432558
loco_decay,gnn,42,113,0.012206694389287162,12.206694389287161
loco_decay,gnn,43,113,0.016809602318706936,16.809602318706936
loco_decay,gnn,44,113,0.012574484492098838,12.574484492098838
loco_decay,gnn,45,113,0.016527255207200744,16.527255207200742
loco_decay,gnn,46,113,0.01601314731239494,16.013147312394942
loco_decay,set_attention,42,113,0.012394977761866235,12.394977761866235
loco_decay,set_attention,43,113,0.01314943324329717,13.14943324329717
loco_decay,set_attention,44,113,0.011579195440386233,11.579195440386233
loco_decay,set_attention,45,113,0.013410647935710278,13.410647935710278
loco_decay,set_attention,46,113,0.014698237216379237,14.698237216379237
loco_log_variant,capacity_matched_deepsets,42,69,0.013928691497277032,13.928691497277033
loco_log_variant,capacity_matched_deepsets,43,69,0.013858651422217745,13.858651422217745
loco_log_variant,capacity_matched_deepsets,44,69,0.014308968687520303,14.308968687520302
loco_log_variant,capacity_matched_deepsets,45,69,0.0131409790920172,13.1409790920172
loco_log_variant,capacity_matched_deepsets,46,69,0.013612938870749545,13.612938870749545
loco_log_variant,gnn,42,69,0.013197227759153114,13.197227759153114
loco_log_variant,gnn,43,69,0.013721683274644339,13.721683274644338
loco_log_variant,gnn,44,69,0.013085683085341656,13.085683085341657
loco_log_variant,gnn,45,69,0.01374388495423643,13.743884954236432
loco_log_variant,gnn,46,69,0.015398206770162074,15.398206770162075
loco_log_variant,set_attention,42,69,0.014576043665285622,14.576043665285622
loco_log_variant,set_attention,43,69,0.016451420859274618,16.451420859274617
loco_log_variant,set_attention,44,69,0.013043631836305088,13.043631836305087
loco_log_variant,set_attention,45,69,0.014624879831389782,14.624879831389782
loco_log_variant,set_attention,46,69,0.014462458718836708,14.462458718836707
loco_external_fire,capacity_matched_deepsets,42,49,0.010194728080545952,10.194728080545952
loco_external_fire,capacity_matched_deepsets,43,49,0.0097208741208549,9.7208741208549
loco_external_fire,capacity_matched_deepsets,44,49,0.011116289362615469,11.116289362615468
loco_external_fire,capacity_matched_deepsets,45,49,0.011073305300543164,11.073305300543163
loco_external_fire,capacity_matched_deepsets,46,49,0.010526567941806354,10.526567941806354
loco_external_fire,gnn,42,49,0.01037619770191393,10.376197701913929
loco_external_fire,gnn,43,49,0.01010756864620316,10.107568646203159
loco_external_fire,gnn,44,49,0.010457501189291535,10.457501189291534
loco_external_fire,gnn,45,49,0.0101497584100789,10.1497584100789
loco_external_fire,gnn,46,49,0.010174001652127965,10.174001652127965
loco_external_fire,set_attention,42,49,0.01086542500365574,10.86542500365574
loco_external_fire,set_attention,43,49,0.012551484607701,12.551484607701001
loco_external_fire,set_attention,44,49,0.010299337676992062,10.299337676992062
loco_external_fire,set_attention,45,49,0.01023950732623745,10.239507326237451
loco_external_fire,set_attention,46,49,0.010447246996843525,10.447246996843525
loco_bilinear,capacity_matched_deepsets,42,77,0.027315926285012875,27.315926285012875
loco_bilinear,capacity_matched_deepsets,43,77,0.029182806079669887,29.182806079669888
loco_bilinear,capacity_matched_deepsets,44,77,0.030909977864401878,30.909977864401878
loco_bilinear,capacity_matched_deepsets,45,77,0.029270266965333015,29.270266965333015
loco_bilinear,capacity_matched_deepsets,46,77,0.041333829732252886,41.33382973225289
loco_bilinear,gnn,42,77,0.0363762633934893,36.3762633934893
loco_bilinear,gnn,43,77,0.030024713008790057,30.02471300879006
loco_bilinear,gnn,44,77,0.03582922534845422,35.82922534845422
loco_bilinear,gnn,45,77,0.02923878769126374,29.238787691263738
loco_bilinear,gnn,46,77,0.02354815841825155,23.54815841825155
loco_bilinear,set_attention,42,77,0.02655011835835806,26.55011835835806
loco_bilinear,set_attention,43,77,0.029656221448093472,29.656221448093472
loco_bilinear,set_attention,44,77,0.02630478755664338,26.30478755664338
loco_bilinear,set_attention,45,77,0.02733943257651381,27.339432576513808
loco_bilinear,set_attention,46,77,0.02959848433409394,29.598484334093943
loco_linear,capacity_matched_deepsets,42,125,0.02383020173721626,23.83020173721626
loco_linear,capacity_matched_deepsets,43,125,0.039623061232879515,39.623061232879515
loco_linear,capacity_matched_deepsets,44,125,0.02589178303128383,25.891783031283833
loco_linear,capacity_matched_deepsets,45,125,0.0223036789776849,22.3036789776849
loco_linear,capacity_matched_deepsets,46,125,0.01981592214693789,19.81592214693789
loco_linear,gnn,42,125,0.02031753761260236,20.31753761260236
loco_linear,gnn,43,125,0.022447485101027564,22.447485101027564
loco_linear,gnn,44,125,0.024462991223960624,24.462991223960625
loco_linear,gnn,45,125,0.03706849419679798,37.06849419679798
loco_linear,gnn,46,125,0.022393134689721903,22.393134689721904
loco_linear,set_attention,42,125,0.028557315111160272,28.55731511116027
loco_linear,set_attention,43,125,0.041291246230485024,41.29124623048502
loco_linear,set_attention,44,125,0.02190134578356977,21.90134578356977
loco_linear,set_attention,45,125,0.02929926978955503,29.29926978955503
loco_linear,set_attention,46,125,0.05232825002709373,52.32825002709373
loco_smoldering,capacity_matched_deepsets,42,97,0.007957044386351976,7.957044386351976
loco_smoldering,capacity_matched_deepsets,43,97,0.015574698303526311,15.574698303526311
loco_smoldering,capacity_matched_deepsets,44,97,0.011131335437066132,11.131335437066133
loco_smoldering,capacity_matched_deepsets,45,97,0.010295356591247072,10.295356591247073
loco_smoldering,capacity_matched_deepsets,46,97,0.015567395812820014,15.567395812820013
loco_smoldering,gnn,42,97,0.011886936517831178,11.886936517831177
loco_smoldering,gnn,43,97,0.012100574533863208,12.100574533863208
loco_smoldering,gnn,44,97,0.010291771246449295,10.291771246449295
loco_smoldering,gnn,45,97,0.013449980919679838,13.449980919679838
loco_smoldering,gnn,46,97,0.010287221690499141,10.287221690499141
loco_smoldering,set_attention,42,97,0.010155118033554338,10.155118033554338
loco_smoldering,set_attention,43,97,0.015568630314969285,15.568630314969285
loco_smoldering,set_attention,44,97,0.010846549863849152,10.846549863849152
loco_smoldering,set_attention,45,97,0.011246586915748393,11.246586915748393
loco_smoldering,set_attention,46,97,0.01476595569789178,14.76595569789178
