protocol,model,seed,time_s,case_MAE,case_RMSE,maximum_overprediction
loco_linear,fire_only,42,0,0.002826498508453369,0.0028265005028991776,0.0
loco_linear,fire_only,42,60,0.002750472545623779,0.002750490378430448,0.0
loco_linear,fire_only,42,120,0.0026662750244140624,0.002666336561292237,0.0
loco_linear,fire_only,42,180,0.002602062702178955,0.0026021981984692957,0.0
loco_linear,fire_only,42,240,0.002554886817932129,0.0025551066766003306,0.0
loco_linear,fire_only,42,300,0.002521502494812012,0.0025217889432688017,0.0
loco_linear,fire_only,42,360,0.002499429225921631,0.002499742288793116,0.0
loco_linear,fire_only,42,420,0.00248724365234375,0.0024875439982578566,0.0
loco_linear,fire_only,42,480,0.0024825897216796877,0.0024828445299091917,0.0
loco_linear,fire_only,42,540,0.002483215808868408,0.0024834463038913845,0.0
loco_linear,fire_only,42,600,0.0024955477714538573,0.002496058661375178,0.0
loco_linear,fire_only,42,660,0.0025244812965393064,0.00252702364001771,0.0
loco_linear,fire_only,42,720,0.0025852632522583006,0.0025969450325476207,0.0
loco_linear,fire_only,42,780,0.0026639556884765626,0.002708628471992159,0.00031960010528564453
loco_linear,fire_only,42,840,0.0028611865043640136,0.002973522523005097,0.002618134021759033
loco_linear,fire_only,42,900,0.003243471622467041,0.003889281979111157,0.017328739166259766
loco_linear,fire_only,42,960,0.003719986438751221,0.004673858815889169,0.021659493446350098
loco_linear,fire_only,42,1020,0.0044512939453125,0.007270106218936233,0.059534430503845215
loco_linear,fire_only,42,1080,0.006541489124298095,0.01557002127060763,0.09784555435180664
loco_linear,fire_only,42,1140,0.011697319984436036,0.023679300024368303,0.12004339694976807
loco_linear,fire_only,42,1200,0.010980592250823975,0.02285651069671274,0.12339365482330322
loco_linear,fire_only,42,1260,0.01021611499786377,0.023527350002862404,0.12426865100860596
loco_linear,fire_only,42,1320,0.022843922138214113,0.040002548913821795,0.1748749017715454
loco_linear,fire_only,42,1380,0.04720254707336426,0.08063810368861983,0.19862836599349976
loco_linear,fire_only,42,1440,0.04291860675811768,0.07045428135598221,0.17453789710998535
loco_linear,fire_only,42,1500,0.036286184787750246,0.057982674531532497,0.18176400661468506
loco_linear,fire_only,42,1560,0.028613879680633544,0.04732807260684367,0.21645545959472656
loco_linear,fire_only,42,1620,0.0388015775680542,0.05826308910847257,0.19664603471755981
loco_linear,fire_only,42,1680,0.06223427391052246,0.1037596622414109,0.24375635385513306
loco_linear,fire_only,42,1740,0.06257669830322266,0.10449811386665428,0.2572033405303955
loco_linear,fire_only,42,1800,0.06288459157943725,0.1031974786321966,0.24644893407821655
loco_linear,fire_only,42,1860,0.06264846324920655,0.1010412358110235,0.250053346157074
loco_linear,fire_only,42,1920,0.06073957347869873,0.0975023627263616,0.2430313229560852
loco_linear,fire_only,42,1980,0.0580989580154419,0.09301042561219208,0.23845720291137695
loco_linear,fire_only,42,2040,0.05385506963729859,0.0853828540822623,0.24729955196380615
loco_linear,fire_only,42,2100,0.05233656120300293,0.08119026867648949,0.24533700942993164
loco_linear,fire_only,42,2160,0.052395999670028684,0.0826871174720905,0.2560272216796875
