protocol,model,seed,stratum,group,case_count,equal_case_MAE,equal_case_RMSE,mean_case_RMSE,R2_pooled,maximum_positive_error,maximum_absolute_error,case_time_positive_error_q95,case_time_positive_error_q99,per_case_MAE_q50,per_case_MAE_q90,per_case_MAE_q95,per_case_MAE_q99,per_case_max_positive_error_q50,per_case_max_positive_error_q90,per_case_max_positive_error_q95,per_case_max_positive_error_q99
loco_perturbed_iso,capacity_matched_deepsets,42,fire_family,perturbed_iso,111,0.0086914992102702,0.012376572978297435,0.011845785923678635,0.9976644053829743,0.07931643724441528,0.086658775806427,0.020962290465831757,0.03504324555397039,0.007800073225478657,0.01207093210493932,0.01492202260577288,0.01733792671536813,0.03095066547393799,0.062180399894714355,0.070610910654068,0.07746193408966065
loco_perturbed_iso,capacity_matched_deepsets,42,crack_count,1,17,0.008426837051932125,0.01138069064167287,0.011118604125020859,0.9980193004425272,0.04714852571487427,0.08472806215286255,0.020301729440689083,0.03196425199508675,0.008339209756890282,0.010256901090262366,0.010459227762261374,0.011096176089810544,0.03095066547393799,0.03741915822029114,0.04005073308944702,0.04572896718978882
loco_perturbed_iso,capacity_matched_deepsets,42,crack_count,10,3,0.01175938581264084,0.015897135605207887,0.015864529881291983,0.9962102687263488,0.0725635290145874,0.0725635290145874,0.0086766004562378,0.05537225842475895,0.01207093210493932,0.013070137236939101,0.013195037878439075,0.013294958391639052,0.060135841369628906,0.07007799148559571,0.07132076025009156,0.07231497526168823
loco_perturbed_iso,capacity_matched_deepsets,42,crack_count,11,3,0.012257357967681572,0.015815636633806782,0.01558433378328671,0.9963187007919986,0.06268066167831421,0.06268066167831421,0.024564065039157874,0.04935679435729984,0.012738856135821734,0.01577987524329639,0.016160002631730723,0.016464104542478188,0.05325073003768921,0.06079467535018921,0.061737668514251706,0.06249206304550171
loco_perturbed_iso,capacity_matched_deepsets,42,crack_count,12,3,0.011410491795487742,0.01583333212553975,0.015456176482690138,0.9961872411839519,0.07548969984054565,0.07548969984054565,0.029808419942855838,0.054095307588577383,0.008707689151900714,0.015637313525696268,0.01650351657242071,0.01719647900980027,0.06769925355911255,0.07393161058425904,0.07471065521240235,0.07533389091491699
loco_perturbed_iso,capacity_matched_deepsets,42,crack_count,14,1,0.0061958632508262255,0.010331514854761036,0.010331514854761036,0.9984286993380276,0.056727588176727295,0.056727588176727295,0.009484168142080307,0.03637630939483638,0.0061958632508262255,0.0061958632508262255,0.0061958632508262255,0.0061958632508262255,0.056727588176727295,0.056727588176727295,0.056727588176727295,0.056727588176727295
loco_perturbed_iso,capacity_matched_deepsets,42,crack_count,2,10,0.008331177072202572,0.010746672046252412,0.010569512503363554,0.998218791246501,0.038199543952941895,0.038199543952941895,0.018876141309738154,0.029952918887138323,0.007555746488639566,0.010836732595181855,0.011174889238642865,0.011445414553411672,0.022400394082069397,0.03558589220046997,0.03689271807670593,0.0379381787776947
loco_perturbed_iso,capacity_matched_deepsets,42,crack_count,3,17,0.007727980229324638,0.011534924929964687,0.01096573262987032,0.9979233423319693,0.07931643724441528,0.07931643724441528,0.020048147439956653,0.030248808860778856,0.007069217560232662,0.010130377345886388,0.012553256652394276,0.015675252500127572,0.029934287071228027,0.0651636004447937,0.07278000116348265,0.07800915002822875
loco_perturbed_iso,capacity_matched_deepsets,42,crack_count,4,12,0.007257643741010968,0.010549788184282724,0.010227348234199525,0.9983042088771519,0.04763144254684448,0.08164691925048828,0.016962919384241094,0.028848113417625415,0.007289996156927015,0.00892658956715318,0.009502796385986882,0.009975815409886055,0.022471025586128235,0.04545302987098694,0.046730315685272215,0.04745121717453003
loco_perturbed_iso,capacity_matched_deepsets,42,crack_count,5,18,0.008789913043488353,0.012592695621711097,0.01207098301045557,0.9975656471341817,0.07758879661560059,0.07855963706970215,0.01982378065586085,0.03952321290969846,0.008185948046748756,0.013066824226350082,0.014603329318590827,0.015222504847973096,0.03321373462677002,0.06039806604385376,0.06449165940284726,0.0749693691730499
