protocol,model,seed,time_s,case_MAE,case_RMSE,maximum_overprediction
loco_external_fire,fire_only,42,0,0.0022534728050231934,0.0022534728050231934,0.0
loco_external_fire,fire_only,42,60,0.016136146321588635,0.018035698322478866,0.03238248825073242
loco_external_fire,fire_only,42,120,0.006018569274824493,0.0075367576759186265,0.022089004516601562
loco_external_fire,fire_only,42,180,0.062215303888126294,0.07012071888181881,0.034026920795440674
loco_external_fire,fire_only,42,240,0.01858411638104186,0.023458080075933054,0.03688836097717285
loco_external_fire,fire_only,42,300,0.01830068778018562,0.023386399920690273,0.034352898597717285
loco_external_fire,fire_only,42,360,0.01750484169745932,0.02239199049908359,0.03394860029220581
loco_external_fire,fire_only,42,420,0.011036296280062929,0.01401003139956187,0.029363155364990234
loco_external_fire,fire_only,42,480,0.012142511046662623,0.014193825296586797,0.031614720821380615
loco_external_fire,fire_only,42,540,0.012407711574009486,0.01582611927183108,0.04329240322113037
loco_external_fire,fire_only,42,600,0.017451572174928626,0.021467513322970477,0.05495697259902954
loco_external_fire,fire_only,42,660,0.01958125099843862,0.02386793425249946,0.05622059106826782
loco_external_fire,fire_only,42,720,0.023240069953762755,0.028005768903816716,0.06421107053756714
loco_external_fire,fire_only,42,780,0.023516414116839975,0.02863544143896002,0.0637441873550415
loco_external_fire,fire_only,42,840,0.024265587329864502,0.02959162706227418,0.06991010904312134
loco_external_fire,fire_only,42,900,0.023556766461352914,0.028608676985836017,0.06680339574813843
loco_external_fire,fire_only,42,960,0.02588731172133465,0.03073521045453074,0.06390225887298584
loco_external_fire,fire_only,42,1020,0.023056645782626405,0.027883414002728757,0.0583154559135437
loco_external_fire,fire_only,42,1080,0.02233906059849019,0.02765684294282591,0.05868855118751526
loco_external_fire,fire_only,42,1140,0.022039544217440546,0.026044714967947417,0.05342540144920349
loco_external_fire,fire_only,42,1200,0.01898859410869832,0.02334239516785913,0.04850080609321594
loco_external_fire,fire_only,42,1260,0.013893444927371278,0.017709169584160158,0.04043194651603699
loco_external_fire,fire_only,42,1320,0.010982053012264018,0.014604841483110153,0.03414568305015564
loco_external_fire,fire_only,42,1380,0.010458213942391532,0.012501148774910226,0.02572605013847351
loco_external_fire,fire_only,42,1440,0.010647940392396887,0.011884412673206418,0.02348342537879944
loco_external_fire,fire_only,42,1500,0.010873529984026539,0.012794547945518637,0.02470099925994873
loco_external_fire,fire_only,42,1560,0.012106898487830649,0.01454701708529062,0.029933154582977295
loco_external_fire,fire_only,42,1620,0.012274488502619217,0.014638461464852816,0.025321513414382935
loco_external_fire,fire_only,42,1680,0.012656737347038425,0.015365527669825229,0.024058371782302856
loco_external_fire,fire_only,42,1740,0.012173681234826848,0.015011630456967474,0.028121650218963623
loco_external_fire,fire_only,42,1800,0.012972811046911746,0.015974425825763566,0.033358991146087646
loco_external_fire,fire_only,42,1860,0.012631045312297588,0.016057575884867708,0.03067842125892639
loco_external_fire,fire_only,42,1920,0.013291153980761158,0.016993687506017565,0.031234055757522583
loco_external_fire,fire_only,42,1980,0.013269331990456094,0.01671295440957992,0.029562830924987793
loco_external_fire,fire_only,42,2040,0.013934814808320026,0.01717139799343375,0.029764294624328613
loco_external_fire,fire_only,42,2100,0.014255052926589032,0.017589002182221293,0.03491860628128052
loco_external_fire,fire_only,42,2160,0.014695311687430558,0.018431201109641998,0.03997063636779785
loco_external_fire,fire_only,42,2220,0.014518740834022055,0.018513777710013026,0.03992852568626404
loco_external_fire,fire_only,42,2280,0.014758257841577336,0.018703687932838532,0.040107548236846924
loco_external_fire,fire_only,42,2340,0.01471364011569899,0.018161343001629755,0.042260587215423584
loco_external_fire,fire_only,42,2400,0.015256676138663779,0.01800515243536522,0.04457101225852966
loco_external_fire,fire_only,42,2460,0.015036250255545792,0.01765716287574637,0.043224036693573
loco_external_fire,fire_only,42,2520,0.014932473095095888,0.01770267490629656,0.041960716247558594
loco_external_fire,fire_only,42,2580,0.015193995164365185,0.018028135845483698,0.043215811252593994
loco_external_fire,fire_only,42,2640,0.015717588517130638,0.018768394879069318,0.044545114040374756
loco_external_fire,fire_only,42,2700,0.015248777610915048,0.018293328923692457,0.044354602694511414
loco_external_fire,fire_only,42,2760,0.01527451009166484,0.01836251815930734,0.04424804449081421
loco_external_fire,fire_only,42,2820,0.015740188408871085,0.018853319602352252,0.04475376009941101
loco_external_fire,fire_only,42,2880,0.016137858738704602,0.019222539815980884,0.04528529942035675
loco_external_fire,fire_only,42,2940,0.01579768317086356,0.019221516853186685,0.04369203746318817
loco_external_fire,fire_only,42,3000,0.015677290911577185,0.019370952734433056,0.04217609763145447
loco_external_fire,fire_only,42,3060,0.015752435338740448,0.01922462568811013,0.040262117981910706
loco_external_fire,fire_only,42,3120,0.015893930987435943,0.01922075241916367,0.03839761018753052
loco_external_fire,fire_only,42,3180,0.015631287377707814,0.018968194175442883,0.036396220326423645
loco_external_fire,fire_only,42,3240,0.015223332509702566,0.018211674710440988,0.03445598483085632
