protocol,contrast,baseline,candidate,endpoint,budget,N,k,seed,U_baseline_minus_candidate
lcro_9_15,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,10%,264,26,43,1.4879382573641797e-05
lcro_9_15,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,10%,264,26,44,0.00022745734223952874
lcro_9_15,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,10%,264,26,45,0.0010185870700157584
lcro_9_15,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,10%,264,26,46,0.00010781262356501092
lcro_9_15,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,25%,264,66,42,0.0001948483739838483
lcro_9_15,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,25%,264,66,43,-0.00023321559031804634
lcro_9_15,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,25%,264,66,44,-3.127403783075716e-05
lcro_9_15,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,25%,264,66,45,-3.6778775128892827e-07
lcro_9_15,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,25%,264,66,46,0.0
lcro_9_15,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,50%,264,132,42,0.0003875483843413241
lcro_9_15,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,50%,264,132,43,-0.00019507843888166843
lcro_9_15,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,50%,264,132,44,2.4298036640335585e-05
lcro_9_15,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,50%,264,132,45,-0.00018538703972642567
lcro_9_15,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,50%,264,132,46,0.0005471910716909334
lcro_9_15,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,10%,264,26,42,0.0015976897011009683
lcro_9_15,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,10%,264,26,43,-1.3083052367746095e-05
lcro_9_15,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,10%,264,26,44,-0.00039390510377967924
lcro_9_15,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,10%,264,26,45,0.0005822147815847112
lcro_9_15,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,10%,264,26,46,-0.0010743299081253377
lcro_9_15,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,25%,264,66,42,0.00013700818661793734
lcro_9_15,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,25%,264,66,43,-8.426485771334535e-05
lcro_9_15,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,25%,264,66,44,-9.899654500944433e-05
lcro_9_15,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,25%,264,66,45,0.00045592364422381015
lcro_9_15,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,25%,264,66,46,0.0005424816570611113
