row,model,MAE_percentage_points
iso834,fire_only,1.1812717702551239
iso834,global_stats,0.8937571009744276
iso834,deepsets,0.8379905275933969
iso834,capacity_matched_deepsets,0.8395229878174959
iso834,gnn,0.8368064950696239
iso834,gnn_zero_edge_features,0.8457101391086047
iso834,gnn_mean,0.8379866684740351
astm_e119,fire_only,1.1984490175073317
astm_e119,global_stats,0.9786320134444473
astm_e119,deepsets,0.813016066901426
astm_e119,capacity_matched_deepsets,0.8176298707183579
astm_e119,gnn,0.7839177480357956
astm_e119,gnn_zero_edge_features,0.818593055909821
astm_e119,gnn_mean,0.8047481780555098
external_fire,fire_only,1.5989993096355088
external_fire,global_stats,1.2381018126397705
external_fire,deepsets,1.0903897031009964
external_fire,capacity_matched_deepsets,1.0526352961273115
external_fire,gnn,1.025300551992305
external_fire,gnn_zero_edge_features,1.0379153896869675
external_fire,gnn_mean,1.0184264385448916
linear,fire_only,4.043272842364228
linear,global_stats,3.2573308938057646
linear,deepsets,3.7822404313673688
linear,capacity_matched_deepsets,2.629292942520043
linear,gnn,2.533792856482204
linear,gnn_zero_edge_features,2.6018179918410302
linear,gnn_mean,2.7651583111188405
bilinear,fire_only,3.642074007168963
bilinear,global_stats,2.7484943831134414
bilinear,deepsets,3.0362929931048823
bilinear,capacity_matched_deepsets,3.1602561385334056
bilinear,gnn,3.100342957204972
bilinear,gnn_zero_edge_features,3.589727857251454
bilinear,gnn_mean,3.356687987652738
plateau,fire_only,1.3587762193984614
plateau,global_stats,1.1388590234475073
plateau,deepsets,0.9925360458996496
plateau,capacity_matched_deepsets,0.9796435391841922
plateau,gnn,0.9327557884671307
plateau,gnn_zero_edge_features,0.968483921226993
plateau,gnn_mean,0.9178597857064165
decay,fire_only,1.5371014662254452
decay,global_stats,1.25188423002058
decay,deepsets,1.3661459218032352
decay,capacity_matched_deepsets,1.3858309493223244
decay,gnn,1.4826236743937677
decay,gnn_zero_edge_features,1.3384408693250944
decay,gnn_mean,1.4582041890860142
perturbed_iso,fire_only,1.2158924935839712
perturbed_iso,global_stats,0.9572039097173357
perturbed_iso,deepsets,0.879869899236452
perturbed_iso,capacity_matched_deepsets,0.8807393632638775
perturbed_iso,gnn,0.8725086460942184
perturbed_iso,gnn_zero_edge_features,0.8934068396905329
perturbed_iso,gnn_mean,0.8946423785709509
log_variant,fire_only,1.6607838346379218
log_variant,global_stats,1.433546284263885
log_variant,deepsets,1.3412741497683365
log_variant,capacity_matched_deepsets,1.3770045913956312
log_variant,gnn,1.3829337168707476
log_variant,gnn_zero_edge_features,1.3619891640511759
log_variant,gnn_mean,1.3112163991295773
smoldering,fire_only,0.7255921870323934
smoldering,global_stats,1.073078233002604
smoldering,deepsets,1.0284448850592018
smoldering,capacity_matched_deepsets,1.210516610620225
smoldering,gnn,1.1603296981664486
smoldering,gnn_zero_edge_features,1.2348632879387704
smoldering,gnn_mean,1.2485653733167523
case_weighted_cross_holdout,fire_only,1.8036914505362898
case_weighted_cross_holdout,global_stats,1.4861277782121267
case_weighted_cross_holdout,deepsets,1.520783420710904
case_weighted_cross_holdout,capacity_matched_deepsets,1.4058150641463085
case_weighted_cross_holdout,gnn,1.3849659402390955
case_weighted_cross_holdout,gnn_zero_edge_features,1.4321038143922784
case_weighted_cross_holdout,gnn_mean,1.4373844915040204
equal_family_cross_holdout,fire_only,1.8162213147809347
equal_family_cross_holdout,global_stats,1.4970887884429764
equal_family_cross_holdout,deepsets,1.5168200623834944
equal_family_cross_holdout,capacity_matched_deepsets,1.4333072289502864
equal_family_cross_holdout,gnn,1.4111312132777216
equal_family_cross_holdout,gnn_zero_edge_features,1.4690948516030444
equal_family_cross_holdout,gnn_mean,1.4613495709655728
