protocol,model,seed,time_s,case_MAE,case_RMSE,maximum_overprediction
iid997,fire_only,42,0,0.0028935234993696215,0.002894862229170339,0.0
iid997,fire_only,42,60,0.009425311163067818,0.01781173105277752,0.09506595134735107
iid997,fire_only,42,120,0.005831578746438026,0.007876499684554514,0.033899664878845215
iid997,fire_only,42,180,0.02173895761370659,0.031226557231279106,0.06790530681610107
iid997,fire_only,42,240,0.010989398136734963,0.015352608377332868,0.046778738498687744
iid997,fire_only,42,300,0.011272751912474632,0.01582081981300622,0.04583466053009033
iid997,fire_only,42,360,0.010785294324159622,0.0151728951729414,0.04662054777145386
iid997,fire_only,42,420,0.009775951504707336,0.014069221489672868,0.04699903726577759
iid997,fire_only,42,480,0.008715036511421203,0.012003809217704131,0.04132544994354248
iid997,fire_only,42,540,0.009668712690472602,0.013885548586498505,0.06006956100463867
iid997,fire_only,42,600,0.011989078670740127,0.01615812330259353,0.06954914331436157
iid997,fire_only,42,660,0.015254563838243484,0.02060168913897879,0.069083571434021
iid997,fire_only,42,720,0.016449689492583276,0.022179890123209974,0.06883776187896729
iid997,fire_only,42,780,0.0169637281447649,0.0229325897497867,0.07472914457321167
iid997,fire_only,42,840,0.016676437668502332,0.022445174407391775,0.07851868867874146
iid997,fire_only,42,900,0.016611637361347676,0.0224341476546384,0.06036540865898132
iid997,fire_only,42,960,0.015228918753564358,0.02043634617595821,0.043797850608825684
iid997,fire_only,42,1020,0.01234632395207882,0.01664715264754393,0.03538858890533447
iid997,fire_only,42,1080,0.010085189901292323,0.013514456532641756,0.031842201948165894
iid997,fire_only,42,1140,0.010628224350512028,0.014607124310980173,0.03473871946334839
iid997,fire_only,42,1200,0.010680424422025681,0.01387119212702829,0.04047998785972595
iid997,fire_only,42,1260,0.01074367854744196,0.014016813667441959,0.04133680462837219
iid997,fire_only,42,1320,0.012101501785218715,0.015337153755269502,0.043827444314956665
iid997,fire_only,42,1380,0.011750279180705547,0.015165338927909704,0.04496985673904419
iid997,fire_only,42,1440,0.013405075389891863,0.017327231167259736,0.04678994417190552
iid997,fire_only,42,1500,0.012866252008825541,0.01707425504499196,0.051630258560180664
iid997,fire_only,42,1560,0.012641108781099319,0.016902676126954955,0.05666303634643555
iid997,fire_only,42,1620,0.012558995001018047,0.016993669859804484,0.05512720346450806
iid997,fire_only,42,1680,0.012678424641489983,0.016683098073978327,0.05272036790847778
iid997,fire_only,42,1740,0.012568503338843583,0.016478078719722525,0.052160829305648804
iid997,fire_only,42,1800,0.013029630668461323,0.016868631709474342,0.05754631757736206
iid997,fire_only,42,1860,0.013148426916450262,0.016899264499918222,0.05539384484291077
iid997,fire_only,42,1920,0.012833538837730885,0.016544483038708285,0.0605044811964035
iid997,fire_only,42,1980,0.013383919605985284,0.017352694615139698,0.05845944583415985
iid997,fire_only,42,2040,0.012983608618378639,0.01692262537738828,0.057628288865089417
iid997,fire_only,42,2100,0.012301128078252076,0.01618741928275472,0.05744768679141998
iid997,fire_only,42,2160,0.011580774234607816,0.01572452673780033,0.058443471789360046
iid997,fire_only,42,2220,0.011004948476329445,0.014754488297230648,0.05677926540374756
iid997,fire_only,42,2280,0.011024590861052275,0.014331936504377956,0.05599723756313324
iid997,fire_only,42,2340,0.010974287753924727,0.01447048472114567,0.05583241581916809
iid997,fire_only,42,2400,0.010159673495218157,0.013493745526306751,0.056327804923057556
iid997,fire_only,42,2460,0.010351494420319796,0.013185529229003727,0.05590797960758209
iid997,fire_only,42,2520,0.010605144826695324,0.01377316157584061,0.054845839738845825
iid997,fire_only,42,2580,0.010998997651040555,0.014120700353229277,0.0513693243265152
iid997,fire_only,42,2640,0.010777544253505767,0.014395528626371038,0.04805360734462738
iid997,fire_only,42,2700,0.010634131520055235,0.013850693462987071,0.0450313538312912
iid997,fire_only,42,2760,0.010375547676812858,0.013603323191962936,0.04988300800323486
iid997,fire_only,42,2820,0.01044561576563865,0.013866913948396639,0.046685636043548584
iid997,fire_only,42,2880,0.010449368169065564,0.014152524629114628,0.05406111478805542
iid997,fire_only,42,2940,0.009775399777572602,0.013250085234544228,0.058603882789611816
iid997,fire_only,42,3000,0.010264925105730072,0.014242317029383902,0.07187211513519287
iid997,fire_only,42,3060,0.009629464196041226,0.013677692692707804,0.07417559623718262
iid997,fire_only,42,3120,0.009760258730966597,0.0137583137224831,0.07094454765319824
iid997,fire_only,42,3180,0.00964979272976052,0.013398742319787773,0.06280672550201416
iid997,fire_only,42,3240,0.009529632836347446,0.01348956289609458,0.062282443046569824
iid997,fire_only,42,3300,0.009283378375403117,0.01317374165052532,0.06120795011520386
iid997,fire_only,42,3360,0.009306679996370804,0.013345757403815021,0.06255984306335449
iid997,fire_only,42,3420,0.009338185647357023,0.013106539265748687,0.05302911996841431
iid997,fire_only,42,3480,0.009141654113773257,0.012702054159943178,0.04481199383735657
iid997,fire_only,42,3540,0.009128785389475525,0.012701448709024754,0.04247555136680603
iid997,fire_only,42,3600,0.009213423629989847,0.012694262092343608,0.03681260347366333
iid997,fire_only,43,0,0.003040653094649315,0.0030454482564877335,0.0
iid997,fire_only,43,60,0.009201871976256371,0.01801461782485595,0.09636259078979492
iid997,fire_only,43,120,0.005414262786507607,0.007358771846911134,0.03306877613067627
iid997,fire_only,43,180,0.022147712111473084,0.03146476459840991,0.058485209941864014
iid997,fire_only,43,240,0.010620303079485893,0.014818777664035065,0.046175479888916016
iid997,fire_only,43,300,0.011309802532196045,0.015920816972393604,0.04743725061416626
iid997,fire_only,43,360,0.010834236070513726,0.015234534107575427,0.04766565561294556
iid997,fire_only,43,420,0.009703770279884338,0.013842003983277616,0.045404016971588135
iid997,fire_only,43,480,0.008843730390071868,0.012099322588228177,0.04012763500213623
iid997,fire_only,43,540,0.009945129975676537,0.01400522925112773,0.05980879068374634
iid997,fire_only,43,600,0.012117428332567215,0.016301578049506254,0.06864100694656372
iid997,fire_only,43,660,0.015049248933792114,0.020574005026447236,0.07028597593307495
iid997,fire_only,43,720,0.016180942207574843,0.022128293625723435,0.07183319330215454
iid997,fire_only,43,780,0.017127425968647005,0.02324144843799281,0.07508379220962524
iid997,fire_only,43,840,0.01695421114563942,0.022540345749076585,0.07914072275161743
iid997,fire_only,43,900,0.015597658231854439,0.02073776225434657,0.06696942448616028
iid997,fire_only,43,960,0.013661277666687965,0.018497374042325775,0.051176488399505615
iid997,fire_only,43,1020,0.011355703137814999,0.014939093953516256,0.0433942973613739
iid997,fire_only,43,1080,0.009756378456950187,0.013036406941043967,0.03849762678146362
iid997,fire_only,43,1140,0.01076136138290167,0.014585276626753166,0.0367293655872345
iid997,fire_only,43,1200,0.010838415287435055,0.01387812332055291,0.04277738928794861
