protocol,model,seed,rule,same_trained_checkpoint,refitting,checkpoint_sha256,directed_edge_total,mean_abs_prediction_change,MAE_change_vs_complete,equal_case_MAE,equal_case_RMSE,mean_case_RMSE,R2_pooled,maximum_positive_error,maximum_absolute_error,case_time_positive_error_q95,case_time_positive_error_q99,per_case_MAE_q50,per_case_MAE_q90,per_case_MAE_q95,per_case_MAE_q99,per_case_max_positive_error_q50,per_case_max_positive_error_q90,per_case_max_positive_error_q95,per_case_max_positive_error_q99
iid997,gnn,42,radius,True,False,f9820a6d7300c11863b6b6e73c1bbb1af849717da39185ffb3ea151173de0473,3814,0.0036731516011059284,8.21789791502197e-05,0.009078637275071414,0.012529081653854699,0.011513916666075413,0.9984134527514547,0.08680641651153564,0.0882875919342041,0.01946214139461516,0.0312686800956726,0.00853104953516702,0.01377492690550499,0.016703400589415,0.02321701338178798,0.025033213198184967,0.04377335011959075,0.0524783611297607,0.06929946303367615
iid997,gnn,42,symmetric_knn,True,False,f9820a6d7300c11863b6b6e73c1bbb1af849717da39185ffb3ea151173de0473,3336,0.001956568332388997,7.607207164076965e-05,0.009072530367561964,0.0125748508697267,0.011494774770038121,0.9984018401435631,0.08829879760742188,0.08829879760742188,0.018599519133567805,0.032730027586221684,0.00843751958769853,0.013801293545326247,0.01616709315385974,0.02382566673100971,0.023769140243530273,0.04567173719406128,0.05488927662372587,0.07071040153503418
iid997,gnn,43,radius,True,False,106a105bc048e13e8ec843e3991f1d012c4654d793abd63566dd279f737b3517,3814,0.0038829720579087734,0.0008260306636955518,0.009451756151963205,0.013009360285894271,0.012010804698635974,0.9982894868639117,0.09517794847488403,0.09654563665390015,0.019860351085662833,0.033110236823558764,0.008823387935513356,0.014120675855484164,0.01824750869733388,0.02192066674244773,0.02621474862098694,0.04765257239341736,0.05912823677062988,0.07655567348003388
iid997,gnn,43,symmetric_knn,True,False,106a105bc048e13e8ec843e3991f1d012c4654d793abd63566dd279f737b3517,3336,0.002600619802251458,0.0005356569640857511,0.009161382452353404,0.012712932705800508,0.01170623261886799,0.9983665493153824,0.09565287828445435,0.09565287828445435,0.018538300320506074,0.03273251846432686,0.008408360916082977,0.01471892476814692,0.017022011538998023,0.020261579874109047,0.026000216603279114,0.048563742637634265,0.058900207281112664,0.07629250824451446
iid997,gnn,44,radius,True,False,cc8baf5f1f0353ffcb45c6d33ceca1848b3f1fbc3851fb5fc742d97dc160bfe9,3814,0.0037960701156407595,0.000435667148921029,0.008505833482970465,0.011928944182417292,0.011023055410441757,0.9985618024521998,0.0916401743888855,0.09704214334487915,0.017534175515174825,0.03054066485492512,0.00844753472531428,0.013037409364688592,0.01445843823498389,0.018333924095161627,0.023707985877990723,0.044600951671600345,0.05562102794647214,0.07351612985134125
iid997,gnn,44,symmetric_knn,True,False,cc8baf5f1f0353ffcb45c6d33ceca1848b3f1fbc3851fb5fc742d97dc160bfe9,3336,0.0026052752509713173,0.0004947239445278161,0.008564890278577252,0.012094339479341435,0.011127205484436154,0.9985216446388832,0.09212541580200195,0.09212541580200195,0.017277482897043228,0.03147854089736931,0.00800914647149258,0.012917374984407032,0.015013620562729287,0.019720245426306952,0.023652334231883287,0.044799077510833736,0.057283598184585574,0.07386477768421172
iid997,gnn,45,radius,True,False,c7b1a135b28d377bbbd39b2d531569d7a436d8611d74be339d48a4fd27220015,3814,0.002976239426061511,0.0010852690041828587,0.010162608829156598,0.014049389583406973,0.012688241827285712,0.9980050618208044,0.09361833333969116,0.10894834995269775,0.015131060779094688,0.029005383877083638,0.008965028358287499,0.01787424937623446,0.020050558017291983,0.025349703675410784,0.021193847060203552,0.0454640507698059,0.058120319247245776,0.08216034650802607
iid997,gnn,45,symmetric_knn,True,False,c7b1a135b28d377bbbd39b2d531569d7a436d8611d74be339d48a4fd27220015,3336,0.0019996550399810076,0.0009917097169997516,0.01006904954197349,0.013986983128338596,0.012596642402521679,0.9980227452248216,0.09364426136016846,0.1022762656211853,0.015488225221633907,0.03107709154486656,0.00876608894008105,0.017672208586677177,0.019389520933733265,0.02453137142247841,0.020661354064941406,0.04489824175834656,0.058590617775917044,0.08104892432689663
iid997,gnn,46,radius,True,False,287e02684e80c33008f4acf5e8c3deb1a3c36863ac84760812e8bfa11ce7a964,3814,0.0027660697232931852,7.673884764863338e-05,0.008801389246123182,0.012384334816493718,0.011353665045965545,0.9984498993415554,0.09519541263580322,0.1054697036743164,0.019871679693460462,0.03394762903451919,0.00815237014264357,0.013329652067823487,0.017220933051382906,0.02139410933754482,0.025501444935798645,0.04660434126853942,0.059033223986625666,0.07599947690963745
iid997,gnn,46,symmetric_knn,True,False,287e02684e80c33008f4acf5e8c3deb1a3c36863ac84760812e8bfa11ce7a964,3336,0.0015446428442373872,-0.0001068139952592178,0.008617836403215331,0.01219520068969205,0.011181887963664653,0.9984968842193119,0.0954638123512268,0.10083764791488647,0.018934883177280423,0.034759532362222643,0.007950751843755363,0.013112477371927167,0.014921662553412,0.02149097897051298,0.024705320596694946,0.04867743849754333,0.05895683765411376,0.0764856344461441
iid997,gnn_zero_edge_features,42,radius,True,False,5bb99d667019fa3629218140a42662bb87d3e250f64ec4dd8e7e66afeaaf3246,3814,0.0027698338963091373,-0.0001262669130915519,0.009011967305213758,0.01274542652529249,0.011697205734393028,0.9983581885563844,0.08852142095565796,0.09783661365509033,0.023268201947212186,0.039686804413795455,0.008862345189344686,0.012776450800602551,0.01464324468960525,0.021082327778710663,0.03065398335456848,0.05492138266563415,0.060720321536064145,0.07345665633678436
